mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	Ottava:8va	crescendo_hairpin	decrescendo_hairpin
18	17	251/4	251/4	0.25	7/16	7/16	Chord	2/4	1	2	1/16		1/16	1	241												
18	17	61	61	2.0	0	0	Chord	2/4	2	1	1/2		1/2	1	242												
18	17	61	61	0.75	0	0	Chord	2/4	2	2	3/16		1/8	3/2	243									28			
18	17	247/4	247/4	0.25	3/16	3/16	Chord	2/4	2	2	1/16		1/16	1	244									28			
18	17	62	62	0.5	1/4	1/4	Chord	2/4	2	2	1/8		1/8	1	245									28			
18	17	125/2	125/2	0.5	3/8	3/8	Chord	2/4	2	2	1/8		1/8	1	246												
19	18	63	63	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	247												
19	18	64	64	0.0	1/4	1/4	StaffText	2/4	1	1	0							"<font size=""10.2313""/><font face=""Plantin MT Std""/>risoluto"									
19	18	64	64	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	248									29			
19	18	257/4	257/4	0.125	5/16	5/16	Chord	2/4	1	1	1/32		1/32	1	249									29			
19	18	515/8	515/8	0.125	11/32	11/32	Chord	2/4	1	1	1/32		1/32	1	250									29			
19	18	129/2	129/2	0.08333333333333333	3/8	3/8	Chord	2/4	1	1	1/48		1/32	2/3	251									29			
19	18	775/12	775/12	0.08333333333333333	19/48	19/48	Chord	2/4	1	1	1/48		1/32	2/3	252									29			
19	18	194/3	194/3	0.08333333333333333	5/12	5/12	Chord	2/4	1	1	1/48		1/32	2/3	253									29			
19	18	259/4	259/4	0.08333333333333333	7/16	7/16	Chord	2/4	1	1	1/48		1/32	2/3	254									29			
19	18	389/6	389/6	0.08333333333333333	11/24	11/24	Chord	2/4	1	1	1/48		1/32	2/3	255									29			
19	18	779/12	779/12	0.08333333333333333	23/48	23/48	Chord	2/4	1	1	1/48		1/32	2/3	256									29			
19	18	63	63	0.0	0	0	Spanner	2/4	2	1	0																10
19	18	63	63	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	257									30			10
19	18	253/4	253/4	0.5	1/16	1/16	Chord	2/4	2	1	1/8		1/8	1	258												10
19	18	255/4	255/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	259									31			10
19	18	64	64	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	260												10
19	18	129/2	129/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	261									32			10
19	18	259/4	259/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	262												10
19	18	253/4	253/4	0.75	1/16	1/16	Chord	2/4	2	2	3/16		1/8	3/2	263												10
19	18	64	64	1.0	1/4	1/4	Chord	2/4	2	2	1/4		1/4	1	264												10
20	19	65	65	0.0	0	0	StaffText	2/4	1	1	0							"<font size=""10.2313""/><font face=""Plantin MT Std""/>a tempo, ma poco giocoso"									
20	19	65	65	0.0	0	0	Spanner	2/4	1	1	0																11
20	19	65	65	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	265									33			11
20	19	131/2	131/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	266									33			11
20	19	263/4	263/4	0.0	3/16	3/16	Spanner	2/4	1	1	0																
20	19	263/4	263/4	0.0	3/16	3/16	Chord	2/4	1	1	0	acciaccatura	1/8	1	267												
20	19	263/4	263/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	268												
20	19	265/4	265/4	0.5	5/16	5/16	Chord	2/4	1	1	1/8		1/8	1	269									34			
20	19	267/4	267/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	270									34			
20	19	65	65	0.0	0	0	Spanner	2/4	2	1	0																
20	19	261/4	261/4	0.0	1/16	1/16	StaffText	2/4	2	1	0							"<font size=""10.2313""/><font face=""Plantin MT Std""/>ten."									
20	19	261/4	261/4	1.5	1/16	1/16	Chord	2/4	2	1	3/8		1/4	3/2	271												
20	19	263/4	263/4	0.0	3/16	3/16	StaffText	2/4	2	1	0							"<font size=""10.2313""/><font face=""Plantin MT Std""/>cantando"									
20	19	65	65	0.25	0	0	Chord	2/4	2	2	1/16		1/16	1	272									35			
20	19	261/4	261/4	0.5	1/16	1/16	Chord	2/4	2	2	1/8		1/8	1	273												
20	19	263/4	263/4	0.25	3/16	3/16	Chord	2/4	2	2	1/16		1/16	1	274									36			
20	19	66	66	0.5	1/4	1/4	Chord	2/4	2	2	1/8		1/8	1	275												
20	19	133/2	133/2	0.25	3/8	3/8	Chord	2/4	2	2	1/16		1/16	1	276									37			
20	19	267/4	267/4	0.25	7/16	7/16	Chord	2/4	2	2	1/16		1/16	1	277												
21	20	67	67	0.0	0	0	StaffText	2/4	1	1	0							"<font size=""10.2313""/><font face=""Plantin MT Std""/>e disinvolto"									
21	20	67	67	0.0	0	0	Spanner	2/4	1	1	0																
21	20	67	67	0.0	0	0	Spanner	2/4	1	1	0																
21	20	67	67	0.0	0	0	Spanner	2/4	1	1	0																
21	20	67	67	0.0	0	0	Spanner	2/4	1	1	0																
21	20	67	67	0.0	0	0	Spanner	2/4	1	1	0																
21	20	67	67	0.0	0	0	Spanner	2/4	1	1	0																
21	20	67	67	0.0	0	0	Spanner	2/4	1	1	0																
21	20	67	67	0.0	0	0	Spanner	2/4	1	1	0																
21	20	67	67	0.0	0	0	Spanner	2/4	1	1	0																
21	20	67	67	0.0	0	0	Spanner	2/4	1	1	0																
21	20	67	67	0.0	0	0	Spanner	2/4	1	1	0																
21	20	67	67	0.0	0	0	Spanner	2/4	1	1	0																
21	20	67	67	0.0	0	0	Spanner	2/4	1	1	0																
21	20	67	67	0.0	0	0	Spanner	2/4	1	1	0																
21	20	67	67	0.0	0	0	Spanner	2/4	1	1	0																
21	20	67	67	0.0	0	0	Spanner	2/4	1	1	0																
21	20	67	67	0.0	0	0	Spanner	2/4	1	1	0																
21	20	67	67	0.0	0	0	Spanner	2/4	1	1	0																
21	20	67	67	0.0	0	0	Spanner	2/4	1	1	0																
21	20	67	67	0.0	0	0	Spanner	2/4	1	1	0																
21	20	67	67	0.0	0	0	Spanner	2/4	1	1	0																
21	20	67	67	0.0	0	0	Spanner	2/4	1	1	0																
21	20	67	67	0.0	0	0	Spanner	2/4	1	1	0																
21	20	67	67	0.0	0	0	Spanner	2/4	1	1	0																
21	20	67	67	0.0	0	0	Spanner	2/4	1	1	0																
21	20	67	67	0.0	0	0	Spanner	2/4	1	1	0																
21	20	67	67	0.0	0	0	Spanner	2/4	1	1	0																
21	20	67	67	0.0	0	0	Spanner	2/4	1	1	0																
21	20	67	67	0.0	0	0	Spanner	2/4	1	1	0																
21	20	67	67	0.0	0	0	Spanner	2/4	1	1	0																
21	20	67	67	0.0	0	0	Spanner	2/4	1	1	0																
21	20	67	67	0.0	0	0	Spanner	2/4	1	1	0																
21	20	67	67	0.0	0	0	Spanner	2/4	1	1	0																
21	20	67	67	0.0	0	0	Spanner	2/4	1	1	0																
21	20	67	67	0.0	0	0	Spanner	2/4	1	1	0																
21	20	67	67	0.0	0	0	Spanner	2/4	1	1	0																
21	20	67	67	0.0	0	0	Spanner	2/4	1	1	0																
21	20	67	67	0.0	0	0	Spanner	2/4	1	1	0																
21	20	67	67	0.0	0	0	Spanner	2/4	1	1	0																
21	20	67	67	0.0	0	0	Spanner	2/4	1	1	0																
21	20	67	67	0.0	0	0	Spanner	2/4	1	1	0																
21	20	67	67	0.0	0	0	Spanner	2/4	1	1	0																
21	20	67	67	0.0	0	0	Spanner	2/4	1	1	0																
21	20	67	67	0.0	0	0	Spanner	2/4	1	1	0																
21	20	67	67	0.0	0	0	Spanner	2/4	1	1	0																
21	20	67	67	0.0	0	0	Spanner	2/4	1	1	0																
21	20	67	67	0.0	0	0	Spanner	2/4	1	1	0																
21	20	67	67	0.0	0	0	Spanner	2/4	1	1	0																
21	20	67	67	0.0	0	0	Spanner	2/4	1	1	0																
21	20	67	67	0.0	0	0	Spanner	2/4	1	1	0																
21	20	67	67	0.0	0	0	Spanner	2/4	1	1	0																
21	20	67	67	0.0	0	0	Spanner	2/4	1	1	0																
21	20	67	67	0.0	0	0	Spanner	2/4	1	1	0																
21	20	67	67	0.0	0	0	Spanner	2/4	1	1	0																
21	20	67	67	0.0	0	0	Spanner	2/4	1	1	0																
21	20	67	67	0.0	0	0	Spanner	2/4	1	1	0																
21	20	67	67	0.0	0	0	Spanner	2/4	1	1	0																
21	20	67	67	0.0	0	0	Spanner	2/4	1	1	0																
21	20	67	67	0.0	0	0	Spanner	2/4	1	1	0																
21	20	67	67	0.0	0	0	Spanner	2/4	1	1	0																
21	20	67	67	0.0	0	0	Spanner	2/4	1	1	0																
21	20	67	67	0.0	0	0	Spanner	2/4	1	1	0																
21	20	67	67	0.0	0	0	Spanner	2/4	1	1	0																12
21	20	67	67	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	278									38			12
21	20	135/2	135/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	279									38			12
21	20	271/4	271/4	0.0	3/16	3/16	Spanner	2/4	1	1	0																
21	20	271/4	271/4	0.0	3/16	3/16	Chord	2/4	1	1	0	acciaccatura	1/8	1	280												
21	20	271/4	271/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	281												
21	20	273/4	273/4	0.5	5/16	5/16	Chord	2/4	1	1	1/8		1/8	1	282									39			
21	20	275/4	275/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	283									39			
21	20	269/4	269/4	1.5	1/16	1/16	Chord	2/4	2	1	3/8		1/4	3/2	284												
21	20	67	67	0.25	0	0	Chord	2/4	2	2	1/16		1/16	1	285									40			
21	20	269/4	269/4	0.5	1/16	1/16	Chord	2/4	2	2	1/8		1/8	1	286												
21	20	271/4	271/4	0.25	3/16	3/16	Chord	2/4	2	2	1/16		1/16	1	287									41			
21	20	68	68	0.5	1/4	1/4	Chord	2/4	2	2	1/8		1/8	1	288												
21	20	137/2	137/2	0.25	3/8	3/8	Chord	2/4	2	2	1/16		1/16	1	289									42			
21	20	275/4	275/4	0.25	7/16	7/16	Chord	2/4	2	2	1/16		1/16	1	290												
22	21	69	69	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	291									43			
22	21	139/2	139/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	292									43			
22	21	279/4	279/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	293									43			
22	21	70	70	0.0	1/4	1/4	Chord	2/4	1	1	0	acciaccatura	1/8	1	294									43			
22	21	70	70	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	295									43			
22	21	281/4	281/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	296									43			
22	21	141/2	141/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	297									43			
22	21	283/4	283/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	298									44			
22	21	69	69	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	299									45			
22	21	277/4	277/4	0.5	1/16	1/16	Chord	2/4	2	1	1/8		1/8	1	300												
22	21	279/4	279/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	301									46			
22	21	70	70	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	302												
22	21	141/2	141/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	303									47			
22	21	283/4	283/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	304												
23	22	71	71	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	305									48			
23	22	285/4	285/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	306												
23	22	143/2	143/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	307									49			
23	22	72	72	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	308												
23	22	289/4	289/4	0.5	5/16	5/16	Chord	2/4	1	1	1/8		1/8	1	309									50			
23	22	291/4	291/4	0.125	7/16	7/16	Chord	2/4	1	1	1/32		1/32	1	310									50			
23	22	583/8	583/8	0.125	15/32	15/32	Chord	2/4	1	1	1/32		1/32	1	311												
23	22	71	71	0.75	0	0	Chord	2/4	2	1	3/16		1/8	3/2	312												
23	22	287/4	287/4	0.75	3/16	3/16	Chord	2/4	2	1	3/16		1/8	3/2	313												
23	22	145/2	145/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	314									51			
23	22	71	71	0.25	0	0	Chord	2/4	2	2	1/16		1/16	1	315									52			
23	22	285/4	285/4	0.5	1/16	1/16	Chord	2/4	2	2	1/8		1/8	1	316												
23	22	287/4	287/4	0.25	3/16	3/16	Chord	2/4	2	2	1/16		1/16	1	317									53			
23	22	72	72	0.5	1/4	1/4	Chord	2/4	2	2	1/8		1/8	1	318												
23	22	145/2	145/2	0.25	3/8	3/8	Chord	2/4	2	2	1/16		1/16	1	319									54			
23	22	291/4	291/4	0.25	7/16	7/16	Chord	2/4	2	2	1/16		1/16	1	320												
24	23	73	73	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	321									55			
24	23	293/4	293/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	322												
24	23	147/2	147/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	323									56			
24	23	74	74	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	324									56			
24	23	297/4	297/4	0.125	5/16	5/16	Chord	2/4	1	1	1/32		1/32	1	325									56			
24	23	595/8	595/8	0.125	11/32	11/32	Chord	2/4	1	1	1/32		1/32	1	326									56			
24	23	149/2	149/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	327									56			
24	23	299/4	299/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	328									56			
24	23	295/4	295/4	0.5	3/16	3/16	Chord	2/4	1	2	1/8		1/8	1	329												
24	23	297/4	297/4	0.5	5/16	5/16	Chord	2/4	1	2	1/8		1/8	1	330												
24	23	299/4	299/4	0.25	7/16	7/16	Chord	2/4	1	2	1/16		1/16	1	331												
24	23	73	73	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	332												
24	23	147/2	147/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	333									57			
24	23	74	74	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	334									57			
24	23	149/2	149/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	335												
25	24	75	75	0.0	0	0	StaffText	2/4	1	1	0							cantando						56			
25	24	75	75	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	336									56			
25	24	301/4	301/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	337												
25	24	151/2	151/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	338									58			
25	24	76	76	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	339									58			
25	24	305/4	305/4	0.125	5/16	5/16	Chord	2/4	1	1	1/32		1/32	1	340									58			
25	24	611/8	611/8	0.125	11/32	11/32	Chord	2/4	1	1	1/32		1/32	1	341									58			
25	24	153/2	153/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	342									58			
25	24	307/4	307/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	343									58			
25	24	75	75	1.0	0	0	Chord	2/4	1	2	1/4		1/4	1	344												
25	24	76	76	0.25	1/4	1/4	Chord	2/4	1	2	1/16		1/16	1	345												
25	24	305/4	305/4	0.5	5/16	5/16	Chord	2/4	1	2	1/8		1/8	1	346												
25	24	307/4	307/4	0.25	7/16	7/16	Chord	2/4	1	2	1/16		1/16	1	347												
25	24	75	75	0.0	0	0	Spanner	2/4	2	1	0																
25	24	75	75	0.0	0	0	Spanner	2/4	2	1	0																
25	24	75	75	0.0	0	0	Spanner	2/4	2	1	0																
25	24	75	75	0.0	0	0	Spanner	2/4	2	1	0																
25	24	75	75	0.0	0	0	Spanner	2/4	2	1	0																
25	24	75	75	0.0	0	0	Spanner	2/4	2	1	0																
25	24	75	75	0.0	0	0	Spanner	2/4	2	1	0																
25	24	75	75	0.0	0	0	Spanner	2/4	2	1	0																
25	24	75	75	0.0	0	0	Spanner	2/4	2	1	0																
25	24	75	75	0.0	0	0	Spanner	2/4	2	1	0																
25	24	75	75	0.0	0	0	Spanner	2/4	2	1	0																
25	24	75	75	0.0	0	0	Spanner	2/4	2	1	0																
25	24	75	75	0.0	0	0	Spanner	2/4	2	1	0																
25	24	75	75	0.0	0	0	Spanner	2/4	2	1	0																
25	24	75	75	0.0	0	0	Spanner	2/4	2	1	0																
25	24	75	75	0.0	0	0	Spanner	2/4	2	1	0																
25	24	75	75	0.0	0	0	Spanner	2/4	2	1	0																
25	24	75	75	0.0	0	0	Spanner	2/4	2	1	0																
25	24	75	75	0.0	0	0	Spanner	2/4	2	1	0																
25	24	75	75	0.0	0	0	Spanner	2/4	2	1	0																
25	24	75	75	0.0	0	0	Spanner	2/4	2	1	0																
25	24	75	75	0.0	0	0	Spanner	2/4	2	1	0																
25	24	75	75	0.0	0	0	Spanner	2/4	2	1	0																
25	24	75	75	0.0	0	0	Spanner	2/4	2	1	0																
25	24	75	75	0.0	0	0	Spanner	2/4	2	1	0																
25	24	75	75	0.0	0	0	Spanner	2/4	2	1	0																
25	24	75	75	0.0	0	0	Spanner	2/4	2	1	0																
25	24	75	75	0.0	0	0	Spanner	2/4	2	1	0																
25	24	75	75	0.0	0	0	Spanner	2/4	2	1	0																
25	24	75	75	0.0	0	0	Spanner	2/4	2	1	0																
25	24	75	75	0.0	0	0	Spanner	2/4	2	1	0																
25	24	75	75	0.0	0	0	Spanner	2/4	2	1	0																
25	24	75	75	0.0	0	0	Spanner	2/4	2	1	0																
25	24	75	75	0.0	0	0	Spanner	2/4	2	1	0																
25	24	75	75	0.0	0	0	Spanner	2/4	2	1	0																
25	24	75	75	0.0	0	0	Spanner	2/4	2	1	0																
25	24	75	75	0.0	0	0	Spanner	2/4	2	1	0																
25	24	75	75	0.0	0	0	Spanner	2/4	2	1	0																
25	24	75	75	0.0	0	0	Spanner	2/4	2	1	0																
25	24	75	75	0.0	0	0	Spanner	2/4	2	1	0																
25	24	75	75	0.0	0	0	Spanner	2/4	2	1	0																
25	24	75	75	0.0	0	0	Spanner	2/4	2	1	0																
25	24	75	75	0.0	0	0	Spanner	2/4	2	1	0																
25	24	75	75	0.0	0	0	Spanner	2/4	2	1	0																
25	24	75	75	0.0	0	0	Spanner	2/4	2	1	0																
25	24	75	75	0.0	0	0	Spanner	2/4	2	1	0																
25	24	75	75	0.0	0	0	Spanner	2/4	2	1	0																
25	24	75	75	0.0	0	0	Spanner	2/4	2	1	0																
25	24	75	75	0.0	0	0	Spanner	2/4	2	1	0																
25	24	75	75	0.0	0	0	Spanner	2/4	2	1	0																
25	24	75	75	0.0	0	0	Spanner	2/4	2	1	0																
25	24	75	75	0.0	0	0	Spanner	2/4	2	1	0																
25	24	75	75	0.0	0	0	Spanner	2/4	2	1	0																
25	24	75	75	0.0	0	0	Spanner	2/4	2	1	0																
25	24	75	75	0.0	0	0	Spanner	2/4	2	1	0																
25	24	75	75	0.0	0	0	Spanner	2/4	2	1	0																
25	24	75	75	0.0	0	0	Spanner	2/4	2	1	0																
25	24	75	75	0.0	0	0	Spanner	2/4	2	1	0																
25	24	75	75	0.0	0	0	Spanner	2/4	2	1	0																
25	24	75	75	0.0	0	0	Spanner	2/4	2	1	0																
25	24	75	75	0.0	0	0	Spanner	2/4	2	1	0																
25	24	75	75	0.0	0	0	Spanner	2/4	2	1	0																
25	24	75	75	0.0	0	0	Spanner	2/4	2	1	0																
25	24	75	75	0.0	0	0	Spanner	2/4	2	1	0																
25	24	75	75	0.0	0	0	Spanner	2/4	2	1	0																
25	24	75	75	0.0	0	0	Spanner	2/4	2	1	0																
25	24	75	75	0.0	0	0	Spanner	2/4	2	1	0																13
25	24	75	75	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	348									59			13
25	24	151/2	151/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	349									59			13
25	24	303/4	303/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	350												13
25	24	76	76	0.0	1/4	1/4	Spanner	2/4	2	1	0																
25	24	305/4	305/4	0.0	5/16	5/16	Chord	2/4	2	1	0	acciaccatura	1/8	1	351												
25	24	305/4	305/4	0.5	5/16	5/16	Chord	2/4	2	1	1/8		1/8	1	352									60			
25	24	307/4	307/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	353									60			
25	24	77	77	0.0	1/2	1/2	Spanner	2/4	2	1	0													60			14
25	24	77	77	0.0	1/2	1/2	Spanner	2/4	2	1	0													60			14
25	24	77	77	0.0	1/2	1/2	Spanner	2/4	2	1	0													60			14, 15
25	24	75	75	0.0	0	0	Chord	2/4	2	2	0	acciaccatura	1/8	1	354												14, 15
25	24	75	75	2.0	0	0	Chord	2/4	2	2	1/2		1/2	1	355												14, 15
26	25	77	77	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	356									58			
26	25	309/4	309/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	357									58			
26	25	155/2	155/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	358									61			
26	25	78	78	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	359									61			
26	25	313/4	313/4	0.125	5/16	5/16	Chord	2/4	1	1	1/32		1/32	1	360									61			
26	25	627/8	627/8	0.125	11/32	11/32	Chord	2/4	1	1	1/32		1/32	1	361									61			
26	25	157/2	157/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	362									61			
26	25	315/4	315/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	363									61			
26	25	77	77	0.25	0	0	Chord	2/4	1	2	1/16		1/16	1	364												
26	25	309/4	309/4	0.25	1/16	1/16	Chord	2/4	1	2	1/16		1/16	1	365												
26	25	155/2	155/2	0.5	1/8	1/8	Chord	2/4	1	2	1/8		1/8	1	366												
26	25	78	78	0.25	1/4	1/4	Chord	2/4	1	2	1/16		1/16	1	367												
26	25	313/4	313/4	0.5	5/16	5/16	Chord	2/4	1	2	1/8		1/8	1	368												
26	25	315/4	315/4	0.25	7/16	7/16	Chord	2/4	1	2	1/16		1/16	1	369												
26	25	77	77	0.0	0	0	Spanner	2/4	2	1	0																15
26	25	77	77	0.0	0	0	Spanner	2/4	2	1	0																15
26	25	77	77	0.0	0	0	Spanner	2/4	2	1	0																15, 16
26	25	77	77	0.0	0	0	Chord	2/4	2	1	0	acciaccatura	1/8	1	370												15, 16
26	25	77	77	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	371									62			15, 16
26	25	155/2	155/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	372									62			15, 16
26	25	311/4	311/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	373												15, 16
26	25	78	78	0.0	1/4	1/4	Spanner	2/4	2	1	0																
26	25	313/4	313/4	0.0	5/16	5/16	Chord	2/4	2	1	0	acciaccatura	1/8	1	374												
26	25	313/4	313/4	0.5	5/16	5/16	Chord	2/4	2	1	1/8		1/8	1	375									63			
26	25	315/4	315/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	376									63			
26	25	77	77	2.0	0	0	Chord	2/4	2	2	1/2		1/2	1	377												
27	26	79	79	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	378									61			
27	26	317/4	317/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	379												
27	26	79	79	0.25	0	0	Chord	2/4	1	2	1/16		1/16	1	380												
27	26	317/4	317/4	0.25	1/16	1/16	Chord	2/4	1	2	1/16		1/16	1	381												
27	26	79	79	0.0	0	0	Chord	2/4	2	1	0	acciaccatura	1/8	1	382												
27	26	79	79	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	383									64			
27	26	159/2	159/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	384									64			
27	26	319/4	319/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	385									64			
27	26	80	80	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	386									64			
27	26	321/4	321/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	387									64			
27	26	161/2	161/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	388									64			
27	26	323/4	323/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	389												
27	26	79	79	1.0	0	0	Chord	2/4	2	2	1/4		1/4	1	390												
27	26	80	80	0.75	1/4	1/4	Chord	2/4	2	2	3/16		1/8	3/2	391												
27	26	323/4	323/4	0.25	7/16	7/16	Chord	2/4	2	2	1/16		1/16	1	392												
28	27	81	81	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	393									65			
28	27	325/4	325/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	394												
28	27	327/4	327/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	395									66			
28	27	82	82	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	396												
28	27	165/2	165/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	397									67			
28	27	331/4	331/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	398												
28	27	81	81	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	399									68			
28	27	325/4	325/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	400												
28	27	163/2	163/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	401									69			
28	27	82	82	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	402												
28	27	329/4	329/4	0.5	5/16	5/16	Chord	2/4	2	1	1/8		1/8	1	403									70			
28	27	331/4	331/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	404												
28	27	81	81	0.5	0	0	Chord	2/4	2	2	1/8		1/8	1	405												
28	27	163/2	163/2	0.5	1/8	1/8	Chord	2/4	2	2	1/8		1/8	1	406												
28	27	329/4	329/4	0.5	5/16	5/16	Chord	2/4	2	2	1/8		1/8	1	407												
29	28	83	83	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	408		articTenutoAbove							71			
29	28	167/2	167/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	409		articTenutoAbove							71			
29	28	335/4	335/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	410		articTenutoAbove							71			
29	28	84	84	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	411									71			
29	28	337/4	337/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	412									71			
29	28	169/2	169/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	413		articTenutoAbove							71			
29	28	339/4	339/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	414		articTenutoAbove							72			
29	28	333/4	333/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	415									73			
29	28	167/2	167/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	416												
29	28	84	84	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	417									74			
29	28	337/4	337/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	418												
29	28	339/4	339/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	419									75			
