mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	Trill:trill	pedal	Pedal_<sym>keyboardPedalPed</sym>	crescendo_hairpin	decrescendo_hairpin
5	5	39/2	39/2	0.5		7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	51									6					
5	5	33/2	33/2	0.5		1/8	1/8	Chord	4/4	1	2	1/8		1/8	1	52									7					
5	5	17	17	1.0		1/4	1/4	Chord	4/4	1	2	1/4		1/4	1	53														
5	5	37/2	37/2	0.5		5/8	5/8	Chord	4/4	1	2	1/8		1/8	1	54														
5	5	19	19	1.0		3/4	3/4	Chord	4/4	1	2	1/4		1/4	1	55														
5	5	16	16	1.5		0	0	Chord	4/4	2	1	3/8		1/4	3/2	56														
5	5	35/2	35/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	57									8					
5	5	18	18	1.5		1/2	1/2	Chord	4/4	2	1	3/8		1/4	3/2	58														
5	5	39/2	39/2	0.5		7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	59									9					
5	5	16	16	4.0		0	0	Chord	4/4	2	2	1		1	1	60														
6	6	20	20	0.5		0	0	Chord	4/4	1	1	1/8		1/8	1	61														
6	6	41/2	41/2	0.5		1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	62									10					
6	6	21	21	0.5		1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	63									10					
6	6	43/2	43/2	0.5		3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	64									10					
6	6	22	22	1.0		1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	65									10					
6	6	23	23	1.0		3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	66														
6	6	20	20	1.5		0	0	Chord	4/4	2	1	3/8		1/4	3/2	67														
6	6	43/2	43/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	68									11					
6	6	22	22	1.5		1/2	1/2	Chord	4/4	2	1	3/8		1/4	3/2	69														
6	6	47/2	47/2	0.5		7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	70									12					
6	6	20	20	4.0		0	0	Chord	4/4	2	2	1		1	1	71														
7	7	24	24	1.5		0	0	Chord	4/4	1	1	3/8		1/4	3/2	72									13					
7	7	51/2	51/2	0.5		3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	73									13					
7	7	26	26	1.0		1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	74									13					
7	7	27	27	1.0		3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	75														
7	7	24	24	0.0		0	0	StaffText	4/4	2	1	0							"<font size=""9.8903""/><font face=""Plantin MT Std""/>diminuendo"						12					
7	7	24	24	0.0		0	0	Chord	4/4	2	1	0	acciaccatura	1/8	1	76									12					
7	7	24	24	1.5		0	0	Chord	4/4	2	1	3/8		1/4	3/2	77		ornamentTrill							12					
7	7	51/2	51/2	0.25		3/8	3/8	Chord	4/4	2	1	1/16		1/16	1	78									12					
7	7	103/4	103/4	0.25		7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	79									12					
7	7	26	26	1.5		1/2	1/2	Chord	4/4	2	1	3/8		1/4	3/2	80									12					
7	7	55/2	55/2	0.5		7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	81									12					
7	7	24	24	4.0		0	0	Chord	4/4	2	2	1		1	1	82														
8	8	57/2	57/2	0.5		1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	83									14					
8	8	29	29	0.5		1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	84									14					
8	8	59/2	59/2	0.5		3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	85									14					
8	8	30	30	1.0		1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	86														
8	8	31	31	0.14285714285714285		3/4	3/4	Chord	4/4	1	1	1/28		1/16	4/7	87									15					
8	8	218/7	218/7	0.14285714285714285		11/14	11/14	Chord	4/4	1	1	1/28		1/16	4/7	88									15					
8	8	15017/480	15017/480	0.14285714285714285		1577/1920	1577/1920	Chord	4/4	1	1	1/28		1/16	4/7	89									15					
8	8	105599/3360	105599/3360	0.14285714285714285		11519/13440	11519/13440	Chord	4/4	1	1	1/28		1/16	4/7	90									15					
8	8	7577/240	7577/240	0.14285714285714285		857/960	857/960	Chord	4/4	1	1	1/28		1/16	4/7	91									15					
8	8	53279/1680	53279/1680	0.14285714285714285		6239/6720	6239/6720	Chord	4/4	1	1	1/28		1/16	4/7	92									15					
8	8	5097/160	5097/160	0.14285714285714285		617/640	617/640	Chord	4/4	1	1	1/28		1/16	4/7	93									15					
8	8	31	31	1.0		3/4	3/4	Chord	4/4	1	2	1/4		1/4	1	94														
8	8	28	28	1.5		0	0	Chord	4/4	2	1	3/8		1/4	3/2	95									12					
8	8	59/2	59/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	96									12					
8	8	30	30	1.0		1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	97														
8	8	31	31	1.0		3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	98									16					
8	8	28	28	3.0		0	0	Chord	4/4	2	2	3/4		1/2	3/2	99														
9	9	32	32	1.0		0	0	Chord	4/4	1	1	1/4		1/4	1	100														
9	9	35	35	1.0		3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	101		articAccentAbove							17					
9	9	67/2	67/2	0.5		3/8	3/8	Chord	4/4	1	2	1/8		1/8	1	102														
9	9	69/2	69/2	0.5		5/8	5/8	Chord	4/4	1	2	1/8		1/8	1	103														
9	9	71/2	71/2	0.0		7/8	7/8	Spanner	4/4	1	2	0																		0
9	9	71/2	71/2	0.5		7/8	7/8	Chord	4/4	1	2	1/8		1/8	1	104														0
9	9	32	32	1.0		0	0	Chord	4/4	2	1	1/4		1/4	1	105														
9	9	33	33	0.0		1/4	1/4	Spanner	4/4	2	1	0																		1
9	9	67/2	67/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	106														1
9	9	69/2	69/2	0.5		5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	107														1
9	9	71/2	71/2	0.5		7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	108														1
9	9	33	33	1.0		1/4	1/4	Chord	4/4	2	2	1/4		1/4	1	109		articAccentBelow							18					1
9	9	34	34	1.0		1/2	1/2	Chord	4/4	2	2	1/4		1/4	1	110									18					1
9	9	35	35	1.0		3/4	3/4	Chord	4/4	2	2	1/4		1/4	1	111									18					1
10	10	36	36	1.0		0	0	Chord	4/4	1	1	1/4		1/4	1	112									17					0
10	10	37	37	1.0		1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	113									17					0
10	10	38	38	1.0		1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	114														
10	10	39	39	0.0		3/4	3/4	Spanner	4/4	1	1	0																		2
10	10	39	39	0.14285714285714285		3/4	3/4	Chord	4/4	1	1	1/28		1/16	4/7	115									19					2
10	10	274/7	274/7	0.14285714285714285		11/14	11/14	Chord	4/4	1	1	1/28		1/16	4/7	116									19					2
10	10	18857/480	18857/480	0.14285714285714285		1577/1920	1577/1920	Chord	4/4	1	1	1/28		1/16	4/7	117									19					2
10	10	132479/3360	132479/3360	0.14285714285714285		11519/13440	11519/13440	Chord	4/4	1	1	1/28		1/16	4/7	118									19					2
10	10	9497/240	9497/240	0.14285714285714285		857/960	857/960	Chord	4/4	1	1	1/28		1/16	4/7	119									19					2
10	10	66719/1680	66719/1680	0.14285714285714285		6239/6720	6239/6720	Chord	4/4	1	1	1/28		1/16	4/7	120									19					2
10	10	6377/160	6377/160	0.14285714285714285		617/640	617/640	Chord	4/4	1	1	1/28		1/16	4/7	121									19					2
10	10	73/2	73/2	0.5		1/8	1/8	Chord	4/4	1	2	1/8		1/8	1	122														2
10	10	75/2	75/2	0.5		3/8	3/8	Chord	4/4	1	2	1/8		1/8	1	123														2
10	10	38	38	0.0		1/2	1/2	Spanner	4/4	1	2	0																		2
10	10	77/2	77/2	0.5		5/8	5/8	Chord	4/4	1	2	1/8		1/8	1	124														2
10	10	39	39	1.0		3/4	3/4	Chord	4/4	1	2	1/4		1/4	1	125									20					2
10	10	73/2	73/2	0.5		1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	126														1
10	10	75/2	75/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	127														1
10	10	38	38	0.0		1/2	1/2	Spanner	4/4	2	1	0																		
10	10	39	39	0.0		3/4	3/4	Spanner	4/4	2	1	0															0	0		
10	10	39	39	1.0		3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	128									21		0	0		
10	10	36	36	1.0		0	0	Chord	4/4	2	2	1/4		1/4	1	129									18		0	0		
10	10	37	37	1.0		1/4	1/4	Chord	4/4	2	2	1/4		1/4	1	130									18		0	0		
10	10	38	38	0.5		1/2	1/2	Chord	4/4	2	2	1/8		1/8	1	131											0	0		
10	10	39	39	1.0		3/4	3/4	Chord	4/4	2	2	1/4		1/4	1	132									22		0	0		
11	11	40	40	0.5		0	0	Chord	4/4	1	1	1/8		1/8	1	133														2
11	11	81/2	81/2	0.0		1/8	1/8	Spanner	4/4	1	1	0																		
11	11	83/2	83/2	0.0		3/8	3/8	Spanner	4/4	1	1	0																		3
11	11	83/2	83/2	0.5		3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	134									23					3
11	11	42	42	0.5		1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	135									23					3
11	11	85/2	85/2	0.5		5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	136									23					3
11	11	43	43	0.5		3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	137									23					3
11	11	87/2	87/2	0.0		7/8	7/8	Spanner	4/4	1	1	0													23					
11	11	87/2	87/2	0.5		7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	138									23					
11	11	40	40	0.5		0	0	Chord	4/4	1	2	1/8		1/8	1	139														
11	11	40	40	0.5		0	0	Chord	4/4	2	1	1/8		1/8	1	140											0	0		
11	11	81/2	81/2	0.0		1/8	1/8	Dynamic	4/4	2	1	0					f													
11	11	81/2	81/2	0.0		1/8	1/8	Spanner	4/4	2	1	0																		
11	11	81/2	81/2	0.0		1/8	1/8	Spanner	4/4	2	1	0																		4
11	11	81/2	81/2	0.5		1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	141														4
11	11	41	41	0.0		1/4	1/4	StaffText	4/4	2	1	0							"<font size=""9.8903""/><font face=""Plantin MT Std""/>diminuendo"											4
11	11	41	41	2.0		1/4	1/4	Chord	4/4	2	1	1/2		1/2	1	142														4
11	11	42	42	0.0		1/2	1/2	Spanner	4/4	2	1	0																		
11	11	43	43	0.5		3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	143														
11	11	87/2	87/2	0.0		7/8	7/8	Spanner	4/4	2	1	0																		5
11	11	87/2	87/2	0.5		7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	144														5
11	11	40	40	0.5		0	0	Chord	4/4	2	2	1/8		1/8	1	145														5
11	11	81/2	81/2	0.5		1/8	1/8	Chord	4/4	2	2	1/8		1/8	1	146									24					5
11	11	41	41	0.5		1/4	1/4	Chord	4/4	2	2	1/8		1/8	1	147									24					5
11	11	83/2	83/2	0.5		3/8	3/8	Chord	4/4	2	2	1/8		1/8	1	148									24					5
11	11	42	42	0.5		1/2	1/2	Chord	4/4	2	2	1/8		1/8	1	149									24					5
11	11	85/2	85/2	0.5		5/8	5/8	Chord	4/4	2	2	1/8		1/8	1	150									24					5
11	11	43	43	0.5		3/4	3/4	Chord	4/4	2	2	1/8		1/8	1	151														5
11	11	87/2	87/2	0.5		7/8	7/8	Chord	4/4	2	2	1/8		1/8	1	152									25					5
12	12	44	44	0.5		0	0	Chord	4/4	1	1	1/8		1/8	1	153														
12	12	89/2	89/2	0.0		1/8	1/8	Spanner	4/4	1	1	0																		6
12	12	89/2	89/2	0.5		1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	154									26					6
12	12	45	45	0.5		1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	155									26					6
12	12	91/2	91/2	0.5		3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	156									26					6
12	12	46	46	0.0		1/2	1/2	Spanner	4/4	1	1	0																		
12	12	46	46	1.0		1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	157														
12	12	47	47	1.0		3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	158		ornamentTrill							27					
12	12	47	47	1.0		3/4	3/4	Chord	4/4	1	2	1/4		1/4	1	159									28					
12	12	44	44	3.0		0	0	Chord	4/4	2	1	3/4		1/2	3/2	160									29					5
12	12	46	46	0.0		1/2	1/2	Spanner	4/4	2	1	0													29					
12	12	47	47	1.0		3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	161														
12	12	44	44	0.5		0	0	Chord	4/4	2	2	1/8		1/8	1	162									25					
12	12	89/2	89/2	0.5		1/8	1/8	Chord	4/4	2	2	1/8		1/8	1	163									25					
12	12	45	45	0.5		1/4	1/4	Chord	4/4	2	2	1/8		1/8	1	164									25					
12	12	91/2	91/2	0.5		3/8	3/8	Chord	4/4	2	2	1/8		1/8	1	165									25					
12	12	46	46	0.5		1/2	1/2	Chord	4/4	2	2	1/8		1/8	1	166									25					
12	12	93/2	93/2	0.5		5/8	5/8	Chord	4/4	2	2	1/8		1/8	1	167									25					
12	12	47	47	0.5		3/4	3/4	Chord	4/4	2	2	1/8		1/8	1	168									25					
12	12	95/2	95/2	0.5		7/8	7/8	Chord	4/4	2	2	1/8		1/8	1	169														
13	13	48	48	4.0		0	0	Chord	4/4	1	1	1		1	1	170														
13	13	48	48	1.0		0	0	Chord	4/4	1	2	1/4		1/4	1	171														
13	13	48	48	0.0		0	0	Dynamic	4/4	2	1	0					mp													
13	13	48	48	0.0		0	0	StaffText	4/4	2	1	0							espressivo (ma a tempo)											
13	13	97/2	97/2	0.5		1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	172									30					
13	13	49	49	1.0		1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	173														
13	13	50	50	0.5		1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	174									31					
13	13	101/2	101/2	0.5		5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	175									31					
13	13	51	51	0.5		3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	176									31					
13	13	103/2	103/2	0.5		7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	177									31					
14	14	52	52	2.0		0	0	Chord	4/4	1	1	1/2		1/2	1	178														
14	14	52	52	0.5		0	0	Chord	4/4	2	1	1/8		1/8	1	179														
14	14	105/2	105/2	0.5		1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	180									32					
14	14	53	53	0.5		1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	181									32					
14	14	107/2	107/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	182									32					
14	14	54	54	0.5		1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	183									32					
14	14	109/2	109/2	0.5		5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	184									32					
14	14	55	55	0.5		3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	185									33					
14	14	111/2	111/2	0.5		7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	186									33					
15	15	56	56	0.0		0	0	StaffText	4/4	2	1	0							"<font size=""9.8903""/><font face=""Plantin MT Std""/>poco calando"						33					
15	15	56	56	0.5		0	0	Chord	4/4	2	1	1/8		1/8	1	187									33					
15	15	113/2	113/2	0.5		1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	188									33					
15	15	57	57	0.0		1/4	1/4	Dynamic	4/4	2	1	0					p													
15	15	57	57	1.5		1/4	1/4	Chord	4/4	2	1	3/8		1/4	3/2	189									34					
15	15	117/2	117/2	0.5		5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	190									34					
15	15	59	59	0.5		3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	191									34					
15	15	119/2	119/2	0.5		7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	192									34					
16	16	63	63	0.0		3/4	3/4	Dynamic	4/4	1	1	0					p													
16	16	63	63	1.0		3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	193									35					
16	16	60	60	0.5		0	0	Chord	4/4	2	1	1/8		1/8	1	194														
16	16	121/2	121/2	0.125		1/8	1/8	Chord	4/4	2	1	1/32		1/32	1	195									36					
16	16	485/8	485/8	0.125		5/32	5/32	Chord	4/4	2	1	1/32		1/32	1	196									36					
16	16	243/4	243/4	0.125		3/16	3/16	Chord	4/4	2	1	1/32		1/32	1	197									36					
16	16	487/8	487/8	0.125		7/32	7/32	Chord	4/4	2	1	1/32		1/32	1	198									36					
16	16	61	61	0.5		1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	199									36					
16	16	123/2	123/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	200									36					
16	16	62	62	0.0		1/2	1/2	Dynamic	4/4	2	1	0					pp								36					
16	16	62	62	0.5		1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	201									36					
16	16	125/2	125/2	0.5		5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	202									36					
16	16	63	63	1.0		3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	203														
17	17	64	64	0.0		0	0	Dynamic	4/4	1	1	0					p													
17	17	64	64	0.0		0	0	StaffText	4/4	1	1	0							"<font size=""9.8903""/><font face=""Plantin MT Std""/>cantando"											
17	17	64	64	3.0		0	0	Chord	4/4	1	1	3/4		1/2	3/2	204									37					
17	17	67	67	1.0		3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	205														
17	17	64	64	0.5		0	0	Chord	4/4	1	2	1/8		1/8	1	206														
17	17	66	66	0.5		1/2	1/2	Chord	4/4	1	2	1/8		1/8	1	207														
17	17	64	64	0.0		0	0	StaffText	4/4	2	1	0							"<font size=""9.8903""/><font face=""Plantin MT Std""/> a tempo"											
17	17	64	64	0.0		0	0	Spanner	4/4	2	1	0															1	1		
17	17	64	64	0.5		0	0	Chord	4/4	2	1	1/8		1/8	1	208											1	1		
17	17	65	65	0.0		1/4	1/4	Spanner	4/4	2	1	0																		
17	17	66	66	0.0		1/2	1/2	Spanner	4/4	2	1	0															2	2		
17	17	66	66	0.5		1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	209											2	2		
17	17	67	67	0.0		3/4	3/4	Spanner	4/4	2	1	0																		
18	18	68	68	0.0		0	0	Chord	4/4	1	1	0	acciaccatura	1/8	1	210														
18	18	68	68	0.5		0	0	Chord	4/4	1	1	1/8		1/8	1	211									38					
18	18	137/2	137/2	1.0		1/8	1/8	Chord	4/4	1	1	1/4		1/4	1	212									38					
18	18	139/2	139/2	0.5		3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	213									38					
18	18	70	70	1.0		1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	214									38					
18	18	71	71	1.0		3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	215														
18	18	68	68	0.5		0	0	Chord	4/4	1	2	1/8		1/8	1	216														
18	18	70	70	0.5		1/2	1/2	Chord	4/4	1	2	1/8		1/8	1	217														
18	18	68	68	0.0		0	0	Spanner	4/4	2	1	0															3	3		
18	18	68	68	0.5		0	0	Chord	4/4	2	1	1/8		1/8	1	218											3	3		
18	18	69	69	0.0		1/4	1/4	Spanner	4/4	2	1	0																		
18	18	70	70	0.0		1/2	1/2	Spanner	4/4	2	1	0															4	4		
18	18	70	70	0.5		1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	219											4	4		
18	18	71	71	0.0		3/4	3/4	Spanner	4/4	2	1	0																		
19	19	72	72	1.0		0	0	Chord	4/4	1	1	1/4		1/4	1	220									39					
19	19	73	73	1.0		1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	221														
19	19	74	74	1.0		1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	222									40					
19	19	75	75	1.0		3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	223														
19	19	72	72	0.5		0	0	Chord	4/4	1	2	1/8		1/8	1	224														
19	19	72	72	0.0		0	0	StaffText	4/4	2	1	0							"<font size=""9.8903""/><font face=""Plantin MT Std""/>simile"											
19	19	72	72	0.5		0	0	Chord	4/4	2	1	1/8		1/8	1	225														
19	19	74	74	0.5		1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	226														
20	20	76	76	1.0		0	0	Chord	4/4	1	1	1/4		1/4	1	227									41					
20	20	77	77	1.0		1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	228														
20	20	78	78	0.5		1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	229									42					
20	20	157/2	157/2	1.0		5/8	5/8	Chord	4/4	1	1	1/4		1/4	1	230									42					
20	20	159/2	159/2	0.5		7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	231									42					
20	20	76	76	0.5		0	0	Chord	4/4	1	2	1/8		1/8	1	232														
20	20	78	78	0.5		1/2	1/2	Chord	4/4	1	2	1/8		1/8	1	233														
20	20	159/2	159/2	0.5		7/8	7/8	Chord	4/4	1	2	1/8		1/8	1	234									43					
20	20	76	76	0.5		0	0	Chord	4/4	2	1	1/8		1/8	1	235														
20	20	78	78	0.5		1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	236														
20	20	159/2	159/2	0.5		7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	237														
21	21	80	80	1.5		0	0	Chord	4/4	1	1	3/8		1/4	3/2	238									42					
21	21	163/2	163/2	0.5		3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	239									42					
21	21	82	82	1.5		1/2	1/2	Chord	4/4	1	1	3/8		1/4	3/2	240									42					
