mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	Trill:trill	decrescendo_hairpin	crescendo_hairpin	crescendo_line	pedal	Pedal_<sym>keyboardPedalPed</sym>	Ottava:8va
345	344	520	520	0.25	0	0	Chord	4/4	1	1	1/16		1/16	1	2337									250			43				
345	344	2081/4	2081/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16		1/16	1	2338									250			43				
345	344	1041/2	1041/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	2339		articStaccatoBelow										43				
345	344	521	521	0.0	1/4	1/4	Dynamic	4/4	1	1	0					p															
345	344	521	521	0.0	1/4	1/4	Spanner	4/4	1	1	0																				
345	344	1043/2	1043/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16		1/16	1	2340									251							
345	344	2087/4	2087/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	2341									251							
345	344	522	522	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	2342		articStaccatoBelow														
345	344	1045/2	1045/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	2343		articStaccatoBelow														
345	344	1047/2	1047/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	2344		articStaccatoBelow														
345	344	1043/2	1043/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8		1/8	1	2345																
345	344	520	520	0.0	0	0	StaffText	4/4	2	1	0							"<font size=""9.8903""/><font face=""Plantin MT Std""/>secco,<font size=""9.8903""/><font face=""Plantin MT Std""/>tenebroso"													
345	344	520	520	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	2346																
345	344	521	521	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	2347																
345	344	2087/4	2087/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	2348																
345	344	522	522	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	2349																
345	344	523	523	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	2350																
346	345	524	524	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	2351																
346	345	1049/2	1049/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	2352		articStaccatoBelow														
346	345	1051/2	1051/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	2353		articStaccatoBelow														
346	345	526	526	0.0	1/2	1/2	Spanner	4/4	1	1	0																44				
346	345	526	526	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	2354		articStaccatoAbove										44				
346	345	1053/2	1053/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16		1/16	1	2355									252			44				
346	345	2107/4	2107/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	2356									252			44				
346	345	527	527	0.0	3/4	3/4	StaffText	4/4	1	1	0							ten.													
346	345	527	527	0.0	3/4	3/4	Spanner	4/4	1	1	0																				
346	345	527	527	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	2357																
346	345	526	526	1.0	1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	2358																
346	345	527	527	0.25	3/4	3/4	Chord	4/4	1	2	1/16		1/16	1	2359									253							
346	345	2109/4	2109/4	0.25	13/16	13/16	Chord	4/4	1	2	1/16		1/16	1	2360									253							
346	345	1055/2	1055/2	0.25	7/8	7/8	Chord	4/4	1	2	1/16		1/16	1	2361									253							
346	345	2111/4	2111/4	0.25	15/16	15/16	Chord	4/4	1	2	1/16		1/16	1	2362									253							
346	345	524	524	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	2363																
346	345	525	525	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	2364																
346	345	2103/4	2103/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	2365																
346	345	526	526	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	2366									254							
346	345	527	527	0.0	3/4	3/4	Spanner	4/4	2	1	0													254		32					
346	345	527	527	0.25	3/4	3/4	Chord	4/4	2	1	1/16		1/16	1	2367									254		32					
346	345	2109/4	2109/4	0.25	13/16	13/16	Chord	4/4	2	1	1/16		1/16	1	2368									254		32					
346	345	1055/2	1055/2	0.25	7/8	7/8	Chord	4/4	2	1	1/16		1/16	1	2369									254		32					
346	345	2111/4	2111/4	0.0	15/16	15/16	Spanner	4/4	2	1	0													254							
346	345	2111/4	2111/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16		1/16	1	2370									254							
347	346	528	528	0.0	0	0	Spanner	4/4	1	1	0																45				
347	346	528	528	0.25	0	0	Chord	4/4	1	1	1/16		1/16	1	2371									255			45				
347	346	2113/4	2113/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16		1/16	1	2372									255			45				
347	346	1057/2	1057/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	2373												45				
347	346	529	529	0.0	1/4	1/4	Spanner	4/4	1	1	0																				
347	346	1059/2	1059/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16		1/16	1	2374									256							
347	346	2119/4	2119/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	2375									256							
347	346	530	530	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	2376																
347	346	1061/2	1061/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	2377		articStaccatoBelow														
347	346	1063/2	1063/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	2378		articStaccatoBelow														
347	346	1059/2	1059/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8		1/8	1	2379																
347	346	528	528	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	2380																
347	346	529	529	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	2381																
347	346	2119/4	2119/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	2382																
347	346	530	530	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	2383																
347	346	531	531	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	2384																
348	347	532	532	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	2385		articStaccatoBelow														
348	347	1065/2	1065/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	2386		articStaccatoBelow														
348	347	1067/2	1067/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	2387		articStaccatoAbove														
348	347	534	534	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	2388									257							
348	347	535	535	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	2389																
348	347	532	532	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	2390																
348	347	533	533	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	2391																
348	347	2135/4	2135/4	0.0	7/16	7/16	Spanner	4/4	2	1	0																46				
348	347	2135/4	2135/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	2392												46				
348	347	534	534	0.25	1/2	1/2	Chord	4/4	2	1	1/16		1/16	1	2393									258			46				
348	347	2137/4	2137/4	0.25	9/16	9/16	Chord	4/4	2	1	1/16		1/16	1	2394									258			46				
348	347	1069/2	1069/2	0.25	5/8	5/8	Chord	4/4	2	1	1/16		1/16	1	2395									258			46				
348	347	2139/4	2139/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16		1/16	1	2396									258			46				
348	347	535	535	0.0	3/4	3/4	Spanner	4/4	2	1	0													258							
348	347	535	535	0.0	3/4	3/4	Spanner	4/4	2	1	0													258		33					
348	347	535	535	0.25	3/4	3/4	Chord	4/4	2	1	1/16		1/16	1	2397									258		33					
348	347	2141/4	2141/4	0.25	13/16	13/16	Chord	4/4	2	1	1/16		1/16	1	2398									258		33					
348	347	1071/2	1071/2	0.25	7/8	7/8	Chord	4/4	2	1	1/16		1/16	1	2399									258		33					
348	347	2143/4	2143/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16		1/16	1	2400									258		33					
349	348	536	536	0.0	0	0	Spanner	4/4	1	1	0																47				
349	348	536	536	0.25	0	0	Chord	4/4	1	1	1/16		1/16	1	2401									259			47				
349	348	2145/4	2145/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16		1/16	1	2402									259			47				
349	348	1073/2	1073/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	2403												47				
349	348	537	537	0.0	1/4	1/4	Spanner	4/4	1	1	0																				
349	348	1075/2	1075/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16		1/16	1	2404									260							
349	348	2151/4	2151/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	2405									260							
349	348	538	538	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	2406																
349	348	1077/2	1077/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	2407		articStaccatoAbove														
349	348	1079/2	1079/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	2408		articStaccatoBelow														
349	348	1075/2	1075/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8		1/8	1	2409																
349	348	538	538	0.5	1/2	1/2	Chord	4/4	1	2	1/8		1/8	1	2410																
349	348	1077/2	1077/2	0.5	5/8	5/8	Chord	4/4	1	2	1/8		1/8	1	2411																
349	348	536	536	0.0	0	0	StaffText	4/4	2	1	0							"<font size=""9.8903""/><font face=""Plantin MT Std""/>rinforz."						258		33					
349	348	536	536	0.25	0	0	Chord	4/4	2	1	1/16		1/16	1	2412									258		33					
349	348	2145/4	2145/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16		1/16	1	2413									258		33					
349	348	1073/2	1073/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	2414											33					
349	348	537	537	0.0	1/4	1/4	Spanner	4/4	2	1	0																				
349	348	537	537	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	2415																
349	348	2151/4	2151/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	2416																
349	348	538	538	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	2417																
349	348	539	539	0.0	3/4	3/4	StaffText	4/4	2	1	0							"<font size=""9.8903""/><font face=""Plantin MT Std""/>dimin."													
349	348	539	539	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	2418																
349	348	2159/4	2159/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16		1/16	1	2419																
350	349	540	540	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	2420		articStaccatoBelow														
350	349	1081/2	1081/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	2421		articStaccatoBelow														
350	349	1083/2	1083/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	2422		articStaccatoAbove														
350	349	542	542	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	2423		articStaccatoAbove														
350	349	1085/2	1085/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	2424		articStaccatoAbove														
350	349	1087/2	1087/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	2425		articStaccatoAbove														
350	349	540	540	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	2426																
350	349	541	541	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	2427																
350	349	2167/4	2167/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	2428																
350	349	542	542	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	2429																
350	349	543	543	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	2430																
350	349	2175/4	2175/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16		1/16	1	2431																
351	350	544	544	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	2432		articTenutoAbove							261							
351	350	545	545	0.25	1/4	1/4	Chord	4/4	1	1	1/16		1/16	1	2433									261							
351	350	2181/4	2181/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16		1/16	1	2434									261							
351	350	1091/2	1091/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16		1/16	1	2435									261							
351	350	2183/4	2183/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	2436									261							
351	350	546	546	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	2437									261							
351	350	547	547	0.25	3/4	3/4	Chord	4/4	1	1	1/16		1/16	1	2438									261							
351	350	2189/4	2189/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16		1/16	1	2439									261							
351	350	1095/2	1095/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16		1/16	1	2440									261							
351	350	2191/4	2191/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	2441									261							
351	350	544	544	0.0	0	0	Dynamic	4/4	2	1	0					p															
351	350	544	544	0.75	0	0	Chord	4/4	2	1	3/16		1/8	3/2	2442									262							
351	350	2179/4	2179/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16		1/16	1	2443									262							
351	350	545	545	0.25	1/4	1/4	Chord	4/4	2	1	1/16		1/16	1	2444									262							
351	350	2181/4	2181/4	0.0	5/16	5/16	StaffText	4/4	2	1	0							"<font size=""9.8903""/><font face=""Plantin MT Std""/>dolce"						262							
351	350	2181/4	2181/4	0.25	5/16	5/16	Chord	4/4	2	1	1/16		1/16	1	2445									262							
351	350	1091/2	1091/2	0.25	3/8	3/8	Chord	4/4	2	1	1/16		1/16	1	2446									262							
351	350	2183/4	2183/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	2447									262							
351	350	546	546	0.75	1/2	1/2	Chord	4/4	2	1	3/16		1/8	3/2	2448									262							
351	350	2187/4	2187/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16		1/16	1	2449									262							
351	350	547	547	0.25	3/4	3/4	Chord	4/4	2	1	1/16		1/16	1	2450									262							
351	350	2189/4	2189/4	0.25	13/16	13/16	Chord	4/4	2	1	1/16		1/16	1	2451									262							
351	350	1095/2	1095/2	0.25	7/8	7/8	Chord	4/4	2	1	1/16		1/16	1	2452									262							
351	350	2191/4	2191/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16		1/16	1	2453									262							
352	351	548	548	0.25	0	0	Chord	4/4	1	1	1/16		1/16	1	2454									261							
352	351	2193/4	2193/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16		1/16	1	2455									261							
352	351	1097/2	1097/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16		1/16	1	2456									261							
352	351	2195/4	2195/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	2457									261							
352	351	549	549	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	2458		articStaccatoAbove														
352	351	1099/2	1099/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	2459		articStaccatoAbove														
352	351	550	550	0.0	1/2	1/2	Spanner	4/4	1	1	0															34					
352	351	550	550	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	2460									263		34					
352	351	551	551	0.0	3/4	3/4	Spanner	4/4	1	1	0																				
352	351	551	551	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	2461																
352	351	548	548	0.25	0	0	Chord	4/4	2	1	1/16		1/16	1	2462									262							
352	351	2193/4	2193/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16		1/16	1	2463									262							
352	351	1097/2	1097/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	2464																
352	351	1099/2	1099/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	2465		articStaccatoBelow														
352	351	550	550	0.75	1/2	1/2	Chord	4/4	2	1	3/16		1/8	3/2	2466									264							
352	351	2203/4	2203/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16		1/16	1	2467									264							
352	351	551	551	0.25	3/4	3/4	Chord	4/4	2	1	1/16		1/16	1	2468									264							
352	351	2205/4	2205/4	0.25	13/16	13/16	Chord	4/4	2	1	1/16		1/16	1	2469									264							
352	351	1103/2	1103/2	0.25	7/8	7/8	Chord	4/4	2	1	1/16		1/16	1	2470									264							
352	351	2207/4	2207/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16		1/16	1	2471									264							
353	352	552	552	0.0	0	0	Spanner	4/4	1	1	0																48				
353	352	552	552	0.25	0	0	Chord	4/4	1	1	1/16		1/16	1	2472									265			48				
353	352	2209/4	2209/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16		1/16	1	2473									265			48				
353	352	1105/2	1105/2	0.0	1/8	1/8	Spanner	4/4	1	1	0																				
353	352	1105/2	1105/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	2474																
353	352	1107/2	1107/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16		1/16	1	2475									266							
353	352	2215/4	2215/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	2476									266							
353	352	554	554	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	2477																
353	352	1109/2	1109/2	0.0	5/8	5/8	Spanner	4/4	1	1	0															35					
353	352	1109/2	1109/2	1.0	5/8	5/8	Chord	4/4	1	1	1/4		1/4	1	2478		articTenutoBelow							267		35					
353	352	1111/2	1111/2	0.0	7/8	7/8	Spanner	4/4	1	1	0																				
353	352	1111/2	1111/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	2479																
353	352	552	552	0.5	0	0	Chord	4/4	1	2	1/8		1/8	1	2480																
353	352	1107/2	1107/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8		1/8	1	2481									268							
353	352	552	552	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	2482		articStaccatoBelow														
353	352	2211/4	2211/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16		1/16	1	2483									269							
353	352	553	553	0.0	1/4	1/4	Spanner	4/4	2	1	0													269			49				
353	352	553	553	0.25	1/4	1/4	Chord	4/4	2	1	1/16		1/16	1	2484									269			49				
353	352	2213/4	2213/4	0.0	5/16	5/16	Dynamic	4/4	2	1	0					p								269			49				
353	352	2213/4	2213/4	0.5	5/16	5/16	Chord	4/4	2	1	1/8		1/8	1	2485									269			49				
353	352	2215/4	2215/4	0.0	7/16	7/16	StaffText	4/4	2	1	0							legatissimo						269			49				
353	352	2215/4	2215/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	2486									269			49				
353	352	554	554	0.25	1/2	1/2	Chord	4/4	2	1	1/16		1/16	1	2487									269			49				
353	352	2217/4	2217/4	0.0	9/16	9/16	Spanner	4/4	2	1	0													269							
353	352	2217/4	2217/4	0.0	9/16	9/16	Spanner	4/4	2	1	0													269		36					
353	352	2217/4	2217/4	0.5	9/16	9/16	Chord	4/4	2	1	1/8		1/8	1	2488									269		36					
353	352	2219/4	2219/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16		1/16	1	2489									269		36					
353	352	555	555	0.25	3/4	3/4	Chord	4/4	2	1	1/16		1/16	1	2490									269		36					
353	352	2221/4	2221/4	0.5	13/16	13/16	Chord	4/4	2	1	1/8		1/8	1	2491									269		36					
353	352	2223/4	2223/4	0.0	15/16	15/16	Spanner	4/4	2	1	0																				
353	352	2223/4	2223/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16		1/16	1	2492																
354	353	556	556	0.25	0	0	Chord	4/4	1	1	1/16		1/16	1	2493									270							
354	353	2225/4	2225/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16		1/16	1	2494									270							
354	353	1113/2	1113/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	2495																
354	353	557	557	0.0	1/4	1/4	StaffText	4/4	1	1	0							cresc.													
354	353	1115/2	1115/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16		1/16	1	2496									271							
354	353	2231/4	2231/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	2497									271							
354	353	558	558	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	2498																
354	353	1117/2	1117/2	1.0	5/8	5/8	Chord	4/4	1	1	1/4		1/4	1	2499		articTenutoAbove							272							
354	353	1119/2	1119/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	2500																
354	353	556	556	0.5	0	0	Chord	4/4	1	2	1/8		1/8	1	2501									273							
354	353	1113/2	1113/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8		1/8	1	2502																
354	353	1115/2	1115/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8		1/8	1	2503									274							
354	353	2227/4	2227/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16		1/16	1	2504									275							
354	353	557	557	0.0	1/4	1/4	Spanner	4/4	2	1	0													275			50				
354	353	557	557	0.25	1/4	1/4	Chord	4/4	2	1	1/16		1/16	1	2505									275			50				
354	353	2229/4	2229/4	0.5	5/16	5/16	Chord	4/4	2	1	1/8		1/8	1	2506									275			50				
354	353	2231/4	2231/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	2507									275			50				
354	353	558	558	0.25	1/2	1/2	Chord	4/4	2	1	1/16		1/16	1	2508									275			50				
354	353	2233/4	2233/4	0.0	9/16	9/16	Spanner	4/4	2	1	0													275							
354	353	2233/4	2233/4	0.0	9/16	9/16	Spanner	4/4	2	1	0													275		37					
354	353	2233/4	2233/4	0.5	9/16	9/16	Chord	4/4	2	1	1/8		1/8	1	2509									275		37					
354	353	2235/4	2235/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16		1/16	1	2510									275		37					
354	353	559	559	0.25	3/4	3/4	Chord	4/4	2	1	1/16		1/16	1	2511									275		37					
354	353	2237/4	2237/4	0.5	13/16	13/16	Chord	4/4	2	1	1/8		1/8	1	2512									275		37					
354	353	2239/4	2239/4	0.0	15/16	15/16	Spanner	4/4	2	1	0																				
354	353	2239/4	2239/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16		1/16	1	2513																
355	354	560	560	0.0	0	0	Dynamic	4/4	1	1	0					f															
355	354	560	560	0.25	0	0	Chord	4/4	1	1	1/16		1/16	1	2514									276							
355	354	2241/4	2241/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16		1/16	1	2515									276							
355	354	1121/2	1121/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	2516									276							
355	354	561	561	0.25	1/4	1/4	Chord	4/4	1	1	1/16		1/16	1	2517									276							
355	354	2245/4	2245/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16		1/16	1	2518									276							
355	354	1123/2	1123/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	2519									276							
355	354	562	562	0.25	1/2	1/2	Chord	4/4	1	1	1/16		1/16	1	2520									276							
355	354	2249/4	2249/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16		1/16	1	2521									276							
355	354	1125/2	1125/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16		1/16	1	2522									276							
355	354	2251/4	2251/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	2523									276							
355	354	563	563	0.25	3/4	3/4	Chord	4/4	1	1	1/16		1/16	1	2524									276							
355	354	2253/4	2253/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16		1/16	1	2525									276							
355	354	1127/2	1127/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16		1/16	1	2526									276							
355	354	2255/4	2255/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	2527									276							
355	354	560	560	0.5	0	0	Chord	4/4	1	2	1/8		1/8	1	2528																
355	354	1121/2	1121/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8		1/8	1	2529																
355	354	561	561	0.5	1/4	1/4	Chord	4/4	1	2	1/8		1/8	1	2530																
355	354	1123/2	1123/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8		1/8	1	2531																
355	354	562	562	0.5	1/2	1/2	Chord	4/4	1	2	1/8		1/8	1	2532																
355	354	1125/2	1125/2	0.5	5/8	5/8	Chord	4/4	1	2	1/8		1/8	1	2533																
355	354	563	563	0.5	3/4	3/4	Chord	4/4	1	2	1/8		1/8	1	2534																
355	354	1127/2	1127/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8		1/8	1	2535																
355	354	2243/4	2243/4	0.0	3/16	3/16	Spanner	4/4	2	1	0																51				
355	354	2243/4	2243/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16		1/16	1	2536												51				
355	354	561	561	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	2537												51				
355	354	2247/4	2247/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	2538												51				
355	354	562	562	0.0	1/2	1/2	Spanner	4/4	2	1	0																				
355	354	562	562	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	2539																
355	354	1125/2	1125/2	0.0	5/8	5/8	Spanner	4/4	2	1	0															38					
355	354	2251/4	2251/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16		1/16	1	2540											38					
355	354	563	563	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	2541											38					
355	354	2255/4	2255/4	0.0	15/16	15/16	Spanner	4/4	2	1	0																				
355	354	2255/4	2255/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16		1/16	1	2542																
356	355	564	564	0.25	0	0	Chord	4/4	1	1	1/16		1/16	1	2543									276							
356	355	2257/4	2257/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16		1/16	1	2544									276							
356	355	1129/2	1129/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16		1/16	1	2545									276							
356	355	2259/4	2259/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	2546									276							
356	355	565	565	0.0	1/4	1/4	StaffText	4/4	1	1	0							"<font size=""9.8903""/><font face=""Plantin MT Std""/>diminuendo"						276							
356	355	565	565	0.25	1/4	1/4	Chord	4/4	1	1	1/16		1/16	1	2547									276							
356	355	2261/4	2261/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16		1/16	1	2548									276							
356	355	1131/2	1131/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16		1/16	1	2549									276							
356	355	2263/4	2263/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	2550									276							
356	355	566	566	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	2551									277							
356	355	567	567	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	2552																
356	355	1135/2	1135/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	2553																
356	355	564	564	0.5	0	0	Chord	4/4	1	2	1/8		1/8	1	2554																
356	355	1129/2	1129/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8		1/8	1	2555																
356	355	565	565	0.5	1/4	1/4	Chord	4/4	1	2	1/8		1/8	1	2556																
356	355	1131/2	1131/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8		1/8	1	2557																
356	355	564	564	0.25	0	0	Chord	4/4	2	1	1/16		1/16	1	2558									278							
356	355	2257/4	2257/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16		1/16	1	2559									278							
356	355	1129/2	1129/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16		1/16	1	2560									278							
356	355	2259/4	2259/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16		1/16	1	2561																
356	355	565	565	0.25	1/4	1/4	Chord	4/4	2	1	1/16		1/16	1	2562									279							
356	355	2261/4	2261/4	0.25	5/16	5/16	Chord	4/4	2	1	1/16		1/16	1	2563									279							
356	355	1131/2	1131/2	0.25	3/8	3/8	Chord	4/4	2	1	1/16		1/16	1	2564									279							
