mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	Ottava:8va	pedal	Pedal_<sym>keyboardPedalPed</sym>	crescendo_line	crescendo_hairpin	decrescendo_hairpin
2	2	7/2	7/2	0.5	3/8	3/8	Chord	2/4	2	2	1/8		1/8	1	31				1						
3	3	4	4	0.16666666666666666	0	0	Chord	2/4	1	1	1/24		1/16	2/3	32				0					0	
3	3	25/6	25/6	0.16666666666666666	1/24	1/24	Chord	2/4	1	1	1/24		1/16	2/3	33				0					0	
3	3	13/3	13/3	0.16666666666666666	1/12	1/12	Chord	2/4	1	1	1/24		1/16	2/3	34									0	
3	3	9/2	9/2	0.0	1/8	1/8	Dynamic	2/4	1	1	0					f									
3	3	9/2	9/2	0.0	1/8	1/8	Spanner	2/4	1	1	0														
3	3	9/2	9/2	0.16666666666666666	1/8	1/8	Chord	2/4	1	1	1/24		1/16	2/3	35				2						
3	3	14/3	14/3	0.16666666666666666	1/6	1/6	Chord	2/4	1	1	1/24		1/16	2/3	36				2						
3	3	29/6	29/6	0.16666666666666666	5/24	5/24	Chord	2/4	1	1	1/24		1/16	2/3	37				2						
3	3	5	5	0.16666666666666666	1/4	1/4	Chord	2/4	1	1	1/24		1/16	2/3	38				2						
3	3	31/6	31/6	0.16666666666666666	7/24	7/24	Chord	2/4	1	1	1/24		1/16	2/3	39				2						
3	3	16/3	16/3	0.16666666666666666	1/3	1/3	Chord	2/4	1	1	1/24		1/16	2/3	40										
3	3	11/2	11/2	0.16666666666666666	3/8	3/8	Chord	2/4	1	1	1/24		1/16	2/3	41				3						
3	3	17/3	17/3	0.16666666666666666	5/12	5/12	Chord	2/4	1	1	1/24		1/16	2/3	42				3						
3	3	35/6	35/6	0.16666666666666666	11/24	11/24	Chord	2/4	1	1	1/24		1/16	2/3	43				3						
3	3	4	4	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	44										
3	3	9/2	9/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	45				4						
3	3	5	5	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	46										
3	3	11/2	11/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	47				5						
3	3	4	4	0.5	0	0	Chord	2/4	2	2	1/8		1/8	1	48										
4	4	6	6	0.16666666666666666	0	0	Chord	2/4	1	1	1/24		1/16	2/3	49				3						
4	4	37/6	37/6	0.16666666666666666	1/24	1/24	Chord	2/4	1	1	1/24		1/16	2/3	50				3						
4	4	19/3	19/3	0.16666666666666666	1/12	1/12	Chord	2/4	1	1	1/24		1/16	2/3	51										
4	4	13/2	13/2	0.16666666666666666	1/8	1/8	Chord	2/4	1	1	1/24		1/16	2/3	52				6						
4	4	20/3	20/3	0.16666666666666666	1/6	1/6	Chord	2/4	1	1	1/24		1/16	2/3	53				6						
4	4	41/6	41/6	0.16666666666666666	5/24	5/24	Chord	2/4	1	1	1/24		1/16	2/3	54				6						
4	4	7	7	0.16666666666666666	1/4	1/4	Chord	2/4	1	1	1/24		1/16	2/3	55				6						
4	4	43/6	43/6	0.16666666666666666	7/24	7/24	Chord	2/4	1	1	1/24		1/16	2/3	56				6						
4	4	22/3	22/3	0.16666666666666666	1/3	1/3	Chord	2/4	1	1	1/24		1/16	2/3	57										
4	4	15/2	15/2	0.0	3/8	3/8	StaffText	2/4	1	1	0							lusingando							
4	4	15/2	15/2	0.16666666666666666	3/8	3/8	Chord	2/4	1	1	1/24		1/16	2/3	58				7						
4	4	23/3	23/3	0.16666666666666666	5/12	5/12	Chord	2/4	1	1	1/24		1/16	2/3	59				7						
4	4	47/6	47/6	0.16666666666666666	11/24	11/24	Chord	2/4	1	1	1/24		1/16	2/3	60				7						
4	4	6	6	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	61										
4	4	13/2	13/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	62				8						
4	4	7	7	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	63										
4	4	15/2	15/2	0.0	3/8	3/8	Spanner	2/4	2	1	0										0	0			
4	4	15/2	15/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	64				9		0	0			
5	5	8	8	0.16666666666666666	0	0	Chord	2/4	1	1	1/24		1/16	2/3	65				7						
5	5	49/6	49/6	0.16666666666666666	1/24	1/24	Chord	2/4	1	1	1/24		1/16	2/3	66				7						
5	5	25/3	25/3	0.16666666666666666	1/12	1/12	Chord	2/4	1	1	1/24		1/16	2/3	67				7						
5	5	17/2	17/2	0.16666666666666666	1/8	1/8	Chord	2/4	1	1	1/24		1/16	2/3	68				7						
5	5	26/3	26/3	0.16666666666666666	1/6	1/6	Chord	2/4	1	1	1/24		1/16	2/3	69				7						
5	5	53/6	53/6	0.16666666666666666	5/24	5/24	Chord	2/4	1	1	1/24		1/16	2/3	70				7						
5	5	9	9	0.16666666666666666	1/4	1/4	Chord	2/4	1	1	1/24		1/16	2/3	71				7						
5	5	55/6	55/6	0.16666666666666666	7/24	7/24	Chord	2/4	1	1	1/24		1/16	2/3	72				7						
5	5	28/3	28/3	0.16666666666666666	1/3	1/3	Chord	2/4	1	1	1/24		1/16	2/3	73				7						
5	5	19/2	19/2	0.16666666666666666	3/8	3/8	Chord	2/4	1	1	1/24		1/16	2/3	74				7						
5	5	29/3	29/3	0.16666666666666666	5/12	5/12	Chord	2/4	1	1	1/24		1/16	2/3	75				7						
5	5	59/6	59/6	0.16666666666666666	11/24	11/24	Chord	2/4	1	1	1/24		1/16	2/3	76				7						
5	5	8	8	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	77						0	0			
5	5	9	9	0.0	1/4	1/4	Spanner	2/4	2	1	0														
5	5	9	9	0.0	1/4	1/4	Spanner	2/4	2	1	0										1	1			
5	5	9	9	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	78				10		1	1			
5	5	19/2	19/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	79						1	1			
6	6	10	10	0.16666666666666666	0	0	Chord	2/4	1	1	1/24		1/16	2/3	80				7						
6	6	61/6	61/6	0.16666666666666666	1/24	1/24	Chord	2/4	1	1	1/24		1/16	2/3	81				7						
6	6	31/3	31/3	0.16666666666666666	1/12	1/12	Chord	2/4	1	1	1/24		1/16	2/3	82				7						
6	6	21/2	21/2	0.16666666666666666	1/8	1/8	Chord	2/4	1	1	1/24		1/16	2/3	83				7						
6	6	32/3	32/3	0.16666666666666666	1/6	1/6	Chord	2/4	1	1	1/24		1/16	2/3	84				7						
6	6	65/6	65/6	0.16666666666666666	5/24	5/24	Chord	2/4	1	1	1/24		1/16	2/3	85				7						
6	6	11	11	0.16666666666666666	1/4	1/4	Chord	2/4	1	1	1/24		1/16	2/3	86				7						
6	6	67/6	67/6	0.16666666666666666	7/24	7/24	Chord	2/4	1	1	1/24		1/16	2/3	87				7						
6	6	34/3	34/3	0.16666666666666666	1/3	1/3	Chord	2/4	1	1	1/24		1/16	2/3	88				7						
6	6	23/2	23/2	0.16666666666666666	3/8	3/8	Chord	2/4	1	1	1/24		1/16	2/3	89				7						
6	6	35/3	35/3	0.16666666666666666	5/12	5/12	Chord	2/4	1	1	1/24		1/16	2/3	90				7						
6	6	71/6	71/6	0.16666666666666666	11/24	11/24	Chord	2/4	1	1	1/24		1/16	2/3	91				7						
6	6	21/2	21/2	0.0	1/8	1/8	Spanner	2/4	2	1	0														
6	6	21/2	21/2	0.0	1/8	1/8	Spanner	2/4	2	1	0										2	2			
6	6	21/2	21/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	92				11		2	2			
6	6	11	11	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	93						2	2			
7	7	12	12	0.16666666666666666	0	0	Chord	2/4	1	1	1/24		1/16	2/3	94				7						
7	7	73/6	73/6	0.16666666666666666	1/24	1/24	Chord	2/4	1	1	1/24		1/16	2/3	95				7						
7	7	37/3	37/3	0.16666666666666666	1/12	1/12	Chord	2/4	1	1	1/24		1/16	2/3	96				7						
7	7	25/2	25/2	0.16666666666666666	1/8	1/8	Chord	2/4	1	1	1/24		1/16	2/3	97				7						
7	7	38/3	38/3	0.16666666666666666	1/6	1/6	Chord	2/4	1	1	1/24		1/16	2/3	98				7						
7	7	77/6	77/6	0.16666666666666666	5/24	5/24	Chord	2/4	1	1	1/24		1/16	2/3	99				7						
7	7	13	13	0.0	1/4	1/4	Spanner	2/4	1	1	0								7						0
7	7	13	13	0.16666666666666666	1/4	1/4	Chord	2/4	1	1	1/24		1/16	2/3	100				7						0
7	7	79/6	79/6	0.16666666666666666	7/24	7/24	Chord	2/4	1	1	1/24		1/16	2/3	101				7						0
7	7	40/3	40/3	0.16666666666666666	1/3	1/3	Chord	2/4	1	1	1/24		1/16	2/3	102				7						0
7	7	27/2	27/2	0.16666666666666666	3/8	3/8	Chord	2/4	1	1	1/24		1/16	2/3	103				7						0
7	7	41/3	41/3	0.16666666666666666	5/12	5/12	Chord	2/4	1	1	1/24		1/16	2/3	104				7						0
7	7	83/6	83/6	0.16666666666666666	11/24	11/24	Chord	2/4	1	1	1/24		1/16	2/3	105				7						0
7	7	40/3	40/3	0.16666666666666666	1/3	1/3	Chord	2/4	1	2	1/24		1/16	2/3	106				12						0
7	7	27/2	27/2	0.16666666666666666	3/8	3/8	Chord	2/4	1	2	1/24		1/16	2/3	107				12						0
7	7	41/3	41/3	0.3333333333333333	5/12	5/12	Chord	2/4	1	2	1/12		1/8	2/3	108				12						0
7	7	12	12	0.0	0	0	Spanner	2/4	2	1	0														
7	7	12	12	0.0	0	0	Spanner	2/4	2	1	0										3	3			
7	7	12	12	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	109				13		3	3			
7	7	25/2	25/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	110						3	3			
7	7	27/2	27/2	0.0	3/8	3/8	Spanner	2/4	2	1	0														
7	7	27/2	27/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	111				14						
8	8	14	14	0.0	0	0	StaffText	2/4	1	1	0							"<font size=""10.2313""/><font face=""Plantin MT Std""/>poco rit."							
8	8	14	14	0.0	0	0	Dynamic	2/4	1	1	0					p									
8	8	14	14	0.0	0	0	Spanner	2/4	1	1	0														
8	8	14	14	1.5	0	0	Chord	2/4	1	1	3/8		1/4	3/2	112										
8	8	31/2	31/2	0.0	3/8	3/8	Spanner	2/4	1	1	0													1	
8	8	31/2	31/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	113				15					1	
8	8	14	14	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	114										
8	8	29/2	29/2	1.0	1/8	1/8	Chord	2/4	2	1	1/4		1/4	1	115										
8	8	31/2	31/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	116				16						
8	8	14	14	1.5	0	0	Chord	2/4	2	2	3/8		1/4	3/2	117										
9	9	16	16	0.0	0	0	Dynamic	2/4	1	1	0					sf									
9	9	16	16	0.0	0	0	StaffText	2/4	1	1	0							risoluto							
9	9	16	16	0.0	0	0	Spanner	2/4	1	1	0														
9	9	16	16	0.0	0	0	Spanner	2/4	1	1	0													2	
9	9	16	16	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	118									2	
9	9	33/2	33/2	0.16666666666666666	1/8	1/8	Chord	2/4	1	1	1/24		1/16	2/3	119				17					2	
9	9	50/3	50/3	0.16666666666666666	1/6	1/6	Chord	2/4	1	1	1/24		1/16	2/3	120				17					2	
9	9	101/6	101/6	0.16666666666666666	5/24	5/24	Chord	2/4	1	1	1/24		1/16	2/3	121				17					2	
9	9	17	17	0.16666666666666666	1/4	1/4	Chord	2/4	1	1	1/24		1/16	2/3	122				17					2	
9	9	103/6	103/6	0.16666666666666666	7/24	7/24	Chord	2/4	1	1	1/24		1/16	2/3	123				17					2	
9	9	52/3	52/3	0.16666666666666666	1/3	1/3	Chord	2/4	1	1	1/24		1/16	2/3	124				17					2	
9	9	35/2	35/2	0.16666666666666666	3/8	3/8	Chord	2/4	1	1	1/24		1/16	2/3	125				17					2	
9	9	53/3	53/3	0.16666666666666666	5/12	5/12	Chord	2/4	1	1	1/24		1/16	2/3	126				17					2	
9	9	107/6	107/6	0.16666666666666666	11/24	11/24	Chord	2/4	1	1	1/24		1/16	2/3	127				17					2	
9	9	16	16	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	128		articStaccatoBelow		18						
9	9	33/2	33/2	1.5	1/8	1/8	Chord	2/4	2	1	3/8		1/4	3/2	129				18						
9	9	33/2	33/2	0.5	1/8	1/8	Chord	2/4	2	2	1/8		1/8	1	130										
9	9	17	17	0.5	1/4	1/4	Chord	2/4	2	2	1/8		1/8	1	131										
9	9	35/2	35/2	0.5	3/8	3/8	Chord	2/4	2	2	1/8		1/8	1	132										
10	10	18	18	0.16666666666666666	0	0	Chord	2/4	1	1	1/24		1/16	2/3	133				17					2	
10	10	109/6	109/6	0.16666666666666666	1/24	1/24	Chord	2/4	1	1	1/24		1/16	2/3	134				17					2	
10	10	55/3	55/3	0.16666666666666666	1/12	1/12	Chord	2/4	1	1	1/24		1/16	2/3	135				17					2	
10	10	37/2	37/2	0.16666666666666666	1/8	1/8	Chord	2/4	1	1	1/24		1/16	2/3	136				17					2	
10	10	56/3	56/3	0.16666666666666666	1/6	1/6	Chord	2/4	1	1	1/24		1/16	2/3	137				17					2	
10	10	113/6	113/6	0.16666666666666666	5/24	5/24	Chord	2/4	1	1	1/24		1/16	2/3	138				17					2	
10	10	19	19	0.16666666666666666	1/4	1/4	Chord	2/4	1	1	1/24		1/16	2/3	139				17					2	
10	10	115/6	115/6	0.16666666666666666	7/24	7/24	Chord	2/4	1	1	1/24		1/16	2/3	140				17					2	
10	10	58/3	58/3	0.16666666666666666	1/3	1/3	Chord	2/4	1	1	1/24		1/16	2/3	141				17					2	
10	10	39/2	39/2	0.16666666666666666	3/8	3/8	Chord	2/4	1	1	1/24		1/16	2/3	142				17					2	
10	10	59/3	59/3	0.16666666666666666	5/12	5/12	Chord	2/4	1	1	1/24		1/16	2/3	143				17					2	
10	10	119/6	119/6	0.16666666666666666	11/24	11/24	Chord	2/4	1	1	1/24		1/16	2/3	144				17					2	
10	10	18	18	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	145				18						
10	10	37/2	37/2	1.5	1/8	1/8	Chord	2/4	2	1	3/8		1/4	3/2	146				18						
10	10	18	18	0.5	0	0	Chord	2/4	2	2	1/8		1/8	1	147										
10	10	37/2	37/2	0.5	1/8	1/8	Chord	2/4	2	2	1/8		1/8	1	148										
10	10	19	19	0.5	1/4	1/4	Chord	2/4	2	2	1/8		1/8	1	149										
10	10	39/2	39/2	0.5	3/8	3/8	Chord	2/4	2	2	1/8		1/8	1	150										
11	11	20	20	0.0	0	0	Dynamic	2/4	1	1	0					f			17						
11	11	20	20	0.0	0	0	Spanner	2/4	1	1	0								17						
11	11	20	20	0.16666666666666666	0	0	Chord	2/4	1	1	1/24		1/16	2/3	151				17						
11	11	121/6	121/6	0.16666666666666666	1/24	1/24	Chord	2/4	1	1	1/24		1/16	2/3	152				17						
11	11	61/3	61/3	0.16666666666666666	1/12	1/12	Chord	2/4	1	1	1/24		1/16	2/3	153										
11	11	41/2	41/2	0.16666666666666666	1/8	1/8	Chord	2/4	1	1	1/24		1/16	2/3	154				19						
11	11	62/3	62/3	0.16666666666666666	1/6	1/6	Chord	2/4	1	1	1/24		1/16	2/3	155				19						
11	11	125/6	125/6	0.16666666666666666	5/24	5/24	Chord	2/4	1	1	1/24		1/16	2/3	156				19						
11	11	21	21	0.16666666666666666	1/4	1/4	Chord	2/4	1	1	1/24		1/16	2/3	157				19						
11	11	127/6	127/6	0.16666666666666666	7/24	7/24	Chord	2/4	1	1	1/24		1/16	2/3	158				19						
11	11	64/3	64/3	0.16666666666666666	1/3	1/3	Chord	2/4	1	1	1/24		1/16	2/3	159										
11	11	43/2	43/2	0.16666666666666666	3/8	3/8	Chord	2/4	1	1	1/24		1/16	2/3	160				20						
11	11	65/3	65/3	0.16666666666666666	5/12	5/12	Chord	2/4	1	1	1/24		1/16	2/3	161				20						
11	11	131/6	131/6	0.16666666666666666	11/24	11/24	Chord	2/4	1	1	1/24		1/16	2/3	162				20						
11	11	20	20	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	163										
11	11	125/6	125/6	0.16666666666666666	5/24	5/24	Chord	2/4	2	1	1/24		1/16	2/3	164										
11	11	21	21	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	165										
11	11	131/6	131/6	0.16666666666666666	11/24	11/24	Chord	2/4	2	1	1/24		1/16	2/3	166										
11	11	20	20	0.5	0	0	Chord	2/4	2	2	1/8		1/8	1	167										
12	12	22	22	0.16666666666666666	0	0	Chord	2/4	1	1	1/24		1/16	2/3	168				20						
12	12	133/6	133/6	0.16666666666666666	1/24	1/24	Chord	2/4	1	1	1/24		1/16	2/3	169				20						
12	12	67/3	67/3	0.16666666666666666	1/12	1/12	Chord	2/4	1	1	1/24		1/16	2/3	170										
12	12	45/2	45/2	0.16666666666666666	1/8	1/8	Chord	2/4	1	1	1/24		1/16	2/3	171				21						
12	12	68/3	68/3	0.16666666666666666	1/6	1/6	Chord	2/4	1	1	1/24		1/16	2/3	172				21						
12	12	137/6	137/6	0.16666666666666666	5/24	5/24	Chord	2/4	1	1	1/24		1/16	2/3	173				21						
12	12	23	23	0.16666666666666666	1/4	1/4	Chord	2/4	1	1	1/24		1/16	2/3	174				21						
12	12	139/6	139/6	0.16666666666666666	7/24	7/24	Chord	2/4	1	1	1/24		1/16	2/3	175				21						
12	12	70/3	70/3	0.16666666666666666	1/3	1/3	Chord	2/4	1	1	1/24		1/16	2/3	176										
12	12	47/2	47/2	0.16666666666666666	3/8	3/8	Chord	2/4	1	1	1/24		1/16	2/3	177				22						
12	12	71/3	71/3	0.16666666666666666	5/12	5/12	Chord	2/4	1	1	1/24		1/16	2/3	178				22						
12	12	143/6	143/6	0.16666666666666666	11/24	11/24	Chord	2/4	1	1	1/24		1/16	2/3	179				22						
12	12	22	22	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	180										
12	12	137/6	137/6	0.16666666666666666	5/24	5/24	Chord	2/4	2	1	1/24		1/16	2/3	181				23						
12	12	23	23	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	182										
12	12	47/2	47/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	183				24						
13	13	24	24	0.0	0	0	Spanner	2/4	1	1	0													3	
13	13	24	24	0.3333333333333333	0	0	Chord	2/4	1	1	1/12		1/8	2/3	184									3	
13	13	73/3	73/3	0.16666666666666666	1/12	1/12	Chord	2/4	1	1	1/24		1/16	2/3	185									3	
13	13	49/2	49/2	0.3333333333333333	1/8	1/8	Chord	2/4	1	1	1/12		1/8	2/3	186									3	
13	13	149/6	149/6	0.16666666666666666	5/24	5/24	Chord	2/4	1	1	1/24		1/16	2/3	187									3	
13	13	25	25	0.3333333333333333	1/4	1/4	Chord	2/4	1	1	1/12		1/8	2/3	188									3	
13	13	76/3	76/3	0.16666666666666666	1/3	1/3	Chord	2/4	1	1	1/24		1/16	2/3	189									3	
13	13	51/2	51/2	0.3333333333333333	3/8	3/8	Chord	2/4	1	1	1/12		1/8	2/3	190									3	
13	13	155/6	155/6	0.16666666666666666	11/24	11/24	Chord	2/4	1	1	1/24		1/16	2/3	191									3	
13	13	24	24	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	192										
13	13	49/2	49/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	193				25						
13	13	25	25	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	194										
13	13	51/2	51/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	195				26						
14	14	26	26	0.3333333333333333	0	0	Chord	2/4	1	1	1/12		1/8	2/3	196									3	
14	14	79/3	79/3	0.16666666666666666	1/12	1/12	Chord	2/4	1	1	1/24		1/16	2/3	197				27					3	
14	14	53/2	53/2	0.3333333333333333	1/8	1/8	Chord	2/4	1	1	1/12		1/8	2/3	198									3	
14	14	161/6	161/6	0.16666666666666666	5/24	5/24	Chord	2/4	1	1	1/24		1/16	2/3	199				28					3	
14	14	27	27	0.3333333333333333	1/4	1/4	Chord	2/4	1	1	1/12		1/8	2/3	200									3	
14	14	82/3	82/3	0.16666666666666666	1/3	1/3	Chord	2/4	1	1	1/24		1/16	2/3	201				29					3	
14	14	55/2	55/2	0.3333333333333333	3/8	3/8	Chord	2/4	1	1	1/12		1/8	2/3	202									3	
14	14	167/6	167/6	0.16666666666666666	11/24	11/24	Chord	2/4	1	1	1/24		1/16	2/3	203				30					3	
14	14	26	26	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	204										
14	14	53/2	53/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	205				31						
14	14	27	27	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	206										
14	14	55/2	55/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	207				32						
15	15	28	28	0.0	0	0	Spanner	2/4	1	1	0														
15	15	28	28	0.3333333333333333	0	0	Chord	2/4	1	1	1/12		1/8	2/3	208										
15	15	85/3	85/3	0.16666666666666666	1/12	1/12	Chord	2/4	1	1	1/24		1/16	2/3	209				33						
15	15	57/2	57/2	0.3333333333333333	1/8	1/8	Chord	2/4	1	1	1/12		1/8	2/3	210										
15	15	173/6	173/6	0.16666666666666666	5/24	5/24	Chord	2/4	1	1	1/24		1/16	2/3	211				34						
15	15	29	29	0.3333333333333333	1/4	1/4	Chord	2/4	1	1	1/12		1/8	2/3	212										
15	15	88/3	88/3	0.16666666666666666	1/3	1/3	Chord	2/4	1	1	1/24		1/16	2/3	213				35						
15	15	59/2	59/2	0.3333333333333333	3/8	3/8	Chord	2/4	1	1	1/12		1/8	2/3	214										
15	15	179/6	179/6	0.16666666666666666	11/24	11/24	Chord	2/4	1	1	1/24		1/16	2/3	215				36						
15	15	28	28	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	216										
16	16	61/2	61/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	217		articAccentStaccatoBelow								
16	16	31	31	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	218		articAccentStaccatoBelow								
16	16	63/2	63/2	0.0	3/8	3/8	Spanner	2/4	1	1	0													4	
16	16	63/2	63/2	0.16666666666666666	3/8	3/8	Chord	2/4	1	1	1/24		1/16	2/3	219				37					4	
16	16	95/3	95/3	0.16666666666666666	5/12	5/12	Chord	2/4	1	1	1/24		1/16	2/3	220				37					4	
16	16	191/6	191/6	0.0	11/24	11/24	Spanner	2/4	1	1	0								37						
16	16	191/6	191/6	0.16666666666666666	11/24	11/24	Chord	2/4	1	1	1/24		1/16	2/3	221				37						
16	16	30	30	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	222										
16	16	61/2	61/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	223		articAccentStaccatoBelow								
16	16	31	31	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	224		articAccentStaccatoBelow								
16	16	63/2	63/2	0.0	3/8	3/8	StaffText	2/4	2	1	0							"<font size=""10.2313""/><font face=""Plantin MT Std""/>follare"							
17	17	32	32	0.0	0	0	Dynamic	2/4	1	1	0					mp									
17	17	32	32	0.3333333333333333	0	0	Chord	2/4	1	1	1/12		1/8	2/3	225		articAccentAbove								
17	17	97/3	97/3	0.16666666666666666	1/12	1/12	Chord	2/4	1	1	1/24		1/16	2/3	226										
