mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	Ottava:8vb	Ottava:8va	pedal	Pedal_<sym>keyboardPedalPed</sym>	crescendo_hairpin	decrescendo_hairpin
11	11	327/8	327/8	0.125	7/32	7/32	Chord	4/4	1	1	1/32		1/32	1	226									43						9
11	11	41	41	0.25	1/4	1/4	Chord	4/4	1	1	1/16		1/16	1	227									43						9
11	11	165/4	165/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16		1/16	1	228									43						9
11	11	83/2	83/2	0.0	3/8	3/8	Spanner	4/4	1	1	0													43						
11	11	83/2	83/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16		1/16	1	229									43						
11	11	167/4	167/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	230									43						
11	11	42	42	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	231									43						
11	11	85/2	85/2	1.0	5/8	5/8	Chord	4/4	1	1	1/4		1/4	1	232															
11	11	87/2	87/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16		1/16	1	233									44						
11	11	175/4	175/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	234									44						
11	11	85/2	85/2	1.0	5/8	5/8	Chord	4/4	1	2	1/4		1/4	1	235															
11	11	81/2	81/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	236															
11	11	83/2	83/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	237															
11	11	42	42	0.75	1/2	1/2	Chord	4/4	2	1	3/16		1/8	3/2	238									45						
11	11	171/4	171/4	0.125	11/16	11/16	Chord	4/4	2	1	1/32		1/32	1	239									45						
11	11	343/8	343/8	0.125	23/32	23/32	Chord	4/4	2	1	1/32		1/32	1	240									45						
11	11	43	43	0.25	3/4	3/4	Chord	4/4	2	1	1/16		1/16	1	241									45						
11	11	173/4	173/4	0.25	13/16	13/16	Chord	4/4	2	1	1/16		1/16	1	242									45						
11	11	87/2	87/2	0.0	7/8	7/8	Dynamic	4/4	2	1	0					pp								45						
11	11	87/2	87/2	0.25	7/8	7/8	Chord	4/4	2	1	1/16		1/16	1	243									45						
11	11	175/4	175/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16		1/16	1	244									45						
11	11	40	40	1.0	0	0	Chord	4/4	2	2	1/4		1/4	1	245															
11	11	41	41	1.0	1/4	1/4	Chord	4/4	2	2	1/4		1/4	1	246									46						
12	12	44	44	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	247															
12	12	89/2	89/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16		1/16	1	248									47						
12	12	179/4	179/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	249									47						
12	12	45	45	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	250									47						
12	12	91/2	91/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16		1/16	1	251									47						
12	12	183/4	183/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	252									47						
12	12	46	46	0.25	1/2	1/2	Chord	4/4	1	1	1/16		1/16	1	253									47						
12	12	185/4	185/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16		1/16	1	254									47						
12	12	93/2	93/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	255									47						
12	12	47	47	0.25	3/4	3/4	Chord	4/4	1	1	1/16		1/16	1	256									47						
12	12	189/4	189/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16		1/16	1	257									47						
12	12	95/2	95/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	258									47						
12	12	44	44	0.75	0	0	Chord	4/4	2	1	3/16		1/8	3/2	259															
12	12	179/4	179/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16		1/16	1	260									48						
12	12	45	45	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	261															
12	12	183/4	183/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	262									49						
12	12	46	46	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	263									49						
12	12	93/2	93/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	264															
12	12	95/2	95/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	265									50						
12	12	95/2	95/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8		1/8	1	266									51						
13	13	48	48	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	267															
13	13	50	50	0.75	1/2	1/2	Chord	4/4	1	1	3/16		1/8	3/2	268															
13	13	203/4	203/4	0.0	11/16	11/16	StaffText	4/4	1	1	0							"<font size=""9.8903""/><font face=""Plantin MT Std""/>crescendo"												
13	13	203/4	203/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	269															
13	13	51	51	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	270															
13	13	103/2	103/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	271									52						
13	13	99/2	99/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8		1/8	1	272									53						
13	13	50	50	1.5	1/2	1/2	Chord	4/4	1	2	3/8		1/4	3/2	273															
13	13	48	48	0.0	0	0	StaffText	4/4	2	1	0							"<font size=""11.9365""/><font face=""Plantin MT Std""/>espressivo"												
13	13	48	48	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	274									54						
13	13	97/2	97/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16		1/16	1	275									54						
13	13	195/4	195/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16		1/16	1	276									54						
13	13	49	49	0.25	1/4	1/4	Chord	4/4	2	1	1/16		1/16	1	277									54						
13	13	197/4	197/4	0.25	5/16	5/16	Chord	4/4	2	1	1/16		1/16	1	278									54						
13	13	99/2	99/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	279															
13	13	50	50	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	280															
13	13	103/2	103/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	281									55						
13	13	48	48	1.0	0	0	Chord	4/4	2	2	1/4		1/4	1	282															
13	13	99/2	99/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8		1/8	1	283									56						
13	13	50	50	0.5	1/2	1/2	Chord	4/4	2	2	1/8		1/8	1	284									56						
13	13	101/2	101/2	0.25	5/8	5/8	Chord	4/4	2	2	1/16		1/16	1	285									56						
13	13	203/4	203/4	0.25	11/16	11/16	Chord	4/4	2	2	1/16		1/16	1	286									56						
13	13	51	51	0.25	3/4	3/4	Chord	4/4	2	2	1/16		1/16	1	287									56						
13	13	205/4	205/4	0.25	13/16	13/16	Chord	4/4	2	2	1/16		1/16	1	288									56						
13	13	103/2	103/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8		1/8	1	289															
14	14	52	52	0.25	0	0	Chord	4/4	1	1	1/16		1/16	1	290															
14	14	209/4	209/4	0.125	1/16	1/16	Chord	4/4	1	1	1/32		1/32	1	291									57						
14	14	419/8	419/8	0.125	3/32	3/32	Chord	4/4	1	1	1/32		1/32	1	292									57						
14	14	105/2	105/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16		1/16	1	293															
14	14	211/4	211/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	294									58						
14	14	53	53	0.25	1/4	1/4	Chord	4/4	1	1	1/16		1/16	1	295									58						
14	14	213/4	213/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16		1/16	1	296									58						
14	14	107/2	107/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	297															
14	14	54	54	0.25	1/2	1/2	Chord	4/4	1	1	1/16		1/16	1	298									59						
14	14	217/4	217/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16		1/16	1	299									59						
14	14	109/2	109/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16		1/16	1	300									59						
14	14	219/4	219/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	301									59						
14	14	55	55	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	302															
14	14	111/2	111/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16		1/16	1	303									60						
14	14	223/4	223/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	304									60						
14	14	52	52	0.25	0	0	Chord	4/4	2	1	1/16		1/16	1	305									55						
14	14	209/4	209/4	0.125	1/16	1/16	Chord	4/4	2	1	1/32		1/32	1	306									55						
14	14	419/8	419/8	0.125	3/32	3/32	Chord	4/4	2	1	1/32		1/32	1	307									55						
14	14	105/2	105/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16		1/16	1	308															
14	14	211/4	211/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16		1/16	1	309															
14	14	53	53	0.25	1/4	1/4	Chord	4/4	2	1	1/16		1/16	1	310									61						
14	14	213/4	213/4	0.25	5/16	5/16	Chord	4/4	2	1	1/16		1/16	1	311									61						
14	14	107/2	107/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	312									62						
14	14	54	54	0.25	1/2	1/2	Chord	4/4	2	1	1/16		1/16	1	313															
14	14	217/4	217/4	0.125	9/16	9/16	Chord	4/4	2	1	1/32		1/32	1	314									63						
14	14	435/8	435/8	0.125	19/32	19/32	Chord	4/4	2	1	1/32		1/32	1	315									63						
14	14	109/2	109/2	0.25	5/8	5/8	Chord	4/4	2	1	1/16		1/16	1	316									63						
14	14	219/4	219/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16		1/16	1	317									63						
14	14	55	55	0.25	3/4	3/4	Chord	4/4	2	1	1/16		1/16	1	318									63						
14	14	221/4	221/4	0.25	13/16	13/16	Chord	4/4	2	1	1/16		1/16	1	319									63						
14	14	111/2	111/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	320															
14	14	52	52	0.75	0	0	Chord	4/4	2	2	3/16		1/8	3/2	321									64						
14	14	211/4	211/4	0.25	3/16	3/16	Chord	4/4	2	2	1/16		1/16	1	322									64						
14	14	53	53	0.5	1/4	1/4	Chord	4/4	2	2	1/8		1/8	1	323															
15	15	56	56	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	324		articTenutoBelow													
15	15	225/4	225/4	0.0	1/16	1/16	Dynamic	4/4	1	1	0					f														
15	15	113/2	113/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	325		articTenutoBelow													
15	15	57	57	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	326									65						
15	15	115/2	115/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	327															
15	15	58	58	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	328		articTenutoBelow													
15	15	117/2	117/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	329		articTenutoBelow													
15	15	59	59	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	330		articTenutoAccentAbove													
15	15	57	57	1.0	1/4	1/4	Chord	4/4	1	2	1/4		1/4	1	331															
15	15	56	56	0.25	0	0	Chord	4/4	2	1	1/16		1/16	1	332		articStaccatoBelow							66						
15	15	225/4	225/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16		1/16	1	333		articStaccatoBelow							66						
15	15	113/2	113/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16		1/16	1	334		articStaccatoBelow							66						
15	15	227/4	227/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16		1/16	1	335		articStaccatoBelow							66						
15	15	57	57	0.0	1/4	1/4	Spanner	4/4	2	1	0																10	10		
15	15	57	57	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	336		articTenutoBelow										10	10		
15	15	117/2	117/2	0.25	5/8	5/8	Chord	4/4	2	1	1/16		1/16	1	337									67			10	10		
15	15	235/4	235/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16		1/16	1	338									67			10	10		
15	15	59	59	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	339		articTenutoAbove										10	10		
15	15	119/2	119/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	340		articTenutoAbove										10	10		
15	15	59	59	1.0	3/4	3/4	Chord	4/4	2	2	1/4		1/4	1	341												10	10		
16	16	60	60	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	342									68						
16	16	61	61	1.0	1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	343									68						
16	16	62	62	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	344									68						
16	16	63	63	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	345									68						
16	16	60	60	1.0	0	0	Chord	4/4	1	2	1/4		1/4	1	346															
16	16	61	61	2.0	1/4	1/4	Chord	4/4	1	2	1/2		1/2	1	347															
16	16	63	63	1.0	3/4	3/4	Chord	4/4	1	2	1/4		1/4	1	348															
16	16	60	60	0.0	0	0	StaffText	4/4	2	1	0							"<font size=""11.9365""/><font face=""Plantin MT Std""/>diminuendo"												
16	16	60	60	0.0	0	0	Spanner	4/4	2	1	0																			
16	16	60	60	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	349															
16	16	121/2	121/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	350															
16	16	61	61	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	351															
16	16	123/2	123/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	352															
16	16	62	62	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	353															
16	16	125/2	125/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	354															
16	16	63	63	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	355															
16	16	127/2	127/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	356															
16	16	61	61	1.0	1/4	1/4	Chord	4/4	2	2	1/4		1/4	1	357															
16	16	62	62	1.0	1/2	1/2	Chord	4/4	2	2	1/4		1/4	1	358															
16	16	63	63	1.0	3/4	3/4	Chord	4/4	2	2	1/4		1/4	1	359															
16	16	60	60	4.0	0	0	Chord	4/4	2	3	1		1	1	360									69						
16	16	125/2	125/2	1.5	5/8	5/8	Chord	4/4	2	4	3/8		1/4	3/2	361															
17	17	64	64	0.0	0	0	Dynamic	4/4	1	1	0					p														
17	17	64	64	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	362															
17	17	129/2	129/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	363									70						
17	17	65	65	0.75	1/4	1/4	Chord	4/4	1	1	3/16		1/8	3/2	364									70						
17	17	263/4	263/4	0.0	7/16	7/16	StaffText	4/4	1	1	0							"<font size=""9.8903""/><font face=""Plantin MT Std""/>pietoso, cantabile (ma sempre al rigore di tempo)"						70						
17	17	263/4	263/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	365									70						
17	17	66	66	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	366									70						
17	17	133/2	133/2	1.0	5/8	5/8	Chord	4/4	1	1	1/4		1/4	1	367									70						
17	17	135/2	135/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	368									70						
17	17	64	64	0.5	0	0	Chord	4/4	1	2	1/8		1/8	1	369															
17	17	65	65	1.0	1/4	1/4	Chord	4/4	1	2	1/4		1/4	1	370															
17	17	66	66	1.0	1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	371															
17	17	67	67	1.0	3/4	3/4	Chord	4/4	1	2	1/4		1/4	1	372															
17	17	64	64	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	373															
17	17	65	65	0.0	1/4	1/4	Dynamic	4/4	2	1	0					p														
17	17	131/2	131/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	374		articTenutoAbove													
17	17	133/2	133/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	375		articTenutoAbove													
17	17	135/2	135/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	376															
17	17	64	64	0.5	0	0	Chord	4/4	2	2	1/8		1/8	1	377															
17	17	65	65	1.0	1/4	1/4	Chord	4/4	2	2	1/4		1/4	1	378															
17	17	66	66	1.0	1/2	1/2	Chord	4/4	2	2	1/4		1/4	1	379															
17	17	67	67	1.0	3/4	3/4	Chord	4/4	2	2	1/4		1/4	1	380															
18	18	68	68	0.75	0	0	Chord	4/4	1	1	3/16		1/8	3/2	381									70						
18	18	275/4	275/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	382									70						
18	18	69	69	0.0	1/4	1/4	Chord	4/4	1	1	0	acciaccatura	1/8	1	383									70						
18	18	69	69	0.25	1/4	1/4	Chord	4/4	1	1	1/16		1/16	1	384									70						
18	18	277/4	277/4	0.5	5/16	5/16	Chord	4/4	1	1	1/8		1/8	1	385									70						
18	18	279/4	279/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	386									70						
18	18	70	70	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	387									70						
18	18	141/2	141/2	1.0	5/8	5/8	Chord	4/4	1	1	1/4		1/4	1	388															
18	18	143/2	143/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	389															
18	18	68	68	1.0	0	0	Chord	4/4	1	2	1/4		1/4	1	390															
18	18	69	69	0.5	1/4	1/4	Chord	4/4	1	2	1/8		1/8	1	391															
18	18	139/2	139/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8		1/8	1	392															
18	18	69	69	1.0	1/4	1/4	Chord	4/4	1	3	1/4		1/4	1	393															
18	18	137/2	137/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	394															
18	18	139/2	139/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	395															
18	18	71	71	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	396															
18	18	143/2	143/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	397		articTenutoBelow													
18	18	68	68	1.0	0	0	Chord	4/4	2	2	1/4		1/4	1	398															
18	18	69	69	1.0	1/4	1/4	Chord	4/4	2	2	1/4		1/4	1	399															
18	18	70	70	1.0	1/2	1/2	Chord	4/4	2	2	1/4		1/4	1	400															
19	19	72	72	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	401		articTenutoBelow													
19	19	73	73	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	402		articTenutoBelow													
19	19	147/2	147/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	403		articTenutoBelow													
19	19	74	74	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	404		articTenutoBelow													
19	19	149/2	149/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16		1/16	1	405		articTenutoBelow													
19	19	299/4	299/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	406		articTenutoBelow													
19	19	75	75	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	407		articTenutoBelow													
19	19	151/2	151/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	408		articTenutoBelow													
19	19	72	72	0.0	0	0	Spanner	4/4	2	1	0																11	11		
19	19	145/2	145/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	409												11	11		
19	19	73	73	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	410		articTenutoBelow										11	11		
19	19	147/2	147/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	411		articTenutoBelow										11	11		
19	19	74	74	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	412		articTenutoBelow										11	11		
19	19	149/2	149/2	0.25	5/8	5/8	Chord	4/4	2	1	1/16		1/16	1	413		articTenutoBelow										11	11		
19	19	299/4	299/4	0.0	11/16	11/16	Spanner	4/4	2	1	0																			
19	19	299/4	299/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16		1/16	1	414		articTenutoBelow													
19	19	75	75	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	415		articTenutoBelow													
19	19	151/2	151/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	416		articTenutoBelow													
19	19	72	72	1.0	0	0	Chord	4/4	2	2	1/4		1/4	1	417		articTenutoBelow													
20	20	76	76	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	418															
20	20	153/2	153/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	419		articTenutoAbove													
20	20	77	77	0.75	1/4	1/4	Chord	4/4	1	1	3/16		1/8	3/2	420		articTenutoBelow													
20	20	311/4	311/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	421		articTenutoBelow													
20	20	78	78	0.0	1/2	1/2	StaffText	4/4	1	1	0							"<font size=""9.8903""/><font face=""Plantin MT Std""/>ten."												
20	20	78	78	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	422		articTenutoBelow													
20	20	76	76	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	423															
20	20	153/2	153/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	424		articTenutoBelow													
20	20	155/2	155/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	425															
20	20	157/2	157/2	1.0	5/8	5/8	Chord	4/4	2	1	1/4		1/4	1	426		articTenutoAbove													
20	20	77	77	1.0	1/4	1/4	Chord	4/4	2	2	1/4		1/4	1	427															
20	20	78	78	0.75	1/2	1/2	Chord	4/4	2	2	3/16		1/8	3/2	428															
20	20	315/4	315/4	0.25	11/16	11/16	Chord	4/4	2	2	1/16		1/16	1	429									71						
20	20	79	79	0.0	3/4	3/4	Chord	4/4	2	2	0	grace16	1/16	1	430									71						
20	20	79	79	0.0	3/4	3/4	Chord	4/4	2	2	0	grace16	1/16	1	431									71						
20	20	79	79	0.25	3/4	3/4	Chord	4/4	2	2	1/16		1/16	1	432									71						
20	20	317/4	317/4	0.5	13/16	13/16	Chord	4/4	2	2	1/8		1/8	1	433									71						
20	20	319/4	319/4	0.25	15/16	15/16	Chord	4/4	2	2	1/16		1/16	1	434									71						
21	21	161/2	161/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	435									72						
21	21	81	81	0.75	1/4	1/4	Chord	4/4	1	1	3/16		1/8	3/2	436									72						
21	21	327/4	327/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	437									72						
21	21	82	82	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	438									72						
21	21	165/2	165/2	1.0	5/8	5/8	Chord	4/4	1	1	1/4		1/4	1	439									72						
21	21	167/2	167/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	440									72						
21	21	161/2	161/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8		1/8	1	441									73						
21	21	81	81	0.5	1/4	1/4	Chord	4/4	1	2	1/8		1/8	1	442															
21	21	163/2	163/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8		1/8	1	443									74						
21	21	82	82	0.5	1/2	1/2	Chord	4/4	1	2	1/8		1/8	1	444															
21	21	165/2	165/2	0.5	5/8	5/8	Chord	4/4	1	2	1/8		1/8	1	445									75						
21	21	83	83	0.5	3/4	3/4	Chord	4/4	1	2	1/8		1/8	1	446															
21	21	167/2	167/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8		1/8	1	447															
21	21	80	80	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	448		articTenutoBelow													
21	21	81	81	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	449															
21	21	82	82	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	450															
21	21	83	83	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	451									76						
22	22	84	84	0.75	0	0	Chord	4/4	1	1	3/16		1/8	3/2	452									72						
22	22	339/4	339/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	453									72						
22	22	85	85	0.0	1/4	1/4	Chord	4/4	1	1	0	grace16	1/16	1	454									72						
22	22	85	85	0.0	1/4	1/4	Chord	4/4	1	1	0	grace16	1/16	1	455									72						
22	22	85	85	0.25	1/4	1/4	Chord	4/4	1	1	1/16		1/16	1	456									72						
22	22	341/4	341/4	0.5	5/16	5/16	Chord	4/4	1	1	1/8		1/8	1	457									72						
22	22	343/4	343/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	458									72						
22	22	86	86	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	459									72						
22	22	173/2	173/2	1.0	5/8	5/8	Chord	4/4	1	1	1/4		1/4	1	460															
22	22	175/2	175/2	0.0	7/8	7/8	Spanner	4/4	1	1	0																		3	
22	22	175/2	175/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	461		articTenutoBelow												3	
22	22	337/4	337/4	0.25	1/16	1/16	Chord	4/4	1	2	1/16		1/16	1	462									77					3	
22	22	169/2	169/2	0.25	1/8	1/8	Chord	4/4	1	2	1/16		1/16	1	463														3	
22	22	339/4	339/4	0.25	3/16	3/16	Chord	4/4	1	2	1/16		1/16	1	464									78					3	
22	22	85	85	0.25	1/4	1/4	Chord	4/4	1	2	1/16		1/16	1	465														3	
22	22	341/4	341/4	0.25	5/16	5/16	Chord	4/4	1	2	1/16		1/16	1	466									79					3	
22	22	171/2	171/2	0.25	3/8	3/8	Chord	4/4	1	2	1/16		1/16	1	467														3	
22	22	343/4	343/4	0.25	7/16	7/16	Chord	4/4	1	2	1/16		1/16	1	468									80					3	
22	22	86	86	0.5	1/2	1/2	Chord	4/4	1	2	1/8		1/8	1	469														3	
22	22	173/2	173/2	1.0	5/8	5/8	Chord	4/4	1	2	1/4		1/4	1	470														3	
22	22	84	84	0.25	0	0	Chord	4/4	2	1	1/16		1/16	1	471															
22	22	85	85	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	472															
22	22	86	86	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	473									81						
22	22	87	87	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	474															
22	22	84	84	0.5	0	0	Chord	4/4	2	2	1/8		1/8	1	475															
22	22	169/2	169/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8		1/8	1	476															
22	22	86	86	2.0	1/2	1/2	Chord	4/4	2	2	1/2		1/2	1	477															
23	23	88	88	0.0	0	0	Spanner	4/4	1	1	0																			
23	23	353/4	353/4	0.0	1/16	1/16	Dynamic	4/4	1	1	0					pp														
23	23	353/4	353/4	0.125	1/16	1/16	Chord	4/4	1	1	1/32		1/32	1	478		articStaccatoAbove							82						
23	23	707/8	707/8	0.125	3/32	3/32	Chord	4/4	1	1	1/32		1/32	1	479		articStaccatoAbove							82						
23	23	177/2	177/2	0.125	1/8	1/8	Chord	4/4	1	1	1/32		1/32	1	480		articStaccatoAbove							82						
23	23	709/8	709/8	0.125	5/32	5/32	Chord	4/4	1	1	1/32		1/32	1	481		articStaccatoAbove							82						
23	23	355/4	355/4	0.125	3/16	3/16	Chord	4/4	1	1	1/32		1/32	1	482		articStaccatoAbove							82						
23	23	711/8	711/8	0.125	7/32	7/32	Chord	4/4	1	1	1/32		1/32	1	483		articStaccatoAbove							82						
23	23	89	89	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	484		articTenutoAbove													
23	23	179/2	179/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	485		articTenutoAbove													
