mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	Ottava:8va	pedal	Pedal_<sym>keyboardPedalPed</sym>	decrescendo_hairpin	crescendo_hairpin
5	5	101/6	101/6	0.16666666666666666	5/24	5/24	Chord	4/4	2	1	1/24		1/16	2/3	116									14					
5	5	17	17	0.16666666666666666	1/4	1/4	Chord	4/4	2	1	1/24		1/16	2/3	117									14					
5	5	103/6	103/6	0.16666666666666666	7/24	7/24	Chord	4/4	2	1	1/24		1/16	2/3	118									14					
5	5	52/3	52/3	0.16666666666666666	1/3	1/3	Chord	4/4	2	1	1/24		1/16	2/3	119									14					
5	5	35/2	35/2	0.16666666666666666	3/8	3/8	Chord	4/4	2	1	1/24		1/16	2/3	120									14					
5	5	53/3	53/3	0.16666666666666666	5/12	5/12	Chord	4/4	2	1	1/24		1/16	2/3	121									14					
5	5	107/6	107/6	0.16666666666666666	11/24	11/24	Chord	4/4	2	1	1/24		1/16	2/3	122									14					
5	5	18	18	0.16666666666666666	1/2	1/2	Chord	4/4	2	1	1/24		1/16	2/3	123									14					
5	5	109/6	109/6	0.16666666666666666	13/24	13/24	Chord	4/4	2	1	1/24		1/16	2/3	124									14					
5	5	55/3	55/3	0.16666666666666666	7/12	7/12	Chord	4/4	2	1	1/24		1/16	2/3	125									14					
5	5	37/2	37/2	0.16666666666666666	5/8	5/8	Chord	4/4	2	1	1/24		1/16	2/3	126									14					
5	5	56/3	56/3	0.16666666666666666	2/3	2/3	Chord	4/4	2	1	1/24		1/16	2/3	127									14					
5	5	113/6	113/6	0.16666666666666666	17/24	17/24	Chord	4/4	2	1	1/24		1/16	2/3	128									14					
5	5	19	19	0.16666666666666666	3/4	3/4	Chord	4/4	2	1	1/24		1/16	2/3	129									14					
5	5	115/6	115/6	0.16666666666666666	19/24	19/24	Chord	4/4	2	1	1/24		1/16	2/3	130									14					
5	5	58/3	58/3	0.16666666666666666	5/6	5/6	Chord	4/4	2	1	1/24		1/16	2/3	131									14					
5	5	39/2	39/2	0.16666666666666666	7/8	7/8	Chord	4/4	2	1	1/24		1/16	2/3	132									14					
5	5	59/3	59/3	0.16666666666666666	11/12	11/12	Chord	4/4	2	1	1/24		1/16	2/3	133									14					
5	5	119/6	119/6	0.16666666666666666	23/24	23/24	Chord	4/4	2	1	1/24		1/16	2/3	134														
6	6	20	20	0.0	0	0	Spanner	4/4	1	1	0													13				2	
6	6	20	20	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	135									13				2	
6	6	21	21	0.0	1/4	1/4	Spanner	4/4	1	1	0																		
6	6	21	21	2.0	1/4	1/4	Chord	4/4	1	1	1/2		1/2	1	136														
6	6	23	23	0.0	3/4	3/4	Spanner	4/4	1	1	0																		1
6	6	23	23	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	137									15					1
6	6	47/2	47/2	0.0	7/8	7/8	Spanner	4/4	1	1	0													15					
6	6	47/2	47/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	138									15					
6	6	23	23	0.5	3/4	3/4	Chord	4/4	1	2	1/8		1/8	1	139														
6	6	47/2	47/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8		1/8	1	140														
6	6	20	20	0.16666666666666666	0	0	Chord	4/4	2	1	1/24		1/16	2/3	141									16					
6	6	121/6	121/6	0.16666666666666666	1/24	1/24	Chord	4/4	2	1	1/24		1/16	2/3	142									16					
6	6	61/3	61/3	0.16666666666666666	1/12	1/12	Chord	4/4	2	1	1/24		1/16	2/3	143									16					
6	6	41/2	41/2	0.16666666666666666	1/8	1/8	Chord	4/4	2	1	1/24		1/16	2/3	144									16					
6	6	62/3	62/3	0.16666666666666666	1/6	1/6	Chord	4/4	2	1	1/24		1/16	2/3	145									16					
6	6	125/6	125/6	0.16666666666666666	5/24	5/24	Chord	4/4	2	1	1/24		1/16	2/3	146									16					
6	6	21	21	0.16666666666666666	1/4	1/4	Chord	4/4	2	1	1/24		1/16	2/3	147									16					
6	6	127/6	127/6	0.16666666666666666	7/24	7/24	Chord	4/4	2	1	1/24		1/16	2/3	148									16					
6	6	64/3	64/3	0.16666666666666666	1/3	1/3	Chord	4/4	2	1	1/24		1/16	2/3	149									16					
6	6	43/2	43/2	0.16666666666666666	3/8	3/8	Chord	4/4	2	1	1/24		1/16	2/3	150									16					
6	6	65/3	65/3	0.16666666666666666	5/12	5/12	Chord	4/4	2	1	1/24		1/16	2/3	151									16					
6	6	131/6	131/6	0.16666666666666666	11/24	11/24	Chord	4/4	2	1	1/24		1/16	2/3	152									16					
6	6	22	22	0.16666666666666666	1/2	1/2	Chord	4/4	2	1	1/24		1/16	2/3	153									16					
6	6	133/6	133/6	0.16666666666666666	13/24	13/24	Chord	4/4	2	1	1/24		1/16	2/3	154									16					
6	6	67/3	67/3	0.16666666666666666	7/12	7/12	Chord	4/4	2	1	1/24		1/16	2/3	155									16					
6	6	45/2	45/2	0.16666666666666666	5/8	5/8	Chord	4/4	2	1	1/24		1/16	2/3	156									16					
6	6	68/3	68/3	0.16666666666666666	2/3	2/3	Chord	4/4	2	1	1/24		1/16	2/3	157									16					
6	6	137/6	137/6	0.16666666666666666	17/24	17/24	Chord	4/4	2	1	1/24		1/16	2/3	158									16					
6	6	23	23	0.16666666666666666	3/4	3/4	Chord	4/4	2	1	1/24		1/16	2/3	159									16					
6	6	139/6	139/6	0.16666666666666666	19/24	19/24	Chord	4/4	2	1	1/24		1/16	2/3	160									16					
6	6	70/3	70/3	0.16666666666666666	5/6	5/6	Chord	4/4	2	1	1/24		1/16	2/3	161									16					
6	6	47/2	47/2	0.16666666666666666	7/8	7/8	Chord	4/4	2	1	1/24		1/16	2/3	162									16					
6	6	71/3	71/3	0.16666666666666666	11/12	11/12	Chord	4/4	2	1	1/24		1/16	2/3	163									16					
6	6	143/6	143/6	0.16666666666666666	23/24	23/24	Chord	4/4	2	1	1/24		1/16	2/3	164														
7	7	24	24	0.0	0	0	Spanner	4/4	1	1	0													15					
7	7	24	24	0.0	0	0	Spanner	4/4	1	1	0													15					
7	7	24	24	0.0	0	0	Spanner	4/4	1	1	0													15				3	
7	7	24	24	1.5	0	0	Chord	4/4	1	1	3/8		1/4	3/2	165									15				3	
7	7	51/2	51/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	166									15				3	
7	7	26	26	0.0	1/2	1/2	Spanner	4/4	1	1	0																		
7	7	26	26	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	167														
7	7	27	27	0.0	3/4	3/4	Spanner	4/4	1	1	0																		2
7	7	27	27	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	168									17					2
7	7	55/2	55/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	169									17					2
7	7	24	24	1.5	0	0	Chord	4/4	1	2	3/8		1/4	3/2	170														2
7	7	51/2	51/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8		1/8	1	171														2
7	7	26	26	1.0	1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	172														2
7	7	27	27	0.5	3/4	3/4	Chord	4/4	1	2	1/8		1/8	1	173														2
7	7	55/2	55/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8		1/8	1	174														2
7	7	24	24	0.16666666666666666	0	0	Chord	4/4	2	1	1/24		1/16	2/3	175									18					
7	7	145/6	145/6	0.16666666666666666	1/24	1/24	Chord	4/4	2	1	1/24		1/16	2/3	176									18					
7	7	73/3	73/3	0.16666666666666666	1/12	1/12	Chord	4/4	2	1	1/24		1/16	2/3	177									18					
7	7	49/2	49/2	0.16666666666666666	1/8	1/8	Chord	4/4	2	1	1/24		1/16	2/3	178									18					
7	7	74/3	74/3	0.16666666666666666	1/6	1/6	Chord	4/4	2	1	1/24		1/16	2/3	179									18					
7	7	149/6	149/6	0.16666666666666666	5/24	5/24	Chord	4/4	2	1	1/24		1/16	2/3	180									18					
7	7	25	25	0.16666666666666666	1/4	1/4	Chord	4/4	2	1	1/24		1/16	2/3	181									18					
7	7	151/6	151/6	0.16666666666666666	7/24	7/24	Chord	4/4	2	1	1/24		1/16	2/3	182									18					
7	7	76/3	76/3	0.16666666666666666	1/3	1/3	Chord	4/4	2	1	1/24		1/16	2/3	183									18					
7	7	51/2	51/2	0.16666666666666666	3/8	3/8	Chord	4/4	2	1	1/24		1/16	2/3	184									18					
7	7	77/3	77/3	0.16666666666666666	5/12	5/12	Chord	4/4	2	1	1/24		1/16	2/3	185									18					
7	7	155/6	155/6	0.16666666666666666	11/24	11/24	Chord	4/4	2	1	1/24		1/16	2/3	186									18					
7	7	26	26	0.16666666666666666	1/2	1/2	Chord	4/4	2	1	1/24		1/16	2/3	187									18					
7	7	157/6	157/6	0.16666666666666666	13/24	13/24	Chord	4/4	2	1	1/24		1/16	2/3	188									18					
7	7	79/3	79/3	0.16666666666666666	7/12	7/12	Chord	4/4	2	1	1/24		1/16	2/3	189									18					
7	7	53/2	53/2	0.16666666666666666	5/8	5/8	Chord	4/4	2	1	1/24		1/16	2/3	190									18					
7	7	80/3	80/3	0.16666666666666666	2/3	2/3	Chord	4/4	2	1	1/24		1/16	2/3	191									18					
7	7	161/6	161/6	0.16666666666666666	17/24	17/24	Chord	4/4	2	1	1/24		1/16	2/3	192									18					
7	7	27	27	0.16666666666666666	3/4	3/4	Chord	4/4	2	1	1/24		1/16	2/3	193									18					
7	7	163/6	163/6	0.16666666666666666	19/24	19/24	Chord	4/4	2	1	1/24		1/16	2/3	194									18					
7	7	82/3	82/3	0.16666666666666666	5/6	5/6	Chord	4/4	2	1	1/24		1/16	2/3	195									18					
7	7	55/2	55/2	0.16666666666666666	7/8	7/8	Chord	4/4	2	1	1/24		1/16	2/3	196									18					
7	7	83/3	83/3	0.16666666666666666	11/12	11/12	Chord	4/4	2	1	1/24		1/16	2/3	197									18					
7	7	167/6	167/6	0.16666666666666666	23/24	23/24	Chord	4/4	2	1	1/24		1/16	2/3	198														
8	8	28	28	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	199									17					2
8	8	57/2	57/2	0.0	1/8	1/8	Spanner	4/4	1	1	0													17					
8	8	57/2	57/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	200									17					
8	8	29	29	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	201									17					
8	8	59/2	59/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	202									17					
8	8	30	30	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	203														
8	8	31	31	0.0	3/4	3/4	Spanner	4/4	1	1	0																	4	
8	8	31	31	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	204									19				4	
8	8	63/2	63/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	205									19				4	
8	8	28	28	0.5	0	0	Chord	4/4	1	2	1/8		1/8	1	206													4	
8	8	57/2	57/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8		1/8	1	207													4	
8	8	29	29	1.0	1/4	1/4	Chord	4/4	1	2	1/4		1/4	1	208													4	
8	8	30	30	1.0	1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	209													4	
8	8	31	31	1.0	3/4	3/4	Chord	4/4	1	2	1/4		1/4	1	210													4	
8	8	28	28	0.16666666666666666	0	0	Chord	4/4	2	1	1/24		1/16	2/3	211									20					
8	8	169/6	169/6	0.16666666666666666	1/24	1/24	Chord	4/4	2	1	1/24		1/16	2/3	212									20					
8	8	85/3	85/3	0.16666666666666666	1/12	1/12	Chord	4/4	2	1	1/24		1/16	2/3	213									20					
8	8	57/2	57/2	0.16666666666666666	1/8	1/8	Chord	4/4	2	1	1/24		1/16	2/3	214									20					
8	8	86/3	86/3	0.16666666666666666	1/6	1/6	Chord	4/4	2	1	1/24		1/16	2/3	215									20					
8	8	173/6	173/6	0.16666666666666666	5/24	5/24	Chord	4/4	2	1	1/24		1/16	2/3	216									20					
8	8	29	29	0.16666666666666666	1/4	1/4	Chord	4/4	2	1	1/24		1/16	2/3	217									20					
8	8	175/6	175/6	0.16666666666666666	7/24	7/24	Chord	4/4	2	1	1/24		1/16	2/3	218									20					
8	8	88/3	88/3	0.16666666666666666	1/3	1/3	Chord	4/4	2	1	1/24		1/16	2/3	219									20					
8	8	59/2	59/2	0.16666666666666666	3/8	3/8	Chord	4/4	2	1	1/24		1/16	2/3	220									20					
8	8	89/3	89/3	0.16666666666666666	5/12	5/12	Chord	4/4	2	1	1/24		1/16	2/3	221									20					
