mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_hairpin	decrescendo_hairpin	Ottava:8va	pedal	Pedal_<sym>keyboardPedalPed</sym>	Trill:trill
3	3	21/4	21/4	0.25	5/16	5/16	Chord	2/4	1	2	1/16		1/16	1	19									8						
3	3	11/2	11/2	0.25	3/8	3/8	Chord	2/4	1	2	1/16		1/16	1	20									8						
3	3	23/4	23/4	0.25	7/16	7/16	Chord	2/4	1	2	1/16		1/16	1	21									8						
3	3	5	5	1.0	1/4	1/4	Chord	2/4	1	3	1/4		1/4	1	22															
3	3	21/4	21/4	0.75	5/16	5/16	Chord	2/4	1	4	3/16		1/8	3/2	23															
4	4	6	6	0.0	0	0	Dynamic	2/4	1	1	0					pp														
4	4	6	6	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	24															
4	4	15/2	15/2	0.0	3/8	3/8	Dynamic	2/4	1	1	0					p														
4	4	15/2	15/2	0.0	3/8	3/8	StaffText	2/4	1	1	0							tenebroso												
4	4	15/2	15/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	25		articStaccatoAbove													
4	4	31/4	31/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	26		articStaccatoAbove													
4	4	6	6	0.5	0	0	Chord	2/4	1	2	1/8		1/8	1	27															
4	4	6	6	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	28													0	0	
4	4	13/2	13/2	0.0	1/8	1/8	Spanner	2/4	2	1	0																			
5	5	8	8	0.0	0	0	StaffText	2/4	1	1	0							"<font size=""9.8903""/><font face=""Plantin MT Std""/>sempre sostenuto"												
5	5	8	8	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	29		articStaccatoAbove													
5	5	33/4	33/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	30		articStaccatoAbove													
5	5	17/2	17/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	31		articStaccatoAbove													
5	5	35/4	35/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	32		articStaccatoAbove													
5	5	9	9	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	33		articStaccatoAbove													
5	5	37/4	37/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	34		articStaccatoAbove													
5	5	19/2	19/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	35		articStaccatoAbove													
5	5	39/4	39/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	36		articStaccatoAbove													
5	5	8	8	0.0	0	0	Chord	2/4	2	1	0	acciaccatura	1/8	1	37															
5	5	8	8	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	38		articAccentStaccatoAbove													
5	5	9	9	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	39		articStaccatoBelow													
6	6	10	10	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	40		articStaccatoAbove													
6	6	41/4	41/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	41		articStaccatoAbove													
6	6	21/2	21/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	42		articStaccatoAbove													
6	6	43/4	43/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	43		articStaccatoAbove													
6	6	11	11	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	44		articStaccatoBelow													
6	6	45/4	45/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	45		articStaccatoBelow													
6	6	23/2	23/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	46		articStaccatoAbove													
6	6	47/4	47/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	47		articStaccatoAbove													
6	6	10	10	0.0	0	0	Chord	2/4	2	1	0	acciaccatura	1/8	1	48															
6	6	10	10	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	49		articAccentStaccatoAbove													
6	6	11	11	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	50		articStaccatoBelow													
7	7	12	12	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	51		articStaccatoAbove													
7	7	49/4	49/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	52		articStaccatoAbove													
7	7	25/2	25/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	53		articStaccatoAbove													
7	7	51/4	51/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	54		articStaccatoAbove													
7	7	13	13	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	55		articStaccatoBelow													
7	7	53/4	53/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	56		articStaccatoBelow													
7	7	27/2	27/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	57		articStaccatoBelow													
7	7	55/4	55/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	58		articStaccatoBelow													
7	7	12	12	0.0	0	0	Chord	2/4	2	1	0	acciaccatura	1/8	1	59															
7	7	12	12	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	60		articAccentStaccatoBelow													
7	7	13	13	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	61		articStaccatoBelow													
7	7	55/4	55/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	62									9						
8	8	14	14	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	63		articStaccatoAbove													
8	8	57/4	57/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	64		articStaccatoAbove													
8	8	29/2	29/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	65		articStaccatoAbove													
8	8	59/4	59/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	66		articStaccatoAbove													
8	8	15	15	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	67		articStaccatoBelow													
8	8	61/4	61/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	68		articStaccatoBelow													
8	8	31/2	31/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	69		articStaccatoAbove													
8	8	63/4	63/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	70		articStaccatoAbove													
8	8	14	14	0.0	0	0	Chord	2/4	2	1	0	acciaccatura	1/8	1	71															
8	8	14	14	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	72		articAccentStaccatoBelow													
8	8	15	15	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	73		articStaccatoBelow													
9	9	16	16	0.0	0	0	Spanner	2/4	1	1	0														1					
9	9	16	16	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	74		articStaccatoAbove								1					
9	9	65/4	65/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	75		articStaccatoAbove								1					
9	9	33/2	33/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	76		articStaccatoAbove								1					
9	9	67/4	67/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	77		articStaccatoAbove								1					
9	9	17	17	0.0	1/4	1/4	Dynamic	2/4	1	1	0					sf														
9	9	17	17	0.0	1/4	1/4	Spanner	2/4	1	1	0																			
9	9	17	17	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	78		articStaccatoAbove													
9	9	69/4	69/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	79		articStaccatoAbove													
9	9	35/2	35/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	80		articStaccatoAbove													
9	9	71/4	71/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	81		articStaccatoAbove													
9	9	16	16	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	82		articStaccatoBelow													
9	9	33/2	33/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	83		articStaccatoBelow													
9	9	17	17	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	84		articAccentAbove													
9	9	17	17	0.16666666666666666	1/4	1/4	Chord	2/4	2	2	1/24		1/16	2/3	85									10						
9	9	103/6	103/6	0.16666666666666666	7/24	7/24	Chord	2/4	2	2	1/24		1/16	2/3	86									10						
9	9	52/3	52/3	0.16666666666666666	1/3	1/3	Chord	2/4	2	2	1/24		1/16	2/3	87									10						
9	9	35/2	35/2	0.16666666666666666	3/8	3/8	Chord	2/4	2	2	1/24		1/16	2/3	88									10						
9	9	53/3	53/3	0.16666666666666666	5/12	5/12	Chord	2/4	2	2	1/24		1/16	2/3	89									10						
9	9	107/6	107/6	0.16666666666666666	11/24	11/24	Chord	2/4	2	2	1/24		1/16	2/3	90									10						
10	10	18	18	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	91		articStaccatoBelow													
10	10	73/4	73/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	92		articStaccatoBelow													
10	10	37/2	37/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	93		articStaccatoBelow													
10	10	75/4	75/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	94		articStaccatoBelow													
10	10	19	19	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	95		articStaccatoBelow													
10	10	77/4	77/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	96		articStaccatoBelow													
10	10	39/2	39/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	97		articStaccatoBelow													
10	10	79/4	79/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	98		articStaccatoBelow													
10	10	18	18	0.0	0	0	Spanner	2/4	2	1	0															1				
10	10	18	18	2.0	0	0	Chord	2/4	2	1	1/2		1/2	1	99											1				
10	10	39/2	39/2	0.0	3/8	3/8	Dynamic	2/4	2	1	0					pp										1				
10	10	18	18	0.16666666666666666	0	0	Chord	2/4	2	2	1/24		1/16	2/3	100									10		1				
10	10	109/6	109/6	0.16666666666666666	1/24	1/24	Chord	2/4	2	2	1/24		1/16	2/3	101									10		1				
10	10	55/3	55/3	0.16666666666666666	1/12	1/12	Chord	2/4	2	2	1/24		1/16	2/3	102									10		1				
10	10	37/2	37/2	0.16666666666666666	1/8	1/8	Chord	2/4	2	2	1/24		1/16	2/3	103									10		1				
10	10	56/3	56/3	0.16666666666666666	1/6	1/6	Chord	2/4	2	2	1/24		1/16	2/3	104									10		1				
10	10	113/6	113/6	0.16666666666666666	5/24	5/24	Chord	2/4	2	2	1/24		1/16	2/3	105									10		1				
10	10	19	19	0.125	1/4	1/4	Chord	2/4	2	2	1/32		1/32	1	106									10		1				
10	10	153/8	153/8	0.125	9/32	9/32	Chord	2/4	2	2	1/32		1/32	1	107									10		1				
10	10	77/4	77/4	0.125	5/16	5/16	Chord	2/4	2	2	1/32		1/32	1	108									10		1				
10	10	155/8	155/8	0.125	11/32	11/32	Chord	2/4	2	2	1/32		1/32	1	109									10		1				
10	10	39/2	39/2	0.5	3/8	3/8	Chord	2/4	2	2	1/8		1/8	1	110		articStaccatoBelow									1				
11	11	20	20	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	111		articStaccatoBelow													
11	11	81/4	81/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	112		articStaccatoBelow													
11	11	41/2	41/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	113		articStaccatoBelow													
11	11	83/4	83/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	114		articStaccatoBelow													
11	11	21	21	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	115		articStaccatoBelow													
11	11	85/4	85/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	116		articStaccatoBelow													
11	11	43/2	43/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	117		articStaccatoBelow													
11	11	87/4	87/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	118		articStaccatoBelow													
11	11	20	20	0.0	0	0	StaffText	2/4	2	1	0							"<font size=""11.9365""/><font face=""Plantin MT Std""/>poco rinforzando"												
11	11	20	20	0.0	0	0	Spanner	2/4	2	1	0																			
11	11	41/2	41/2	0.0	1/8	1/8	Spanner	2/4	2	1	0														2					
11	11	41/2	41/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	119		articStaccatoBelow								2					
11	11	21	21	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	120		articStaccatoBelow								2					
11	11	43/2	43/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	121		articStaccatoBelow								2					
12	12	22	22	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	122		articStaccatoBelow													
12	12	89/4	89/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	123		articStaccatoBelow													
12	12	45/2	45/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	124		articStaccatoBelow													
12	12	91/4	91/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	125		articStaccatoBelow													
12	12	23	23	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	126		articStaccatoBelow													
12	12	47/2	47/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	127									11						
12	12	95/4	95/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	128									11						
12	12	22	22	0.0	0	0	Spanner	2/4	2	1	0																			
12	12	22	22	0.0	0	0	Spanner	2/4	2	1	0															2				
12	12	22	22	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	129		articStaccatoBelow									2				
12	12	45/2	45/2	0.0	1/8	1/8	Spanner	2/4	2	1	0																			
12	12	45/2	45/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	130		articStaccatoBelow													
12	12	23	23	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	131		articStaccatoBelow													
13	13	24	24	0.0	0	0	Spanner	2/4	1	1	0													11		3				
13	13	24	24	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	132									11		3				
13	13	97/4	97/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	133									11		3				
13	13	49/2	49/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	134									11		3				
13	13	99/4	99/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	135									11		3				
13	13	25	25	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	136									11		3				
13	13	101/4	101/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	137									11		3				
13	13	51/2	51/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	138									11		3				
13	13	103/4	103/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	139									11		3				
13	13	24	24	2.0	0	0	Chord	2/4	1	2	1/2		1/2	1	140											3				
13	13	24	24	0.0	0	0	StaffText	2/4	2	1	0							"<font size=""11.9365""/><font face=""Plantin MT Std""/>cantando"												
13	13	49/2	49/2	0.0	1/8	1/8	Spanner	2/4	2	1	0														3					
13	13	49/2	49/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	141									12	3					
13	13	25	25	0.0	1/4	1/4	Spanner	2/4	2	1	0																			
13	13	25	25	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	142															
14	14	26	26	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	143									11		3				
14	14	105/4	105/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	144									11		3				
14	14	53/2	53/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	145									11		3				
14	14	107/4	107/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	146									11		3				
14	14	27	27	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	147											3				
14	14	55/2	55/2	0.0	3/8	3/8	Spanner	2/4	1	1	0																			
14	14	55/2	55/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	148									13						
14	14	111/4	111/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	149									13						
14	14	26	26	1.0	0	0	Chord	2/4	1	2	1/4		1/4	1	150															
14	14	27	27	0.5	1/4	1/4	Chord	2/4	1	2	1/8		1/8	1	151															
14	14	26	26	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	152									14						
14	14	53/2	53/2	0.0	1/8	1/8	Spanner	2/4	2	1	0													14		4				
14	14	53/2	53/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	153									14		4				
14	14	27	27	0.0	1/4	1/4	Spanner	2/4	2	1	0																			
14	14	27	27	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	154															
15	15	28	28	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	155									13						
15	15	113/4	113/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	156									13						
15	15	57/2	57/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	157									13						
15	15	115/4	115/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	158									13						
15	15	29	29	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	159									13						
15	15	117/4	117/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	160									13						
15	15	59/2	59/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	161									13						
15	15	119/4	119/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	162									13						
15	15	28	28	2.0	0	0	Chord	2/4	1	2	1/2		1/2	1	163															
15	15	28	28	0.0	0	0	StaffText	2/4	2	1	0							"<font size=""11.9365""/><font face=""Plantin MT Std""/>diminuendo"												
15	15	57/2	57/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	164									15						
15	15	29	29	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	165															
16	16	30	30	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	166									13						
16	16	121/4	121/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	167									13						
16	16	61/2	61/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	168									13						
16	16	123/4	123/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	169									13						
16	16	31	31	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	170									13						
16	16	125/4	125/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	171									13						
16	16	63/2	63/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	172									13						
16	16	127/4	127/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	173															
16	16	30	30	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	174									16						
16	16	31	31	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	175															
17	17	32	32	0.0	0	0	Dynamic	2/4	1	1	0					p														
17	17	32	32	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	176		articStaccatoBelow							17						
17	17	129/4	129/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	177		articStaccatoBelow							17						
17	17	65/2	65/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	178		articStaccatoBelow													
17	17	131/4	131/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	179		articStaccatoBelow							18						
17	17	33	33	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	180		articStaccatoAbove													
17	17	133/4	133/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	181		articStaccatoAbove							19						
17	17	67/2	67/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	182		articStaccatoAbove													
17	17	135/4	135/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	183		articStaccatoAbove							20						
17	17	32	32	0.0	0	0	Spanner	2/4	2	1	0																	1	1	
18	18	34	34	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	184		articStaccatoBelow													
18	18	137/4	137/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	185		articStaccatoBelow							21						
18	18	69/2	69/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	186		articStaccatoBelow													
18	18	139/4	139/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	187		articStaccatoBelow							22						
18	18	35	35	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	188		articStaccatoAbove													
18	18	141/4	141/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	189		articStaccatoAbove							23						
18	18	71/2	71/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	190		articStaccatoAbove													
18	18	143/4	143/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	191									24						
18	18	34	34	0.0	0	0	Spanner	2/4	2	1	0																			
18	18	35	35	0.0	1/4	1/4	Spanner	2/4	2	1	0																	2	2	
19	19	36	36	0.0	0	0	Dynamic	2/4	1	1	0					pp														
19	19	36	36	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	192															
19	19	37	37	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	193															
19	19	149/4	149/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	194															
19	19	75/2	75/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	195															
19	19	151/4	151/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	196															
19	19	36	36	2.0	0	0	Chord	2/4	1	2	1/2		1/2	1	197									25						
20	20	38	38	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	198															
20	20	79/2	79/2	0.0	3/8	3/8	Dynamic	2/4	1	1	0					p														
20	20	79/2	79/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	199		articStaccatoAbove													
20	20	159/4	159/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	200		articStaccatoAbove													
20	20	38	38	0.5	0	0	Chord	2/4	1	2	1/8		1/8	1	201															
20	20	38	38	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	202													2	2	
20	20	77/2	77/2	0.0	1/8	1/8	Spanner	2/4	2	1	0																			
21	21	40	40	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	203		articStaccatoAbove													
21	21	161/4	161/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	204		articStaccatoAbove													
21	21	81/2	81/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	205		articStaccatoAbove													
21	21	163/4	163/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	206		articStaccatoAbove													
21	21	41	41	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	207		articStaccatoAbove													
21	21	165/4	165/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	208		articStaccatoAbove													
21	21	83/2	83/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	209		articStaccatoAbove													
21	21	167/4	167/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	210		articStaccatoAbove													
21	21	40	40	0.0	0	0	Chord	2/4	2	1	0	appoggiatura	1/8	1	211															
21	21	40	40	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	212		articAccentStaccatoAbove													
21	21	41	41	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	213		articStaccatoBelow													
22	22	42	42	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	214		articStaccatoAbove													
22	22	169/4	169/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	215		articStaccatoAbove													
22	22	85/2	85/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	216		articStaccatoAbove													
22	22	171/4	171/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	217		articStaccatoAbove													
22	22	43	43	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	218		articStaccatoBelow													
