mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	decrescendo_hairpin	crescendo_hairpin	pedal	Pedal_<sym>keyboardPedalPed</sym>	Ottava:8va
11	11	41	41	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	158									37		1			
11	11	42	42	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	159											1			
11	11	43	43	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	160									38		1			
12	12	44	44	0.0	0	0	Chord	4/4	1	1	0	grace16	1/16	1	161									34					
12	12	44	44	0.0	0	0	Chord	4/4	1	1	0	grace16	1/16	1	162									34					
12	12	44	44	0.75	0	0	Chord	4/4	1	1	3/16		1/8	3/2	163									34					
12	12	179/4	179/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	164									34, 39					
12	12	45	45	0.75	1/4	1/4	Chord	4/4	1	1	3/16		1/8	3/2	165									34					
12	12	183/4	183/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	166									34					
12	12	46	46	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	167														
12	12	47	47	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	168									40					
12	12	44	44	1.0	0	0	Chord	4/4	1	2	1/4		1/4	1	169														
12	12	45	45	1.0	1/4	1/4	Chord	4/4	1	2	1/4		1/4	1	170														
12	12	46	46	1.0	1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	171														
12	12	47	47	1.0	3/4	3/4	Chord	4/4	1	2	1/4		1/4	1	172									41					
12	12	44	44	0.0	0	0	StaffText	4/4	2	1	0							"<font size=""9.8903""/><font face=""Plantin MT Std""/>poco piu mosso"								1			
12	12	44	44	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	173											1			
12	12	45	45	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	174									42		1			
12	12	46	46	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	175											1			
12	12	47	47	0.0	3/4	3/4	Spanner	4/4	2	1	0																		
12	12	47	47	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	176									43					
13	13	48	48	0.0	0	0	StaffText	4/4	1	1	0							crescendo						40					
13	13	48	48	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	177									40					
13	13	49	49	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	178									40					
13	13	99/2	99/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	179									40					
13	13	50	50	0.0	1/2	1/2	Chord	4/4	1	1	0	grace16	1/16	1	180									40					
13	13	50	50	0.0	1/2	1/2	Chord	4/4	1	1	0	grace16	1/16	1	181									40					
13	13	50	50	0.75	1/2	1/2	Chord	4/4	1	1	3/16		1/8	3/2	182									40					
13	13	203/4	203/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	183									40					
13	13	51	51	0.75	3/4	3/4	Chord	4/4	1	1	3/16		1/8	3/2	184									40					
13	13	207/4	207/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	185									40					
13	13	48	48	1.0	0	0	Chord	4/4	1	2	1/4		1/4	1	186														
13	13	49	49	1.0	1/4	1/4	Chord	4/4	1	2	1/4		1/4	1	187														
13	13	50	50	1.0	1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	188														
13	13	51	51	1.0	3/4	3/4	Chord	4/4	1	2	1/4		1/4	1	189									44					
13	13	48	48	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	190														
13	13	49	49	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	191									45					
13	13	50	50	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	192														
13	13	51	51	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	193									46					
14	14	52	52	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	194														
14	14	53	53	0.0	1/4	1/4	Spanner	4/4	1	1	0															2			
14	14	53	53	1.0	1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	195									47		2			
14	14	54	54	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	196									47		2			
14	14	55	55	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	197									47		2			
14	14	52	52	1.0	0	0	Chord	4/4	1	2	1/4		1/4	1	198											2			
14	14	53	53	1.0	1/4	1/4	Chord	4/4	1	2	1/4		1/4	1	199											2			
14	14	54	54	1.0	1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	200											2			
14	14	55	55	1.0	3/4	3/4	Chord	4/4	1	2	1/4		1/4	1	201									48		2			
14	14	52	52	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	202														
14	14	53	53	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	203									49					
14	14	54	54	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	204									49					
14	14	55	55	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	205									49					
15	15	56	56	0.0	0	0	Spanner	4/4	1	1	0																		
15	15	56	56	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	206														
15	15	57	57	2.0	1/4	1/4	Chord	4/4	1	1	1/2		1/2	1	207									50					
15	15	59	59	0.0	3/4	3/4	Chord	4/4	1	1	0	grace16	1/16	1	208									50					
15	15	59	59	0.0	3/4	3/4	Chord	4/4	1	1	0	grace16	1/16	1	209									50					
15	15	59	59	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	210									50					
15	15	119/2	119/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	211									50					
15	15	56	56	1.0	0	0	Chord	4/4	1	2	1/4		1/4	1	212														
15	15	57	57	3.0	1/4	1/4	Chord	4/4	1	2	3/4		1/2	3/2	213														
15	15	56	56	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	214														
15	15	57	57	0.0	1/4	1/4	Dynamic	4/4	2	1	0					f													
15	15	57	57	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	215									51					
15	15	58	58	0.0	1/2	1/2	StaffText	4/4	2	1	0							"<font size=""9.8903""/><font face=""Plantin MT Std""/>risoluto"											
15	15	58	58	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	216														
15	15	59	59	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	217									52					
16	16	60	60	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	218														
16	16	61	61	0.0	1/4	1/4	Chord	4/4	1	1	0	grace16	1/16	1	219														
16	16	61	61	0.0	1/4	1/4	Chord	4/4	1	1	0	grace16	1/16	1	220														
16	16	61	61	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	221									53					
16	16	123/2	123/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	222									53					
16	16	62	62	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	223														
16	16	63	63	0.0	3/4	3/4	Chord	4/4	1	1	0	grace16	1/16	1	224														
16	16	63	63	0.0	3/4	3/4	Chord	4/4	1	1	0	grace16	1/16	1	225														
16	16	63	63	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	226									54					
16	16	127/2	127/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	227									54					
16	16	60	60	1.0	0	0	Chord	4/4	1	2	1/4		1/4	1	228														
16	16	61	61	3.0	1/4	1/4	Chord	4/4	1	2	3/4		1/2	3/2	229														
16	16	60	60	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	230														
16	16	61	61	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	231									55					
16	16	62	62	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	232									55					
16	16	63	63	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	233									55					
17	17	64	64	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	234														
