mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	system_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	diminuendo_line	crescendo_hairpin	decrescendo_hairpin	crescendo_line
17	16	31	31	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	135		articTenutoAbove												
17	16	63/2	63/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	136										27				
17	16	32	32	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	137														
17	16	129/4	129/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	138														
17	16	65/2	65/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	139														
17	16	31	31	0.5	0	0	Chord	2/4	1	2	1/8		1/8	1	140														
17	16	63/2	63/2	0.5	1/8	1/8	Chord	2/4	1	2	1/8		1/8	1	141														
17	16	32	32	0.0	1/4	1/4	StaffText	2/4	1	2	0							dimin.											
17	16	32	32	0.5	1/4	1/4	Chord	2/4	1	2	1/8		1/8	1	142														
17	16	65/2	65/2	0.5	3/8	3/8	Chord	2/4	1	2	1/8		1/8	1	143														
17	16	31	31	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	144														
17	16	63/2	63/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	145										28				
17	16	32	32	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	146										28				
17	16	65/2	65/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	147										28				
18	17	33	33	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	148														
18	17	34	34	0.0	1/4	1/4	StaffText	2/4	1	1	0							poco											
18	17	34	34	1.0	1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	149										29				
18	17	33	33	0.25	0	0	Chord	2/4	1	2	1/16		1/16	1	150														
18	17	133/4	133/4	0.25	1/16	1/16	Chord	2/4	1	2	1/16		1/16	1	151														
18	17	67/2	67/2	0.5	1/8	1/8	Chord	2/4	1	2	1/8		1/8	1	152														
18	17	33	33	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	153										28				
18	17	67/2	67/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	154										28				
18	17	34	34	0.0	1/4	1/4	Dynamic	2/4	2	1	0					p													
18	17	34	34	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	155														
18	17	69/2	69/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	156										30				
19	18	35	35	0.0	0	0	StaffText	2/4	1	1	0							sostenuto							29				
19	18	35	35	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	157										29				
19	18	36	36	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	158										29				
19	18	145/4	145/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	159										29				
19	18	73/2	73/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	160										29				
19	18	147/4	147/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	161										29				
19	18	73/2	73/2	0.5	3/8	3/8	Chord	2/4	1	2	1/8		1/8	1	162														
19	18	35	35	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	163														
19	18	71/2	71/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	164										31				
19	18	36	36	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	165														
19	18	73/2	73/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	166										32				
20	19	37	37	0.0	0	0	StaffText	2/4	1	1	0							poco a poco crescendo e agitato											
20	19	37	37	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	167														
20	19	75/2	75/2	0.0	1/8	1/8	StaffText	2/4	1	1	0							a tempo											
20	19	75/2	75/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	168										33				
20	19	38	38	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	169										33				
20	19	77/2	77/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	170										33, 34				
20	19	37	37	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	171														
20	19	75/2	75/2	1.5	1/8	1/8	Chord	2/4	2	1	3/8		1/4	3/2	172										35				
20	19	75/2	75/2	0.5	1/8	1/8	Chord	2/4	2	2	1/8		1/8	1	173														
20	19	38	38	0.5	1/4	1/4	Chord	2/4	2	2	1/8		1/8	1	174														
20	19	77/2	77/2	0.5	3/8	3/8	Chord	2/4	2	2	1/8		1/8	1	175														
21	20	39	39	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	176										33				
21	20	79/2	79/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	177										33				
21	20	40	40	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	178										33				
21	20	161/4	161/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	179										33				
21	20	81/2	81/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	180										33				
21	20	163/4	163/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	181										33				
21	20	40	40	1.0	1/4	1/4	Chord	2/4	1	2	1/4		1/4	1	182										36				
21	20	39	39	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	183														
21	20	79/2	79/2	1.0	1/8	1/8	Chord	2/4	2	1	1/4		1/4	1	184														
21	20	81/2	81/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	185														
21	20	39	39	0.5	0	0	Chord	2/4	2	2	1/8		1/8	1	186														
21	20	79/2	79/2	0.5	1/8	1/8	Chord	2/4	2	2	1/8		1/8	1	187										37				
21	20	40	40	0.5	1/4	1/4	Chord	2/4	2	2	1/8		1/8	1	188										37				
21	20	81/2	81/2	0.5	3/8	3/8	Chord	2/4	2	2	1/8		1/8	1	189										37				
22	21	41	41	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	190														
22	21	83/2	83/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	191										38				
22	21	42	42	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	192										38				
22	21	85/2	85/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	193										38				
22	21	171/4	171/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	194										38				
22	21	83/2	83/2	0.5	1/8	1/8	Chord	2/4	1	2	1/8		1/8	1	195														
22	21	42	42	0.5	1/4	1/4	Chord	2/4	1	2	1/8		1/8	1	196														
22	21	85/2	85/2	0.5	3/8	3/8	Chord	2/4	1	2	1/8		1/8	1	197														
22	21	41	41	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	198														
22	21	83/2	83/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	199										39				
22	21	42	42	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	200										39				
22	21	85/2	85/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	201										39				
23	22	43	43	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	202														
23	22	87/2	87/2	0.0	1/8	1/8	Spanner	2/4	1	1	0																	3	
23	22	87/2	87/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	203													3	
23	22	44	44	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	204													3	
23	22	177/4	177/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	205													3	
23	22	89/2	89/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	206													3	
23	22	43	43	0.5	0	0	Chord	2/4	1	2	1/8		1/8	1	207													3	
23	22	87/2	87/2	0.5	1/8	1/8	Chord	2/4	1	2	1/8		1/8	1	208													3	
23	22	44	44	0.25	1/4	1/4	Chord	2/4	1	2	1/16		1/16	1	209													3	
23	22	177/4	177/4	0.25	5/16	5/16	Chord	2/4	1	2	1/16		1/16	1	210													3	
23	22	89/2	89/2	0.5	3/8	3/8	Chord	2/4	1	2	1/8		1/8	1	211													3	
23	22	43	43	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	212														
23	22	87/2	87/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	213										40				
23	22	44	44	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	214										40				
23	22	89/2	89/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	215														
24	23	45	45	0.0	0	0	Spanner	2/4	1	1	0																		
24	23	45	45	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	216										41				
24	23	91/2	91/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	217														
24	23	46	46	1.0	1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	218		articTenutoAbove												
24	23	45	45	0.0	0	0	Dynamic	2/4	1	2	0					mf													
24	23	45	45	0.5	0	0	Chord	2/4	1	2	1/8		1/8	1	219														
24	23	91/2	91/2	0.5	1/8	1/8	Chord	2/4	1	2	1/8		1/8	1	220										42				
24	23	46	46	0.5	1/4	1/4	Chord	2/4	1	2	1/8		1/8	1	221										42				
24	23	93/2	93/2	0.5	3/8	3/8	Chord	2/4	1	2	1/8		1/8	1	222										42				
24	23	45	45	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	223														
24	23	91/2	91/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	224										43				
24	23	46	46	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	225										43				
24	23	93/2	93/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	226										43				
24	23	45	45	2.0	0	0	Chord	2/4	2	2	1/2		1/2	1	227														
25	24	47	47	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	228										44				
25	24	95/2	95/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	229										44				
25	24	191/4	191/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	230										44				
25	24	48	48	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	231										44				
25	24	97/2	97/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	232										44				
25	24	47	47	1.5	0	0	Chord	2/4	1	2	3/8		1/4	3/2	233														
25	24	97/2	97/2	0.5	3/8	3/8	Chord	2/4	1	2	1/8		1/8	1	234														
25	24	47	47	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	235										43				
25	24	95/2	95/2	1.0	1/8	1/8	Chord	2/4	2	1	1/4		1/4	1	236										43				
25	24	97/2	97/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	237										43				
25	24	47	47	1.5	0	0	Chord	2/4	2	2	3/8		1/4	3/2	238														
25	24	97/2	97/2	0.5	3/8	3/8	Chord	2/4	2	2	1/8		1/8	1	239										45				
26	25	49	49	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	240														
26	25	99/2	99/2	0.0	1/8	1/8	Spanner	2/4	1	1	0																	4	
26	25	99/2	99/2	1.0	1/8	1/8	Chord	2/4	1	1	1/4		1/4	1	241		articTenutoAbove											4	
26	25	101/2	101/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	242		articTenutoAbove											4	
26	25	49	49	0.5	0	0	Chord	2/4	1	2	1/8		1/8	1	243													4	
26	25	99/2	99/2	0.5	1/8	1/8	Chord	2/4	1	2	1/8		1/8	1	244										46			4	
26	25	50	50	0.5	1/4	1/4	Chord	2/4	1	2	1/8		1/8	1	245										46			4	
26	25	101/2	101/2	0.5	3/8	3/8	Chord	2/4	1	2	1/8		1/8	1	246										46			4	
26	25	49	49	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	247														
26	25	99/2	99/2	1.0	1/8	1/8	Chord	2/4	2	1	1/4		1/4	1	248														
26	25	101/2	101/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	249														
26	25	99/2	99/2	0.5	1/8	1/8	Chord	2/4	2	2	1/8		1/8	1	250										47				
26	25	50	50	0.5	1/4	1/4	Chord	2/4	2	2	1/8		1/8	1	251										47				
