mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	Trill:trill	Ottava:8vb	Ottava:8va	pedal	Pedal_<sym>keyboardPedalPed</sym>	crescendo_hairpin	decrescendo_hairpin
17	16	93/2	93/2	0.0	0	0	Spanner	6/8	1	1	0													20							4
17	16	93/2	93/2	0.0	0	0	Chord	6/8	1	1	0	acciaccatura	1/8	1	115									20							4
17	16	93/2	93/2	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	116									20							4
17	16	95/2	95/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	117									20							4
17	16	48	48	0.0	3/8	3/8	Spanner	6/8	1	1	0																				
17	16	48	48	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	118																
17	16	49	49	0.0	5/8	5/8	Dynamic	6/8	1	1	0					p															
17	16	49	49	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	119																
17	16	93/2	93/2	1.5	0	0	Chord	6/8	2	1	3/8		1/4	3/2	120									21							
17	16	48	48	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	121																
18	17	99/2	99/2	0.0	0	0	StaffText	6/8	1	1	0							"<font size=""10.2313""/><font face=""Plantin MT Std""/>grazioso"													
18	17	99/2	99/2	0.0	0	0	Chord	6/8	1	1	0	grace16	1/16	1	122																
18	17	99/2	99/2	0.0	0	0	Chord	6/8	1	1	0	grace16	1/16	1	123																
18	17	99/2	99/2	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	124		articStaccatoAbove														
18	17	201/4	201/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	125									22							
18	17	101/2	101/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	126																
18	17	51	51	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	127									23							
18	17	103/2	103/2	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	128																
18	17	52	52	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	129		articStaccatoAbove														
18	17	99/2	99/2	0.0	0	0	StaffText	6/8	2	1	0							"<font size=""10.2313""/><font face=""Plantin MT Std""/>poco a poco scherzando"													
18	17	50	50	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	130		articStaccatoBelow							24							
18	17	101/2	101/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	131		articStaccatoBelow														
18	17	51	51	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	132									25							
18	17	103/2	103/2	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	133																
18	17	52	52	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	134		articStaccatoAbove														
19	18	105/2	105/2	0.0	0	0	Chord	6/8	1	1	0	grace16	1/16	1	135																
19	18	105/2	105/2	0.0	0	0	Chord	6/8	1	1	0	grace16	1/16	1	136																
19	18	105/2	105/2	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	137		articStaccatoAbove														
19	18	213/4	213/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	138									26							
19	18	107/2	107/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	139																
19	18	54	54	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	140									27							
19	18	109/2	109/2	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	141																
19	18	55	55	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	142		articStaccatoAbove														
19	18	53	53	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	143									28							
19	18	107/2	107/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	144		articStaccatoBelow														
19	18	54	54	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	145									29							
19	18	109/2	109/2	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	146																
19	18	55	55	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	147		articStaccatoAbove														
20	19	111/2	111/2	0.0	0	0	Spanner	6/8	1	1	0																			0	
20	19	111/2	111/2	0.0	0	0	Chord	6/8	1	1	0	grace16	1/16	1	148															0	
20	19	111/2	111/2	0.0	0	0	Chord	6/8	1	1	0	grace16	1/16	1	149															0	
20	19	111/2	111/2	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	150		articStaccatoAbove													0	
20	19	225/4	225/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	151									30						0	
20	19	113/2	113/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	152															0	
20	19	57	57	0.0	3/8	3/8	Chord	6/8	1	1	0	acciaccatura	1/8	1	153															0	
20	19	57	57	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	154		articStaccatoAbove													0	
20	19	231/4	231/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16		1/16	1	155									31						0	
20	19	58	58	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	156															0	
20	19	56	56	0.0	1/8	1/8	Spanner	6/8	2	1	0																	0	0		
20	19	56	56	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	157		articStaccatoBelow							32				0	0		
20	19	113/2	113/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	158													0	0		
20	19	57	57	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	159									33				0	0		
20	19	115/2	115/2	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	160													0	0		
20	19	58	58	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	161		articStaccatoAbove											0	0		
21	20	117/2	117/2	0.0	0	0	Chord	6/8	1	1	0	acciaccatura	1/8	1	162															0	
21	20	117/2	117/2	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	163		articStaccatoAbove													0	
21	20	237/4	237/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	164									34						0	
21	20	119/2	119/2	0.0	1/4	1/4	Spanner	6/8	1	1	0																				
21	20	119/2	119/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	165																
21	20	60	60	0.0	3/8	3/8	Chord	6/8	1	1	0	acciaccatura	1/8	2/3	166																
21	20	60	60	0.16666666666666666	3/8	3/8	Chord	6/8	1	1	1/24		1/16	2/3	167		articStaccatoAbove														
21	20	181/3	181/3	0.16666666666666666	11/24	11/24	Chord	6/8	1	1	1/24		1/16	2/3	168									35							
21	20	121/2	121/2	0.16666666666666666	1/2	1/2	Chord	6/8	1	1	1/24		1/16	2/3	169									35							
21	20	182/3	182/3	0.16666666666666666	13/24	13/24	Chord	6/8	1	1	1/24		1/16	2/3	170									35							
21	20	365/6	365/6	0.16666666666666666	7/12	7/12	Chord	6/8	1	1	1/24		1/16	2/3	171									35							
21	20	61	61	0.16666666666666666	5/8	5/8	Chord	6/8	1	1	1/24		1/16	2/3	172									35							
21	20	367/6	367/6	0.16666666666666666	2/3	2/3	Chord	6/8	1	1	1/24		1/16	2/3	173									35							
21	20	184/3	184/3	0.16666666666666666	17/24	17/24	Chord	6/8	1	1	1/24		1/16	2/3	174									35							
21	20	117/2	117/2	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	175									36				0	0		
21	20	59	59	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	176													0	0		
21	20	119/2	119/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	177		articStaccatoAbove											0	0		
21	20	60	60	0.16666666666666666	3/8	3/8	Chord	6/8	2	1	1/24		1/16	2/3	178		articStaccatoAbove											0	0		
21	20	181/3	181/3	0.16666666666666666	11/24	11/24	Chord	6/8	2	1	1/24		1/16	2/3	179									37				0	0		
21	20	121/2	121/2	0.0	1/2	1/2	Spanner	6/8	2	1	0													37							
21	20	121/2	121/2	0.16666666666666666	1/2	1/2	Chord	6/8	2	1	1/24		1/16	2/3	180									37							
21	20	182/3	182/3	0.16666666666666666	13/24	13/24	Chord	6/8	2	1	1/24		1/16	2/3	181									37							
21	20	365/6	365/6	0.16666666666666666	7/12	7/12	Chord	6/8	2	1	1/24		1/16	2/3	182									37							
21	20	61	61	0.16666666666666666	5/8	5/8	Chord	6/8	2	1	1/24		1/16	2/3	183									37							
21	20	367/6	367/6	0.16666666666666666	2/3	2/3	Chord	6/8	2	1	1/24		1/16	2/3	184																
22	21	123/2	123/2	0.0	0	0	StaffText	6/8	1	1	0							"<font size=""10.2313""/><font face=""Plantin MT Std""/>scherzando (più vivo)"													
22	21	123/2	123/2	0.0	0	0	Spanner	6/8	1	1	0																			1	
22	21	123/2	123/2	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	185															1	
22	21	62	62	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	186		articStaccatoAbove													1	
22	21	251/4	251/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16		1/16	1	187									38						1	
22	21	63	63	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	188															1	
22	21	127/2	127/2	0.0	1/2	1/2	Spanner	6/8	1	1	0																				
22	21	127/2	127/2	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	189		articStaccatoAbove														
22	21	123/2	123/2	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	190		articStaccatoBelow							39							
22	21	62	62	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	191		articStaccatoBelow							39							
22	21	125/2	125/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	192		articStaccatoBelow							39							
22	21	63	63	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	193		articStaccatoBelow														
22	21	127/2	127/2	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	194		articStaccatoBelow							40							
22	21	64	64	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	195		articStaccatoBelow							40							
23	22	129/2	129/2	0.0	0	0	Chord	6/8	1	1	0	grace16	1/16	1	196																
23	22	129/2	129/2	0.0	0	0	Chord	6/8	1	1	0	grace16	1/16	1	197																
23	22	129/2	129/2	0.0	0	0	Chord	6/8	1	1	0	grace16	1/16	1	198																
23	22	129/2	129/2	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	199		articStaccatoAbove														
23	22	261/4	261/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	200									41							
23	22	131/2	131/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	201									42							
23	22	66	66	0.0	3/8	3/8	Chord	6/8	1	1	0	acciaccatura	1/8	3/2	202									42							
23	22	66	66	0.75	3/8	3/8	Chord	6/8	1	1	3/16		1/8	3/2	203									42							
23	22	267/4	267/4	0.75	9/16	9/16	Chord	6/8	1	1	3/16		1/8	3/2	204																
23	22	66	66	1.5	3/8	3/8	Chord	6/8	1	2	3/8		1/4	3/2	205																
23	22	129/2	129/2	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	206		articStaccatoAbove							40							
23	22	65	65	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	207		articStaccatoAbove														
23	22	131/2	131/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	208		articStaccatoAbove							43							
23	22	66	66	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	209		articStaccatoAbove							43							
23	22	133/2	133/2	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	210		articStaccatoAbove							43							
23	22	67	67	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	211		articStaccatoAbove														
24	23	135/2	135/2	0.0	0	0	StaffText	6/8	1	1	0							"<font size=""10.2313""/><font face=""Plantin MT Std""/>dolce"													
24	23	135/2	135/2	0.0	0	0	Dynamic	6/8	1	1	0					sf															
24	23	135/2	135/2	0.0	0	0	Spanner	6/8	1	1	0																				5
24	23	135/2	135/2	0.0	0	0	Chord	6/8	1	1	0	grace16	1/16	1	212																5
24	23	135/2	135/2	0.0	0	0	Chord	6/8	1	1	0	grace16	1/16	1	213																5
24	23	135/2	135/2	0.0	0	0	Chord	6/8	1	1	0	grace16	1/16	1	214																5
24	23	135/2	135/2	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	215									44							5
24	23	69	69	0.16666666666666666	3/8	3/8	Chord	6/8	1	1	1/24		1/16	2/3	216									44							5
24	23	415/6	415/6	0.16666666666666666	5/12	5/12	Chord	6/8	1	1	1/24		1/16	2/3	217									44							5
24	23	208/3	208/3	0.16666666666666666	11/24	11/24	Chord	6/8	1	1	1/24		1/16	2/3	218									44							5
24	23	139/2	139/2	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	219																5
24	23	281/4	281/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16		1/16	1	220									45							5
24	23	135/2	135/2	1.5	0	0	Chord	6/8	1	2	3/8		1/4	3/2	221									46							5
24	23	139/2	139/2	1.0	1/2	1/2	Chord	6/8	1	2	1/4		1/4	1	222																5
24	23	135/2	135/2	3.0	0	0	Chord	6/8	1	3	3/4		1/2	3/2	223																5
24	23	135/2	135/2	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	224		articStaccatoAbove							47							
24	23	68	68	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	225		articStaccatoAbove							47							
24	23	137/2	137/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	226		articStaccatoAbove														
24	23	69	69	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	227		articStaccatoAbove							48							
24	23	139/2	139/2	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	228		articStaccatoAbove							48							
24	23	70	70	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	229		articStaccatoAbove														
25	24	141/2	141/2	0.75	0	0	Chord	6/8	1	1	3/16		1/8	3/2	230									45							5
25	24	285/4	285/4	1.5	3/16	3/16	Chord	6/8	1	1	3/8		1/4	3/2	231									45							5
25	24	291/4	291/4	0.0	9/16	9/16	Spanner	6/8	1	1	0																				
25	24	291/4	291/4	0.75	9/16	9/16	Chord	6/8	1	1	3/16		1/8	3/2	232																
25	24	141/2	141/2	2.25	0	0	Chord	6/8	1	2	9/16		1/4	9/4	233									49							
25	24	291/4	291/4	0.75	9/16	9/16	Chord	6/8	1	2	3/16		1/8	3/2	234																
25	24	141/2	141/2	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	235		articStaccatoAbove							50							
25	24	71	71	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	236		articStaccatoAbove							50							
25	24	143/2	143/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	237		articStaccatoAbove														
25	24	72	72	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	238		articStaccatoAbove							51							
