	composer	piece	title	annotator	meter	tempo	measure	beat	chord	altchord	cadence	pedal	numeral	form	figbass	changes	relativeroot	pedalend	phraseend	global_key	local_key
49	Nikolai Medtner	op.14_no.1	" Skazka in F minor, op. 14 No. 1 ""Ophelia's Song"" (1906-1907)"	Wendelin Bitzan	2/4	Andantino con moto	14	1	iv6				iv		6				False	f	i
50	Nikolai Medtner	op.14_no.1	" Skazka in F minor, op. 14 No. 1 ""Ophelia's Song"" (1906-1907)"	Wendelin Bitzan	2/4	Andantino con moto	14	2.1	III6				III		6				False	f	i
51	Nikolai Medtner	op.14_no.1	" Skazka in F minor, op. 14 No. 1 ""Ophelia's Song"" (1906-1907)"	Wendelin Bitzan	2/4	Andantino con moto	14	2.2	V7/III				V		7		III		False	f	i
52	Nikolai Medtner	op.14_no.1	" Skazka in F minor, op. 14 No. 1 ""Ophelia's Song"" (1906-1907)"	Wendelin Bitzan	2/4	Andantino con moto	15	1.1	i				i						False	f	i
53	Nikolai Medtner	op.14_no.1	" Skazka in F minor, op. 14 No. 1 ""Ophelia's Song"" (1906-1907)"	Wendelin Bitzan	2/4	Andantino con moto	15	1.2	VI				VI						False	f	i
54	Nikolai Medtner	op.14_no.1	" Skazka in F minor, op. 14 No. 1 ""Ophelia's Song"" (1906-1907)"	Wendelin Bitzan	2/4	Andantino con moto	15	2.1	III64				III		64				False	f	i
55	Nikolai Medtner	op.14_no.1	" Skazka in F minor, op. 14 No. 1 ""Ophelia's Song"" (1906-1907)"	Wendelin Bitzan	2/4	Andantino con moto	15	2.2	iv%43				iv	%	43				False	f	i
56	Nikolai Medtner	op.14_no.1	" Skazka in F minor, op. 14 No. 1 ""Ophelia's Song"" (1906-1907)"	Wendelin Bitzan	2/4	Andantino con moto	16	1.1	i				i						False	f	i
57	Nikolai Medtner	op.14_no.1	" Skazka in F minor, op. 14 No. 1 ""Ophelia's Song"" (1906-1907)"	Wendelin Bitzan	2/4	Andantino con moto	16	1.2	iv7				iv		7				False	f	i
58	Nikolai Medtner	op.14_no.1	" Skazka in F minor, op. 14 No. 1 ""Ophelia's Song"" (1906-1907)"	Wendelin Bitzan	2/4	Andantino con moto	16	2.1	III64				III		64				False	f	i
59	Nikolai Medtner	op.14_no.1	" Skazka in F minor, op. 14 No. 1 ""Ophelia's Song"" (1906-1907)"	Wendelin Bitzan	2/4	Andantino con moto	16	2.2	VI				VI						False	f	i
60	Nikolai Medtner	op.14_no.1	" Skazka in F minor, op. 14 No. 1 ""Ophelia's Song"" (1906-1907)"	Wendelin Bitzan	2/4	Andantino con moto	17	1.1	v6				v		6				False	f	i
61	Nikolai Medtner	op.14_no.1	" Skazka in F minor, op. 14 No. 1 ""Ophelia's Song"" (1906-1907)"	Wendelin Bitzan	2/4	Andantino con moto	17	1.2	V2/III				V		2		III		False	f	i
62	Nikolai Medtner	op.14_no.1	" Skazka in F minor, op. 14 No. 1 ""Ophelia's Song"" (1906-1907)"	Wendelin Bitzan	2/4	Andantino con moto	17	2.1	V				V						False	f	i
63	Nikolai Medtner	op.14_no.1	" Skazka in F minor, op. 14 No. 1 ""Ophelia's Song"" (1906-1907)"	Wendelin Bitzan	2/4	Andantino con moto	18	1	iv6				iv		6				False	f	i
64	Nikolai Medtner	op.14_no.1	" Skazka in F minor, op. 14 No. 1 ""Ophelia's Song"" (1906-1907)"	Wendelin Bitzan	2/4	Andantino con moto	18	2.1	III6				III		6				False	f	i
65	Nikolai Medtner	op.14_no.1	" Skazka in F minor, op. 14 No. 1 ""Ophelia's Song"" (1906-1907)"	Wendelin Bitzan	2/4	Andantino con moto	18	2.2	V7/III				V		7		III		False	f	i
66	Nikolai Medtner	op.14_no.1	" Skazka in F minor, op. 14 No. 1 ""Ophelia's Song"" (1906-1907)"	Wendelin Bitzan	2/4	Andantino con moto	19	1.1	i				i						False	f	i
67	Nikolai Medtner	op.14_no.1	" Skazka in F minor, op. 14 No. 1 ""Ophelia's Song"" (1906-1907)"	Wendelin Bitzan	2/4	Andantino con moto	19	1.2	iv65				iv		65				False	f	i
68	Nikolai Medtner	op.14_no.1	" Skazka in F minor, op. 14 No. 1 ""Ophelia's Song"" (1906-1907)"	Wendelin Bitzan	2/4	Andantino con moto	19	2.1	III6				III		6				False	f	i
69	Nikolai Medtner	op.14_no.1	" Skazka in F minor, op. 14 No. 1 ""Ophelia's Song"" (1906-1907)"	Wendelin Bitzan	2/4	Andantino con moto	19	2.2	iv7				iv		7				False	f	i
70	Nikolai Medtner	op.14_no.1	" Skazka in F minor, op. 14 No. 1 ""Ophelia's Song"" (1906-1907)"	Wendelin Bitzan	2/4	Andantino con moto	20	1.1	III6				III		6				False	f	i
71	Nikolai Medtner	op.14_no.1	" Skazka in F minor, op. 14 No. 1 ""Ophelia's Song"" (1906-1907)"	Wendelin Bitzan	2/4	Andantino con moto	20	1.2	iv65				iv		65				False	f	i
