mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	minDistance	offset	volta	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
4	4	1/2	1/2	4/4	2	1	V7							f	i	V	V7		V		7					Mm7	1	1	0, 4, 1, -2		0.0	0.0	3	8	0.2727272727272727	0.375	1.5	0.2
4	4	7/8	7/8	4/4	2	1	i							f	i	V	i		i							m	1	1	-1, -4, 0		-1.0	-1.0	0	5	0.0	0.0	0.625	0.0
5	5	0	0	4/4	2	1	V7(9)							f	i	V	V7(9)		V		7	9				Mm7	1	1	0, 4, 1, -2	-5	0.0	0.0	0	12	0.0	0.0	3.375	0.0
5	5	1/2	1/2	4/4	2	1	i(#139)							f	i	V	i(#139)		i			#139				m	1	1	-1, -4, 0	2, 1	-1.0	-1.0	0	5	0.0	0.0	1.125	0.0
5	5	3/4	3/4	4/4	2	1	viio7/V							f	i	V	viio7/V		vii	o	7		V			o7	1	1	5, 2, -1, -4		5.0	5.0	1	6	0.14285714285714285	0.125	0.875	0.125
6	6	0	0	4/4	2	1	V							f	i	V	V		V							M	1	1	0, 4, 1		0.0	0.0	0	8	0.0	0.0	2.375	0.0
6	6	3/8	3/8	4/4	2	1	i7						iv7/V	f	i	V	i7		i		7					mm7	1	1	-1, -4, 0, -3		-1.0	-1.0	0	4	0.0	0.0	0.5	0.0
6	6	1/2	1/2	4/4	2	1	V/V							f	i	V	V/V		V				V			M	1	1	1, 5, 2		1.0	1.0	1	6	0.14285714285714285	0.375	1.5	0.2
7	7	0	0	4/4	2	1	V7							f	i	V	V7		V		7					Mm7	1	1	0, 4, 1, -2		0.0	0.0	1	4	0.2	0.0	2.125	0.0
7	7	3/8	3/8	4/4	2	1	V7(9b5)						Ger7/iv	f	i	V	V7(9b5)		V		7	9b5				Mm7	1	1	0, 4, -6, -2	-5	0.0	0.0	1	3	0.25	0.0625	0.3125	0.16666666666666666
7	7	1/2	1/2	4/4	2	1	I							f	i	V	I		I							M	1	1	-1, 3, 0		-1.0	-1.0	1	5	0.16666666666666666	0.125	1.375	0.08333333333333333
8	8	0	0	4/4	2	1	i							f	i	V	i		i							m	1	1	-1, -4, 0		-1.0	-1.0	1	5	0.16666666666666666	0.125	1.5	0.07692307692307693
8	8	3/8	3/8	4/4	2	1	iv7							f	i	V	iv7		iv		7					mm7	1	1	-2, -5, -1, -4		-2.0	-2.0	0	3	0.0	0.0	0.375	0.0
8	8	1/2	1/2	4/4	2	1	V]							f	i	V	V		V							M	1	1	0, 4, 1		0.0	0.0	0	3	0.0	0.0	0.75	0.0
8	8	3/4	3/4	4/4	2	1	V7/V							f	i		V7/V		V		7		V			Mm7	1	1	1, 5, 2, -1		1.0	1.0	2	8	0.2	0.07142857142857142	0.9285714285714286	0.07142857142857142
9	9	0	0	4/4	2	1	V|HC}							f	i		V		V					HC	}	M	1	1	0, 4, 1		0.0	0.0	0	3	0.0	0.0	0.75	0.0
9	9	1/4	1/4	4/4	2	1	i6{							f	i		i6		i		6				{	m	1	1	-4, 0, -1		-1.0	-4.0	0	4	0.0	0.0	0.625	0.0
9	9	1/2	1/2	4/4	2	1	V43							f	i		V43		V		43					Mm7	1	1	1, -2, 0, 4		0.0	1.0	0	5	0.0	0.0	0.75	0.0
9	9	3/4	3/4	4/4	2	1	i							f	i		i		i							m	1	1	-1, -4, 0		-1.0	-1.0	0	6	0.0	0.0	1.0	0.0
10	10	0	0	4/4	2	1	V6							f	i		V6		V		6					M	1	1	4, 1, 0		0.0	4.0	0	6	0.0	0.0	1.0	0.0
10	10	1/4	1/4	4/4	2	1	ii%7/V							f	i		ii%7/V		ii	%	7		V			%7	1	1	2, -1, -4, 0		2.0	2.0	0	6	0.0	0.0	1.0	0.0
10	10	1/2	1/2	4/4	2	1	V							f	i		V		V							M	1	1	0, 4, 1		0.0	0.0	0	4	0.0	0.0	0.625	0.0
10	10	3/4	3/4	4/4	2	1	V7(9)/V							f	i		V7(9)/V		V		7	9	V			Mm7	1	1	1, 5, 2, -1	3	1.0	1.0	3	7	0.3	0.32142857142857145	0.6785714285714286	0.32142857142857145
11	11	0	0	4/4	2	1	I/V							f	i		I/V		I				V			M	1	1	0, 4, 1		0.0	0.0	0	4	0.0	0.0	0.5	0.0
11	11	1/8	1/8	4/4	2	1	iv6/V							f	i		iv6/V		iv		6		V			m	1	1	-4, 0, -1		-1.0	-4.0	0	2	0.0	0.0	0.25	0.0
11	11	1/4	1/4	4/4	2	1	I64/V							f	i		I64/V		I		64		V			M	1	1	1, 0, 4		0.0	1.0	0	2	0.0	0.0	0.625	0.0
11	11	3/8	3/8	4/4	2	1	iv/V							f	i		iv/V		iv				V			m	1	1	-1, -4, 0		-1.0	-1.0	0	3	0.0	0.0	0.375	0.0
11	11	1/2	1/2	4/4	2	1	I6/V							f	i		I6/V		I		6		V			M	1	1	4, 1, 0		0.0	4.0	0	3	0.0	0.0	0.375	0.0
11	11	5/8	5/8	4/4	2	1	V43(4)/V							f	i		V43(4)/V		V		43	4	V			Mm7	1	1	2, -1, 1, 0		1.0	2.0	0	3	0.0	0.0	0.375	0.0
11	11	3/4	3/4	4/4	2	1	I/V							f	i		I/V		I				V			M	1	1	0, 4, 1		0.0	0.0	0	4	0.0	0.0	0.5	0.0
11	11	7/8	7/8	4/4	2	1	ii%43/V	-3.63054	9.49186		/			f	i		ii%43/V		ii	%	43		V			%7	1	1	-4, 0, 2, -1		2.0	-4.0	0	4	0.0	0.0	0.5	0.0
12	12	0	0	4/4	2	1	I64/V							f	i		I64/V		I		64		V			M	1	1	1, 0, 4		0.0	1.0	0	3	0.0	0.0	1.0	0.0
12	12	1/8	1/8	4/4	2	1	iv/V							f	i		iv/V		iv				V			m	1	1	-1, -4, 0		-1.0	-1.0	0	3	0.0	0.0	0.375	0.0
12	12	1/4	1/4	4/4	2	1	I6/V							f	i		I6/V		I		6		V			M	1	1	4, 1, 0		0.0	4.0	0	3	0.0	0.0	0.375	0.0
12	12	3/8	3/8	4/4	2	1	V43/V							f	i		V43/V		V		43		V			Mm7	1	1	2, -1, 1, 5		1.0	2.0	0	3	0.0	0.0	0.375	0.0
12	12	1/2	1/2	4/4	2	1	I/V							f	i		I/V		I				V			M	1	1	0, 4, 1		0.0	0.0	1	3	0.25	0.125	0.625	0.16666666666666666
12	12	3/4	3/4	4/4	2	1	V7/V							f	i		V7/V		V		7		V			Mm7	1	1	1, 5, 2, -1		1.0	1.0	0	6	0.0	0.0	1.25	0.0
13	13	0	0	4/4	2	1	I/V|PAC}							f	i		I/V		I				V	PAC	}	M	1	1	0, 4, 1		0.0	0.0	13	21	0.38235294117647056	1.6875	4.1875	0.2872340425531915
17	17	0	0	4/4	2	1	i							f	i		i		i							m	1	1	-1, -4, 0		-1.0	-1.0	0	6	0.0	0.0	1.375	0.0
17	17	1/2	1/2	4/4	2	1	i65							f	i		i65		i		65					mm7	1	1	-4, 0, -3, -1		-1.0	-4.0	0	6	0.0	0.0	0.875	0.0
18	18	0	0	4/4	2	1	ii%65(9)							f	i		ii%65(9)		ii	%	65	9				%7	1	1	-2, -5, -1, 1	-4	1.0	-2.0	0	7	0.0	0.0	0.75	0.0
18	18	1/8	1/8	4/4	2	1	ii%65							f	i		ii%65		ii	%	65					%7	1	1	-2, -5, -1, 1		1.0	-2.0	0	2	0.0	0.0	0.375	0.0
18	18	1/2	1/2	4/4	2	1	i64							f	i		i64		i		64					m	1	1	0, -1, -4		-1.0	0.0	0	7	0.0	0.0	1.125	0.0
19	19	0	0	4/4	2	1	ii%43							f	i		ii%43		ii	%	43					%7	1	1	-5, -1, 1, -2		1.0	-5.0	1	5	0.16666666666666666	0.25	0.75	0.25
19	19	1/2	1/2	4/4	2	1	i43							f	i		i43		i		43					mm7	1	1	0, -3, -1, -4		-1.0	0.0	0	5	0.0	0.0	0.875	0.0
20	20	0	0	4/4	2	1	V2							f	i		V2		V		2					Mm7	1	1	-2, 0, 4, 1		0.0	-2.0	1	5	0.16666666666666666	0.25	0.75	0.25
20	20	1/2	1/2	4/4	2	1	i6							f	i		i6		i		6					m	1	1	-4, 0, -1		-1.0	-4.0	0	6	0.0	0.0	0.875	0.0
20	20	7/8	7/8	4/4	2	1	V7							f	i		V7		V		7					Mm7	1	1	0, 4, 1, -2		0.0	0.0	0	4	0.0	0.0	0.5	0.0
21	21	0	0	4/4	2	1	i							f	i		i		i							m	1	1	-1, -4, 0		-1.0	-1.0	1	5	0.16666666666666666	0.125	1.5	0.07692307692307693
21	21	1/2	1/2	4/4	2	1	i6							f	i		i6		i		6					m	1	1	-4, 0, -1		-1.0	-4.0	2	5	0.2857142857142857	0.375	1.0	0.2727272727272727
22	22	0	0	4/4	2	1	iv(4)							f	i		iv(4)		iv			4				m	1	1	-2, -3, -1		-2.0	-2.0	2	6	0.25	0.125	1.875	0.0625
22	22	1/4	1/4	4/4	2	1	ii%65							f	i		ii%65		ii	%	65					%7	1	1	-2, -5, -1, 1		1.0	-2.0	0	4	0.0	0.0	0.75	0.0
22	22	1/2	1/2	4/4	2	1	i64							f	i		i64		i		64					m	1	1	0, -1, -4		-1.0	0.0	0	5	0.0	0.0	1.75	0.0
22	22	3/4	3/4	4/4	2	1	iv65	-5.92925	3.49501	0.347968	/		ii65/III	f	i		iv65		iv		65					mm7	1	1	-5, -1, -4, -2		-2.0	-5.0	0	3	0.0	0.0	0.75	0.0
23	23	0	0	4/4	2	1	III.V(64)							f	III		V(64)		V			64				M	1	0	-3, -4, 0		-3.0	-3.0	2	6	0.25	0.5	1.25	0.2857142857142857
23	23	3/4	3/4	4/4	2	1	V							f	III		V		V							M	1	0	-3, 1, -2		-3.0	-3.0	0	4	0.0	0.0	1.0	0.0
24	24	0	0	4/4	2	1	I}							f	III		I		I						}	M	1	0	-4, 0, -3		-4.0	-4.0	0	5	0.0	0.0	1.875	0.0
24	24	3/8	3/8	4/4	2	1	V7							f	III		V7		V		7					Mm7	1	0	-3, 1, -2, -5		-3.0	-3.0	0	5	0.0	0.0	0.625	0.0
24	24	1/2	1/2	4/4	2	1	I|PAC							f	III		I		I					PAC		M	1	0	-4, 0, -3		-4.0	-4.0	2	11	0.15384615384615385	0.25	3.5	0.06666666666666667
25	25	1/2	1/2	4/4	2	1	ii6(112)							f	III		ii6(112)		ii		6	112				m	1	0	-5, -1, 0	-3	-2.0	-5.0	0	4	0.0	0.0	0.75	0.0
25	25	5/8	5/8	4/4	2	1	ii6							f	III		ii6		ii		6					m	1	0	-5, -1, -2		-2.0	-5.0	0	2	0.0	0.0	0.25	0.0
25	25	3/4	3/4	4/4	2	1	ii7(9)							f	III		ii7(9)		ii		7	9				mm7	1	0	-2, -5, -1, -4	0	-2.0	-2.0	0	4	0.0	0.0	0.75	0.0
26	26	0	0	4/4	2	1	V							f	III		V		V							M	1	0	-3, 1, -2		-3.0	-3.0	2	4	0.3333333333333333	0.25	1.0	0.2
26	26	3/8	3/8	4/4	2	1	I6							f	III		I6		I		6					M	1	0	0, -3, -4		-4.0	0.0	0	4	0.0	0.0	0.5	0.0
26	26	1/2	1/2	4/4	2	1	ii43(42)							f	III		ii43(42)		ii		43	42				mm7	1	0	-1, -4, 0, -3		-2.0	-1.0	0	4	0.0	0.0	0.75	0.0
26	26	5/8	5/8	4/4	2	1	ii43							f	III		ii43		ii		43					mm7	1	0	-1, -4, -2, -5		-2.0	-1.0	0	2	0.0	0.0	0.25	0.0
26	26	3/4	3/4	4/4	2	1	IVM7							f	III		IVM7		IV	M	7					MM7	1	0	-5, -1, -4, 0		-5.0	-5.0	0	4	0.0	0.0	0.75	0.0
27	27	0	0	4/4	2	1	vii%7							f	III		vii%7		vii	%	7					%7	1	0	1, -2, -5, -1		1.0	1.0	2	4	0.3333333333333333	0.5	0.75	0.4
27	27	1/4	1/4	4/4	2	1	V7(6)							f	III		V7(6)		V		7	6				Mm7	1	0	-3, 1, 0, -5		-3.0	-3.0	0	2	0.0	0.0	0.5	0.0
27	27	3/8	3/8	4/4	2	1	V7							f	III		V7		V		7					Mm7	1	0	-3, 1, -2, -5		-3.0	-3.0	0	2	0.0	0.0	0.25	0.0
27	27	1/2	1/2	4/4	2	1	I							f	III		I		I							M	1	0	-4, 0, -3		-4.0	-4.0	4	4	0.5	0.5	0.5	0.5
27	27	3/4	3/4	4/4	2	1	vi7							f	III		vi7		vi		7					mm7	1	0	-1, -4, 0, -3		-1.0	-1.0	1	5	0.16666666666666666	0.125	0.875	0.125
28	28	0	0	4/4	2	1	IV							f	III		IV		IV							M	1	0	-5, -1, -4		-5.0	-5.0	2	2	0.5	0.25	0.5	0.3333333333333333
28	28	1/4	1/4	4/4	2	1	V43							f	III		V43		V		43					Mm7	1	0	-2, -5, -3, 1		-3.0	-2.0	0	4	0.0	0.0	0.5	0.0
28	28	3/8	3/8	4/4	2	1	i.i6							f	i		i6		i		6					m	1	1	-4, 0, -1		-1.0	-4.0	0	4	0.0	0.0	0.5	0.0
28	28	1/2	1/2	4/4	2	1	iio							f	i		iio		ii	o						o	1	1	1, -2, -5		1.0	1.0	0	4	0.0	0.0	0.75	0.0
28	28	3/4	3/4	4/4	2	1	V65(64)							f	i		V65(64)		V		65	64				Mm7	1	1	-1, -4, -2, 0		0.0	-1.0	0	5	0.0	0.0	1.0	0.0
28	28	7/8	7/8	4/4	2	1	V65							f	i		V65		V		65					Mm7	1	1	4, 1, -2, 0		0.0	4.0	0	2	0.0	0.0	0.25	0.0
29	29	0	0	4/4	2	1	i6							f	i		i6		i		6					m	1	1	-4, 0, -1		-1.0	-4.0	5	3	0.625	0.625	1.625	0.2777777777777778
29	29	1/2	1/2	4/4	2	1	i43							f	i		i43		i		43					mm7	1	1	0, -3, -1, -4		-1.0	0.0	0	6	0.0	0.0	1.25	0.0
29	29	7/8	7/8	4/4	2	1	viio7/V	-2.66056	7.537	-1.43634	/			f	i		viio7/V		vii	o	7		V			o7	1	1	5, 2, -1, -4		5.0	5.0	0	2	0.0	0.0	0.25	0.0
30	30	0	0	4/4	2	1	#viio43(4)							f	i		#viio43(4)		#vii	o	43	4				o7	1	1	-2, -5, 4, -4		4.0	-2.0	2	5	0.2857142857142857	0.375	1.0	0.2727272727272727
30	30	1/4	1/4	4/4	2	1	#viio43							f	i		#viio43		#vii	o	43					o7	1	1	-2, -5, 4, 1		4.0	-2.0	0	1	0.0	0.0	0.125	0.0
30	30	3/8	3/8	4/4	2	1	I6							f	i		I6		I		6					M	1	1	3, 0, -1		-1.0	3.0	0	3	0.0	0.0	0.375	0.0
30	30	1/2	1/2	4/4	2	1	VIM43							f	i		VIM43		VI	M	43					MM7	1	1	-4, 0, -5, -1		-5.0	-4.0	0	8	0.0	0.0	1.75	0.0
30	30	7/8	7/8	4/4	2	1	V7(b5)/V	-7.82965	8.31058		/		Fr7	f	i		V7(b5)/V		V		7	b5	V			Mm7	1	1	1, 5, -5, -1		1.0	1.0	0	2	0.0	0.0	0.25	0.0
31	31	0	0	4/4	2	1	V(64)	0.532112	8.46772	-8.08981	/			f	i		V(64)		V			64				M	1	1	0, -1, -4		0.0	0.0	1	7	0.125	0.125	1.375	0.08333333333333333
31	31	3/8	3/8	4/4	2	1	#viio2	-1.14024	8.36435	-8.0138	/			f	i		#viio2		#vii	o	2					o7	1	1	-5, 4, 1, -2		4.0	-5.0	0	5	0.0	0.0	0.625	0.0
31	31	1/2	1/2	4/4	2	1	V(64)							f	i		V(64)		V			64				M	1	1	0, -1, -4		0.0	0.0	0	5	0.0	0.0	0.625	0.0
31	31	5/8	5/8	4/4	2	1	iio6							f	i		iio6		ii	o	6					o	1	1	-2, -5, 1		1.0	-2.0	0	5	0.0	0.0	0.625	0.0
31	31	3/4	3/4	4/4	2	1	IV7(^2)	-0.608128	9.63091	-8.08981	/		i6(+4)	f	i		IV7(^2)		IV		7	^2				Mm7	1	1	-2, 0, -1, -4		-2.0	-2.0	0	5	0.0	0.0	0.625	0.0
31	31	7/8	7/8	4/4	2	1	IV2	-1.82438	8.78361	-8.69794	/			f	i		IV2		IV		2					Mm7	1	1	-4, -2, 2, -1		-2.0	-4.0	0	5	0.0	0.0	0.625	0.0
32	32	0	0	4/4	2	1	V64	0.243329	9.05231		/	1.0		f	i		V64		V		64					M	1	1	1, 0, 4		0.0	1.0	0	5	0.0	0.0	0.625	0.0
32	32	1/8	1/8	4/4	2	1	i(#6)	-0.532112	8.95103	-7.25364	/	1.0		f	i		i(#6)		i			#6				m	1	1	-1, -4, 0	2	-1.0	-1.0	0	5	0.0	0.0	0.625	0.0
32	32	1/4	1/4	4/4	2	1	V	0.152032	7.58784	-8.31786	/	1.0		f	i		V		V							M	1	1	0, 4, 1		0.0	0.0	0	5	0.0	0.0	1.25	0.0
32	32	1/2	1/2	4/4	2	1	i|PAC}	-1.59634	8.09863	-8.16583	/	1.0		f	i		i		i					PAC	}	m	1	1	-1, -4, 0		-1.0	-1.0	2	4	0.3333333333333333	0.0	2.0	0.0
33	32	0	0	4/4	2	1	V64					2.0		f	i		V64		V		64					M	1	1	1, 0, 4		0.0	1.0	0	5	0.0	0.0	0.625	0.0
33	32	1/8	1/8	4/4	2	1	i(#6)					2.0		f	i		i(#6)		i			#6				m	1	1	-1, -4, 0	2	-1.0	-1.0	0	5	0.0	0.0	0.625	0.0
33	32	1/4	1/4	4/4	2	1	V					2.0		f	i		V		V							M	1	1	0, 4, 1		0.0	0.0	0	5	0.0	0.0	1.25	0.0
33	32	1/2	1/2	4/4	2	1	i					2.0	iv/v	f	i		i		i							m	1	1	-1, -4, 0		-1.0	-1.0	2	4	0.3333333333333333	0.0	0.5	0.0
33	32	5/8	5/8	4/4	2	1	v.V7					2.0		f	v		V7		V		7					Mm7	1	1	1, 5, 2, -1		1.0	1.0	4	8	0.3333333333333333	0.125	0.59375	0.17391304347826086
34	33	0	0	4/4	2	1	i|PAC}{							f	v		i		i					PAC	}{	m	1	1	0, -3, 1		0.0	0.0	26	65	0.2857142857142857	1.375	4.4375	0.23655913978494625
36	35	1/8	1/8	4/4	2	1	iv65							f	v		iv65		iv		65					mm7	1	1	-4, 0, -3, -1		-1.0	-4.0	1	5	0.16666666666666666	0.0625	0.3125	0.16666666666666666
36	35	1/4	1/4	4/4	2	1	i							f	v		i		i							m	1	1	0, -3, 1		0.0	0.0	1	5	0.16666666666666666	0.0625	0.4375	0.125
36	35	3/8	3/8	4/4	2	1	iv65							f	v		iv65		iv		65					mm7	1	1	-4, 0, -3, -1		-1.0	-4.0	1	5	0.16666666666666666	0.0625	0.3125	0.16666666666666666
36	35	1/2	1/2	4/4	2	1	i							f	v		i		i							m	1	1	0, -3, 1		0.0	0.0	1	5	0.16666666666666666	0.0625	0.4375	0.125
36	35	5/8	5/8	4/4	2	1	i6							f	v		i6		i		6					m	1	1	-3, 1, 0		0.0	-3.0	2	8	0.2	0.125	0.875	0.125
36	35	7/8	7/8	4/4	2	1	i64							f	v		i64		i		64					m	1	1	1, 0, -3		0.0	1.0	1	5	0.16666666666666666	0.0625	0.4375	0.125
37	36	0	0	4/4	2	1	iv65							f	v		iv65		iv		65					mm7	1	1	-4, 0, -3, -1		-1.0	-4.0	2	8	0.2	0.125	0.875	0.125
37	36	1/4	1/4	4/4	2	1	iv7							f	v		iv7		iv		7					mm7	1	1	-1, -4, 0, -3		-1.0	-1.0	2	9	0.18181818181818182	0.125	1.125	0.1
37	36	1/2	1/2	4/4	2	1	i							f	v		i		i							m	1	1	0, -3, 1		0.0	0.0	1	5	0.16666666666666666	0.0625	0.4375	0.125
37	36	5/8	5/8	4/4	2	1	i6							f	v		i6		i		6					m	1	1	-3, 1, 0		0.0	-3.0	2	8	0.2	0.125	0.875	0.125
37	36	7/8	7/8	4/4	2	1	i64							f	v		i64		i		64					m	1	1	1, 0, -3		0.0	1.0	1	5	0.16666666666666666	0.0625	0.4375	0.125
38	37	0	0	4/4	2	1	iv65							f	v		iv65		iv		65					mm7	1	1	-4, 0, -3, -1		-1.0	-4.0	2	8	0.2	0.125	0.875	0.125
38	37	1/4	1/4	4/4	2	1	iv7							f	v		iv7		iv		7					mm7	1	1	-1, -4, 0, -3		-1.0	-1.0	2	9	0.18181818181818182	0.125	1.125	0.1
38	37	1/2	1/2	4/4	2	1	i							f	v		i		i							m	1	1	0, -3, 1		0.0	0.0	3	13	0.1875	0.1875	1.3125	0.125
38	37	7/8	7/8	4/4	2	1	iv7							f	v		iv7		iv		7					mm7	1	1	-1, -4, 0, -3		-1.0	-1.0	1	5	0.16666666666666666	0.0625	0.3125	0.16666666666666666
39	38	0	0	4/4	2	1	i							f	v		i		i							m	1	1	0, -3, 1		0.0	0.0	1	5	0.16666666666666666	0.0625	0.4375	0.125
39	38	1/8	1/8	4/4	2	1	iv7	0.228048	5.47642		/			f	v		iv7		iv		7					mm7	1	1	-1, -4, 0, -3		-1.0	-1.0	1	5	0.16666666666666666	0.0625	0.3125	0.16666666666666666
39	38	1/4	1/4	4/4	2	1	i							f	v		i		i							m	1	1	0, -3, 1		0.0	0.0	0	4	0.0	0.0	0.5	0.0
39	38	3/8	3/8	4/4	2	1	VII							f	v		VII		VII							M	1	1	-2, 2, -1		-2.0	-2.0	3	12	0.2	0.1875	1.3125	0.125
39	38	3/4	3/4	4/4	2	1	III							f	v		III		III							M	1	1	-3, 1, -2		-3.0	-3.0	2	5	0.2857142857142857	0.125	0.875	0.125
40	39	0	0	4/4	2	1	i							f	v		i		i							m	1	1	0, -3, 1		0.0	0.0	4	11	0.26666666666666666	0.25	1.25	0.16666666666666666
40	39	3/8	3/8	4/4	2	1	iv7							f	v		iv7		iv		7					mm7	1	1	-1, -4, 0, -3		-1.0	-1.0	2	5	0.2857142857142857	0.125	0.875	0.125
40	39	5/8	5/8	4/4	2	1	iv65(2)							f	v		iv65(2)		iv		65	2				mm7	1	1	-4, 0, -3, 1		-1.0	-4.0	1	4	0.2	0.0625	0.4375	0.125
40	39	3/4	3/4	4/4	2	1	VII(64)							f	v		VII(64)		VII			64				M	1	1	-2, -3, 1		-2.0	-2.0	1	3	0.25	0.0625	0.4375	0.125
40	39	7/8	7/8	4/4	2	1	VII							f	v		VII		VII							M	1	1	-2, 2, -1		-2.0	-2.0	5	13	0.2777777777777778	0.3125	1.4375	0.17857142857142858
41	40	3/8	3/8	4/4	2	1	IIIM7							f	v		IIIM7		III	M	7					MM7	1	1	-3, 1, -2, 2		-3.0	-3.0	3	5	0.375	0.1875	0.8125	0.1875
41	40	5/8	5/8	4/4	2	1	IIIM65							f	v		IIIM65		III	M	65					MM7	1	1	1, -2, 2, -3		-3.0	1.0	1	4	0.2	0.0625	0.4375	0.125
41	40	3/4	3/4	4/4	2	1	VI(64)							f	v		VI(64)		VI			64				M	1	1	-4, 2, -1		-4.0	-4.0	1	3	0.25	0.0625	0.4375	0.125
41	40	7/8	7/8	4/4	2	1	VI							f	v		VI		VI							M	1	1	-4, 0, -3		-4.0	-4.0	1	2	0.3333333333333333	0.0625	0.1875	0.25
42	41	0	0	4/4	2	1	VI							f	v		VI		VI							M	1	1	-4, 0, -3		-4.0	-4.0	4	11	0.26666666666666666	0.25	1.25	0.16666666666666666
42	41	3/8	3/8	4/4	2	1	bIIM7							f	v		bIIM7		bII	M	7					MM7	1	1	-5, -1, -4, 0		-5.0	-5.0	4	11	0.26666666666666666	0.25	1.25	0.16666666666666666
42	41	3/4	3/4	4/4	2	1	VI							f	v		VI		VI							M	1	1	-4, 0, -3		-4.0	-4.0	2	5	0.2857142857142857	0.125	0.875	0.125
43	42	0	0	4/4	2	1	ii6							f	v		ii6		ii		6					m	1	1	-1, 3, 2		2.0	-1.0	2	5	0.2857142857142857	0.125	0.875	0.125
43	42	1/4	1/4	4/4	2	1	Ger7							f	v		Ger7	Ger	vii	o	7	b3	V			Ger	1	1	6, -4, 0, -3		6.0	6.0	2	5	0.2857142857142857	0.125	0.875	0.125
43	42	1/2	1/2	4/4	2	1	V|HC}							f	v		V		V					HC	}	M	1	1	1, 5, 2		1.0	1.0	5	7	0.4166666666666667	0.3125	1.125	0.21739130434782608
44	43	0	0	4/4	2	1	i{							f	v		i		i						{	m	1	1	0, -3, 1		0.0	0.0	1	6	0.14285714285714285	0.0625	1.4375	0.041666666666666664
44	43	1/8	1/8	4/4	2	1	iv65							f	v		iv65		iv		65					mm7	1	1	-4, 0, -3, -1		-1.0	-4.0	1	5	0.16666666666666666	0.0625	0.3125	0.16666666666666666
44	43	1/4	1/4	4/4	2	1	i							f	v		i		i							m	1	1	0, -3, 1		0.0	0.0	1	5	0.16666666666666666	0.0625	0.4375	0.125
44	43	3/8	3/8	4/4	2	1	iv65							f	v		iv65		iv		65					mm7	1	1	-4, 0, -3, -1		-1.0	-4.0	1	5	0.16666666666666666	0.0625	0.3125	0.16666666666666666
44	43	1/2	1/2	4/4	2	1	i							f	v		i		i							m	1	1	0, -3, 1		0.0	0.0	1	5	0.16666666666666666	0.0625	0.4375	0.125
44	43	5/8	5/8	4/4	2	1	i6							f	v		i6		i		6					m	1	1	-3, 1, 0		0.0	-3.0	2	8	0.2	0.125	0.875	0.125
44	43	7/8	7/8	4/4	2	1	i64							f	v		i64		i		64					m	1	1	1, 0, -3		0.0	1.0	1	5	0.16666666666666666	0.0625	0.4375	0.125
45	44	0	0	4/4	2	1	iv65							f	v		iv65		iv		65					mm7	1	1	-4, 0, -3, -1		-1.0	-4.0	2	8	0.2	0.125	0.875	0.125
