mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
78	78	3/8	3/8	2/4	3	1		V/iv		a	#iii		V/iv		V				iv				M	1	1	0, 4, 1		0	0
79	79	0	0	2/4	3	1		V(+6)/iv		a	#iii		V(+6)/iv		V			+6	iv				M	1	1	0, 4, 1	-4	0	0
79	79	1/8	1/8	2/4	3	1		iv64		a	#iii		iv64		iv		64						m	1	1	0, -1, -4		-1	0
79	79	1/4	1/4	2/4	3	1		viio43/V/iv		a	#iii		viio43/V/iv		vii	o	43		V/iv				o7	1	1	-1, -4, 5, 2		5	-1
80	80	0	0	2/4	3	1		V/iv		a	#iii		V/iv		V				iv				M	1	1	0, 4, 1		0	0
80	80	3/8	3/8	2/4	3	1		i	v/iv	a	#iii		i		i								m	1	1	0, -3, 1		0	0
81	81	0	0	2/4	3	1		i(b9)	v(b9)/iv	a	#iii		i(b9)		i			b9					m	1	1	0, -3, 1	-5	0	0
81	81	1/8	1/8	2/4	3	1		iv64		a	#iii		iv64		iv		64						m	1	1	0, -1, -4		-1	0
81	81	1/4	1/4	2/4	3	1		viio43/V/iv		a	#iii		viio43/V/iv		vii	o	43		V/iv				o7	1	1	-1, -4, 5, 2		5	-1
81	81	3/8	3/8	2/4	3	1		i	v/iv	a	#iii		i		i								m	1	1	0, -3, 1		0	0
82	82	0	0	2/4	3	1		V7(9)/iv		a	#iii		V7(9)/iv		V		7	9	iv				Mm7	1	1	0, 4, 1, -2	-5	0	0
82	82	1/8	1/8	2/4	3	1		iv64		a	#iii		iv64		iv		64						m	1	1	0, -1, -4		-1	0
82	82	1/4	1/4	2/4	3	1		V7/iv		a	#iii		V7/iv		V		7		iv				Mm7	1	1	0, 4, 1, -2		0	0
83	83	0	0	2/4	3	1		V7(6)/iv		a	#iii		V7(6)/iv		V		7	6	iv				Mm7	1	1	0, 4, -4, -2		0	0
83	83	1/8	1/8	2/4	3	1		V7/iv]		a	#iii		V7/iv		V		7		iv	]			Mm7	1	1	0, 4, 1, -2		0	0
83	83	1/4	1/4	2/4	3	1		bii		a	#iii		bii		bii								m	1	1	-5, -8, -4		-5	-5
83	83	3/8	3/8	2/4	3	1		V7(b5)/bii	Fr6	a	#iii		V7(b5)/bii		V		7	b5	bii				Mm7	1	1	-4, 0, -10, -6		-4	-4
84	84	0	0	2/4	3	1		bii/#iii.V/iv		a	bii/#iii		V/iv		V				iv				M	1	1	0, 4, 1		0	0
84	84	1/4	1/4	2/4	3	1		V2/iv		a	bii/#iii		V2/iv		V		2		iv				Mm7	1	1	-2, 0, 4, 1		0	-2
85	85	0	0	2/4	3	1		V/iv		a	bii/#iii		V/iv		V				iv				M	1	1	0, 4, 1		0	0
85	85	1/8	1/8	2/4	3	1		iv64		a	bii/#iii		iv64		iv		64						m	1	1	0, -1, -4		-1	0
85	85	1/4	1/4	2/4	3	1		iv6		a	bii/#iii		iv6		iv		6						m	1	1	-4, 0, -1		-1	-4
85	85	3/8	3/8	2/4	3	1		bII64		a	bii/#iii		bII64		bII		64						M	1	1	-4, -5, -1		-5	-4
86	86	0	0	2/4	3	1		bII6/iv		a	bii/#iii		bII6/iv		bII		6		iv				M	1	1	-2, -5, -6		-6	-2
86	86	1/8	1/8	2/4	3	1		iv6(4)		a	bii/#iii		iv6(4)		iv		6	4					m	1	1	-2, 0, -1		-1	-2
86	86	1/4	1/4	2/4	3	1		iv6		a	bii/#iii		iv6		iv		6						m	1	1	-4, 0, -1		-1	-4
86	86	3/8	3/8	2/4	3	1		viio6/iv		a	bii/#iii		viio6/iv		vii	o	6		iv				o	1	1	-6, -9, -3		-3	-6
87	87	0	0	2/4	3	1		V64(+6)/iv		a	bii/#iii		V64(+6)/iv		V		64	+6	iv				M	1	1	1, 0, 4	-4	0	1
87	87	1/8	1/8	2/4	3	1		iv64		a	bii/#iii		iv64		iv		64						m	1	1	0, -1, -4		-1	0
87	87	1/4	1/4	2/4	3	1		viio43/V/iv		a	bii/#iii		viio43/V/iv		vii	o	43		V/iv				o7	1	1	-1, -4, 5, 2		5	-1
88	88	0	0	2/4	3	1		V/iv		a	bii/#iii		V/iv		V				iv				M	1	1	0, 4, 1		0	0
88	88	1/8	1/8	2/4	3	1		V2/iv		a	bii/#iii		V2/iv		V		2		iv				Mm7	1	1	-2, 0, 4, 1		0	-2
88	88	1/4	1/4	2/4	3	1		V/iv		a	bii/#iii		V/iv		V				iv				M	1	1	0, 4, 1		0	0
88	88	3/8	3/8	2/4	3	1		iv6		a	bii/#iii		iv6		iv		6						m	1	1	-4, 0, -1		-1	-4
89	89	0	0	2/4	3	1		bII6/iv		a	bii/#iii		bII6/iv		bII		6		iv				M	1	1	-2, -5, -6		-6	-2
89	89	1/8	1/8	2/4	3	1		iv6(+4)		a	bii/#iii		iv6(+4)		iv		6	+4					m	1	1	-4, 0, -1	-2	-1	-4
89	89	1/4	1/4	2/4	3	1		#viio64/iv		a	bii/#iii		#viio64/iv		#vii	o	64		iv				o	1	1	-2, 4, 1		4	-2
89	89	3/8	3/8	2/4	3	1		V43(+6)/iv		a	bii/#iii		V43(+6)/iv		V		43	+6	iv				Mm7	1	1	1, -2, 0, 4	-4	0	1
90	90	0	0	2/4	3	1		#iii.V7/v		a	#iii		V7/v		V		7		v				Mm7	1	1	2, 6, 3, 0		2	2
90	90	1/8	1/8	2/4	3	1		V2/v		a	#iii		V2/v		V		2		v				Mm7	1	1	0, 2, 6, 3		2	0
90	90	1/4	1/4	2/4	3	1		V/v		a	#iii		V/v		V				v				M	1	1	2, 6, 3		2	2
90	90	3/8	3/8	2/4	3	1		v6		a	#iii		v6		v		6						m	1	1	-2, 2, 1		1	-2
91	91	0	0	2/4	3	1		bII6/v		a	#iii		bII6/v		bII		6		v				M	1	1	0, -3, -4		-4	0
91	91	1/8	1/8	2/4	3	1		v6(+4)		a	#iii		v6(+4)		v		6	+4					m	1	1	-2, 2, 1	0	1	-2
91	91	1/4	1/4	2/4	3	1		#viio64/v		a	#iii		#viio64/v		#vii	o	64		v				o	1	1	0, 6, 3		6	0
91	91	3/8	3/8	2/4	3	1		V43(+6)/v		a	#iii		V43(+6)/v		V		43	+6	v				Mm7	1	1	3, 0, 2, 6	-2	2	3
92	92	0	0	2/4	3	1		V7/VI	Ger6/v	a	#iii		V7/VI		V		7		VI				Mm7	1	1	-3, 1, -2, -5		-3	-3
92	92	1/8	1/8	2/4	3	1		i.V2		a	i		V2		V		2						Mm7	1	1	-1, 1, 5, 2		1	-1
92	92	1/4	1/4	2/4	3	1		V		a	i		V		V								M	1	1	1, 5, 2		1	1
92	92	3/8	3/8	2/4	3	1		i6		a	i		i6		i		6						m	1	1	-3, 1, 0		0	-3
93	93	0	0	2/4	3	1		bII6		a	i		bII6		bII		6						M	1	1	-1, -4, -5		-5	-1
93	93	1/8	1/8	2/4	3	1		i6(+4)		a	i		i6(+4)		i		6	+4					m	1	1	-3, 1, 0	-1	0	-3
93	93	1/4	1/4	2/4	3	1		V2		a	i		V2		V		2						Mm7	1	1	-1, 1, 5, 2		1	-1
93	93	3/8	3/8	2/4	3	1		V43(+6)		a	i		V43(+6)		V		43	+6					Mm7	1	1	2, -1, 1, 5	-3	1	2
94	94	0	0	2/4	3	1		III(#2)		a	i		III(#2)		III			#2					M	1	1	-3, 6, -2		-3	-3
94	94	1/8	1/8	2/4	3	1		V6(6)/III		a	i		V6(6)/III		V		6	6	III				M	1	1	2, 1, -2		-2	2
94	94	1/4	1/4	2/4	3	1		III(74)	i6(94)	a	i		III(74)		III			74					M	1	1	-3, -4, -2	2	-3	-3
94	94	3/8	3/8	2/4	3	1		i		a	i		i		i								m	1	1	0, -3, 1		0	0
95	95	0	0	2/4	3	1		V7(9)/v		a	i		V7(9)/v		V		7	9	v				Mm7	1	1	2, 6, 3, 0	-3	2	2
95	95	1/8	1/8	2/4	3	1		v6		a	i		v6		v		6						m	1	1	-2, 2, 1		1	-2
95	95	1/4	1/4	2/4	3	1		V7/V		a	i		V7/V		V		7		V				Mm7	1	1	2, 6, 3, 0		2	2
95	95	3/8	3/8	2/4	3	1		V43(b5)/V	Fr6	a	i		V43(b5)/V		V		43	b5	V				Mm7	1	1	-4, 0, 2, 6		2	-4
96	96	0	0	2/4	3	1		V[V}{		a	i	V	V		V							}{	M	1	1	1, 5, 2		1	1
96	96	1/8	1/8	2/4	3	1		iv7		a	i		iv7		iv		7						mm7	1	1	-1, -4, 0, -3		-1	-1
96	96	1/4	1/4	2/4	3	1		bIIM7		a	i		bIIM7		bII	M	7						MM7	1	1	-5, -1, -4, 0		-5	-5
96	96	3/8	3/8	2/4	3	1		V7		a	i		V7		V		7						Mm7	1	1	1, 5, 2, -1		1	1
97	97	0	0	2/4	3	1		#viio7/v		a	i		#viio7/v		#vii	o	7		v				o7	1	1	6, 3, 0, -3		6	6
97	97	1/8	1/8	2/4	3	1		v]		a	i		v		v					]			m	1	1	1, -2, 2		1	1
97	97	1/4	1/4	2/4	3	1		V7(6)/V		a	i		V7(6)/V		V		7	6	V				Mm7	1	1	2, 6, 5, 0		2	2
97	97	3/8	3/8	2/4	3	1		V7(b5)/V	Fr7	a	i		V7(b5)/V		V		7	b5	V				Mm7	1	1	2, 6, -4, 0		2	2
98	98	0	0	2/4	3	1		V[V		a	i	V	V		V								M	1	1	1, 5, 2		1	1
98	98	1/8	1/8	2/4	3	1		iv7		a	i		iv7		iv		7						mm7	1	1	-1, -4, 0, -3		-1	-1
98	98	1/4	1/4	2/4	3	1		bIIM7		a	i		bIIM7		bII	M	7						MM7	1	1	-5, -1, -4, 0		-5	-5
98	98	3/8	3/8	2/4	3	1		V7		a	i		V7		V		7						Mm7	1	1	1, 5, 2, -1		1	1
99	99	0	0	2/4	3	1		#viio7/v		a	i		#viio7/v		#vii	o	7		v				o7	1	1	6, 3, 0, -3		6	6
99	99	1/8	1/8	2/4	3	1		v]		a	i		v		v					]			m	1	1	1, -2, 2		1	1
99	99	1/4	1/4	2/4	3	1		V7(6)/V		a	i		V7(6)/V		V		7	6	V				Mm7	1	1	2, 6, 5, 0		2	2
99	99	3/8	3/8	2/4	3	1		V7(b5)/V	Fr7	a	i		V7(b5)/V		V		7	b5	V				Mm7	1	1	2, 6, -4, 0		2	2
100	100	0	0	2/4	3	1		V[V		a	i	V	V		V								M	1	1	1, 5, 2		1	1
100	100	1/8	1/8	2/4	3	1		iv7		a	i		iv7		iv		7						mm7	1	1	-1, -4, 0, -3		-1	-1
100	100	1/4	1/4	2/4	3	1		bIIM7]		a	i		bIIM7		bII	M	7			]			MM7	1	1	-5, -1, -4, 0		-5	-5
100	100	3/8	3/8	2/4	3	1		V43(b5)/V	Fr6	a	i		V43(b5)/V		V		43	b5	V				Mm7	1	1	-4, 0, 2, 6		2	-4
101	101	0	0	2/4	3	1		V[V		a	i	V	V		V								M	1	1	1, 5, 2		1	1
101	101	1/8	1/8	2/4	3	1		iv7		a	i		iv7		iv		7						mm7	1	1	-1, -4, 0, -3		-1	-1
101	101	1/4	1/4	2/4	3	1		bIIM7]		a	i		bIIM7		bII	M	7			]			MM7	1	1	-5, -1, -4, 0		-5	-5
101	101	3/8	3/8	2/4	3	1		V43(b5)/V	Fr6	a	i		V43(b5)/V		V		43	b5	V				Mm7	1	1	-4, 0, 2, 6		2	-4
102	102	0	0	2/4	3	1		V[V		a	i	V	V		V								M	1	1	1, 5, 2		1	1
102	102	1/8	1/8	2/4	3	1		VI		a	i		VI		VI								M	1	1	-4, 0, -3		-4	-4
102	102	1/4	1/4	2/4	3	1		bIIM7		a	i		bIIM7		bII	M	7						MM7	1	1	-5, -1, -4, 0		-5	-5
102	102	3/8	3/8	2/4	3	1		V		a	i		V		V								M	1	1	1, 5, 2		1	1
103	103	0	0	2/4	3	1		#viio7/v		a	i		#viio7/v		#vii	o	7		v				o7	1	1	6, 3, 0, -3		6	6
103	103	1/8	1/8	2/4	3	1		v		a	i		v		v								m	1	1	1, -2, 2		1	1
103	103	1/4	1/4	2/4	3	1		V7/v		a	i		V7/v		V		7		v				Mm7	1	1	2, 6, 3, 0		2	2
103	103	3/8	3/8	2/4	3	1		V7(6)/v		a	i		V7(6)/v		V		7	6	v				Mm7	1	1	2, 6, -2, 0		2	2
104	104	0	0	2/4	3	1		#viio65/iv		a	i		#viio65/iv		#vii	o	65		iv				o7	1	1	1, -2, -5, 4		4	1
104	104	1/8	1/8	2/4	3	1		V7/III		a	i		V7/III		V		7		III				Mm7	1	1	-2, 2, -1, -4		-2	-2
104	104	1/4	1/4	2/4	3	1		IIIM7		a	i		IIIM7		III	M	7						MM7	1	1	-3, 1, -2, 2		-3	-3
104	104	3/8	3/8	2/4	3	1		#viio7/iv		a	i		#viio7/iv		#vii	o	7		iv				o7	1	1	4, 1, -2, -5		4	4
105	105	0	0	2/4	3	1		iv		a	i		iv		iv								m	1	1	-1, -4, 0		-1	-1
105	105	1/8	1/8	2/4	3	1		V}		a	i		V		V							}	M	1	1	1, 5, 2		1	1
107	107	0	0	2/4	3	1		V7]{		a	i		V7		V		7			]		{	Mm7	1	1	1, 5, 2, -1		1	1
107	107	1/4	1/4	2/4	3	1		V7(9#6#4)		a	i		V7(9#6#4)		V		7	9#6#4					Mm7	1	1	1, 5, 7, 4	-4	1	1
108	108	0	0	2/4	3	1		V7		a	i		V7		V		7						Mm7	1	1	1, 5, 2, -1		1	1
108	108	1/4	1/4	2/4	3	1		V7(9#6#4)		a	i		V7(9#6#4)		V		7	9#6#4					Mm7	1	1	1, 5, 7, 4	-4	1	1
109	109	0	0	2/4	3	1		V7		a	i		V7		V		7						Mm7	1	1	1, 5, 2, -1		1	1
109	109	1/4	1/4	2/4	3	1		V7(9#6#4)		a	i		V7(9#6#4)		V		7	9#6#4					Mm7	1	1	1, 5, 7, 4	-4	1	1
110	110	0	0	2/4	3	1		v43	III6(+6)	a	i		v43		v		43						mm7	1	1	2, -1, 1, -2		1	2
112	112	1/4	1/4	2/4	3	1		V7(b10)		a	i		V7(b10)		V		7	b10					Mm7	1	1	1, 5, 2, -1	-2	1	1
113	113	0	0	2/4	3	1		V7(9)|HC}		a	i		V7(9)		V		7	9			HC	}	Mm7	1	1	1, 5, 2, -1	-4	1	1
113	113	3/8	3/8	2/4	3	1		i{		a	i		i		i							{	m	1	1	0, -3, 1		0	0
114	114	0	0	2/4	3	1		V/iv		a	i		V/iv		V				iv				M	1	1	0, 4, 1		0	0
114	114	1/8	1/8	2/4	3	1		iv64		a	i		iv64		iv		64						m	1	1	0, -1, -4		-1	0
114	114	1/4	1/4	2/4	3	1		bII6/iv		a	i		bII6/iv		bII		6		iv				M	1	1	-2, -5, -6		-6	-2
114	114	3/8	3/8	2/4	3	1		iv/iv	bIIM65/iv	a	i		iv/iv		iv				iv				m	1	1	-2, -5, -1		-2	-2
115	115	0	0	2/4	3	1		V/iv		a	i		V/iv		V				iv				M	1	1	0, 4, 1		0	0
115	115	1/8	1/8	2/4	3	1		iv64		a	i		iv64		iv		64						m	1	1	0, -1, -4		-1	0
115	115	1/4	1/4	2/4	3	1		III(#2)/iv		a	i		III(#2)/iv		III			#2	iv				M	1	1	-4, 5, -3		-4	-4
115	115	3/8	3/8	2/4	3	1		III/iv		a	i		III/iv		III				iv				M	1	1	-4, 0, -3		-4	-4
116	116	0	0	2/4	3	1		iio6/iv		a	i		iio6/iv		ii	o	6		iv				o	1	1	-2, -5, 1		1	-2
116	116	1/8	1/8	2/4	3	1		iv		a	i		iv		iv								m	1	1	-1, -4, 0		-1	-1
116	116	1/4	1/4	2/4	3	1		III(#2)/iv		a	i		III(#2)/iv		III			#2	iv				M	1	1	-4, 5, -3		-4	-4
116	116	3/8	3/8	2/4	3	1		III/iv		a	i		III/iv		III				iv				M	1	1	-4, 0, -3		-4	-4
117	117	0	0	2/4	3	1		iv6(9b6)		a	i		iv6(9b6)		iv		6	9b6					m	1	1	-4, -5, -1	1	-1	-4
117	117	1/8	1/8	2/4	3	1		iv6		a	i		iv6		iv		6						m	1	1	-4, 0, -1		-1	-4
117	117	1/4	1/4	2/4	3	1		iv(#4)		a	i		iv(#4)		iv			#4					m	1	1	-1, -4, 5		-1	-1
117	117	3/8	3/8	2/4	3	1		iv7		a	i		iv7		iv		7						mm7	1	1	-1, -4, 0, -3		-1	-1
118	118	0	0	2/4	3	1		VII7/iv		a	i		VII7/iv		VII		7		iv				Mm7	1	1	-3, 1, -2, -5		-3	-3
118	118	1/8	1/8	2/4	3	1		iv		a	i		iv		iv								m	1	1	-1, -4, 0		-1	-1
118	118	1/4	1/4	2/4	3	1		#iv[#viio7		a	i	#iv	#viio7		#vii	o	7						o7	1	1	5, 2, -1, -4		5	5
119	119	0	0	2/4	3	1		viio7/V		a	i		viio7/V		vii	o	7		V				o7	1	1	6, 3, 0, -3		6	6
119	119	3/8	3/8	2/4	3	1		Fr6]	V43(#5)/III	a	i		Fr6	Fr	V		7	b5	V	]			Fr	1	1	2, 6, -4, 0		2	2
120	120	0	0	2/4	3	1		III6		a	i		III6		III		6						M	1	1	1, -2, -3		-3	1
120	120	1/4	1/4	2/4	3	1		iv/III		a	i		iv/III		iv				III				m	1	1	-4, -7, -3		-4	-4
120	120	3/8	3/8	2/4	3	1		viio65/V	viio7/V/III	a	i		viio65/V		vii	o	65		V				o7	1	1	3, 0, -3, 6		6	3
121	121	0	0	2/4	3	1		V/III	VII	a	i		V/III		V				III				M	1	1	-2, 2, -1		-2	-2
121	121	1/8	1/8	2/4	3	1		bII64	VI	a	i		bII64		bII		64						M	1	1	-4, -5, -1		-5	-4
121	121	1/4	1/4	2/4	3	1		V|HC}		a	i		V		V						HC	}	M	1	1	1, 5, 2		1	1
121	121	3/8	3/8	2/4	3	1		V7/iv{	V7/ii/III	a	i		V7/iv		V		7		iv			{	Mm7	1	1	0, 4, 1, -2		0	0
122	122	0	0	2/4	3	1		iv(4)		a	i		iv(4)		iv			4					m	1	1	-1, -2, 0		-1	-1
123	123	1/4	1/4	2/4	3	1		VII7(6^2)		a	i		VII7(6^2)		VII		7	6^2					Mm7	1	1	-2, 0, 1, -4		-2	-2
123	123	3/8	3/8	2/4	3	1		VII7		a	i		VII7		VII		7						Mm7	1	1	-2, 2, -1, -4		-2	-2
124	124	0	0	2/4	3	1		III(4)		a	i		III(4)		III			4					M	1	1	-3, -4, -2		-3	-3
125	125	1/4	1/4	2/4	3	1		VIM7(6^2)		a	i		VIM7(6^2)		VI	M	7	6^2					MM7	1	1	-4, -2, -1, 1		-4	-4
125	125	3/8	3/8	2/4	3	1		VIM7		a	i		VIM7		VI	M	7						MM7	1	1	-4, 0, -3, 1		-4	-4
126	126	0	0	2/4	3	1		bII(4)		a	i		bII(4)		bII			4					M	1	1	-5, 1, -4		-5	-5
126	126	1/8	1/8	2/4	3	1		bII		a	i		bII		bII								M	1	1	-5, -1, -4		-5	-5
129	129	0	0	2/4	3	1		V		a	i		V		V								M	1	1	1, 5, 2		1	1
130	130	0	0	2/4	3	1		i|PAC}{		a	i		i		i						PAC	}{	m	1	1	0, -3, 1		0	0
130	130	3/8	3/8	2/4	3	1		VI		a	i		VI		VI								M	1	1	-4, 0, -3		-4	-4
131	131	0	0	2/4	3	1		V2(b9)/iv		a	i		V2(b9)/iv		V		2	b9	iv				Mm7	1	1	-2, 0, 4, 1	-12	0	-2
131	131	1/8	1/8	2/4	3	1		iv6		a	i		iv6		iv		6						m	1	1	-4, 0, -1		-1	-4
131	131	1/4	1/4	2/4	3	1		ii%43		a	i		ii%43		ii	%	43						%7	1	1	-4, 0, 2, -1		2	-4
131	131	3/8	3/8	2/4	3	1		ii%65		a	i		ii%65		ii	%	65						%7	1	1	-1, -4, 0, 2		2	-1
132	132	0	0	2/4	3	1		i6		a	i		i6		i		6						m	1	1	-3, 1, 0		0	-3
132	132	1/4	1/4	2/4	3	1		V(64)/bI		a	i		V(64)/bI		V			64	bI				M	1	1	-6, -7, -3		-6	-6
133	133	1/4	1/4	2/4	3	1		V7/bI		a	i		V7/bI		V		7		bI				Mm7	1	1	-6, -2, -5, -8		-6	-6
134	134	0	0	2/4	3	1		i}{		a	i		i		i							}{	m	1	1	0, -3, 1		0	0
134	134	1/8	1/8	2/4	3	1		V2/iv		a	i		V2/iv		V		2		iv				Mm7	1	1	-2, 0, 4, 1		0	-2
134	134	1/4	1/4	2/4	3	1		iv6		a	i		iv6		iv		6						m	1	1	-4, 0, -1		-1	-4
134	134	3/8	3/8	2/4	3	1		V43(b5)/iv		a	i		V43(b5)/iv		V		43	b5	iv				Mm7	1	1	-6, -2, 0, 4		0	-6
135	135	0	0	2/4	3	1		bII6		a	i		bII6		bII		6						M	1	1	-1, -4, -5		-5	-1
135	135	1/8	1/8	2/4	3	1		bV	IV/bII	a	i		bV		bV								M	1	1	-6, -2, -5		-6	-6
135	135	1/4	1/4	2/4	3	1		V43(6)		a	i		V43(6)		V		43	6					Mm7	1	1	-3, -1, 1, 5		1	-3
135	135	3/8	3/8	2/4	3	1		Fr6/iv	V43(b5)	a	i		Fr6/iv	Fr	V		7	b5	V/iv				Fr	1	1	1, 5, -5, -1		1	1
136	136	0	0	2/4	3	1		i		a	i		i		i								m	1	1	0, -3, 1		0	0
136	136	1/8	1/8	2/4	3	1		V2/iv		a	i		V2/iv		V		2		iv				Mm7	1	1	-2, 0, 4, 1		0	-2
136	136	1/4	1/4	2/4	3	1		iv6		a	i		iv6		iv		6						m	1	1	-4, 0, -1		-1	-4
136	136	3/8	3/8	2/4	3	1		V43(b5)/iv		a	i		V43(b5)/iv		V		43	b5	iv				Mm7	1	1	-6, -2, 0, 4		0	-6
137	137	0	0	2/4	3	1		bII6		a	i		bII6		bII		6						M	1	1	-1, -4, -5		-5	-1
137	137	1/8	1/8	2/4	3	1		bV	IV/bII	a	i		bV		bV								M	1	1	-6, -2, -5		-6	-6
137	137	1/4	1/4	2/4	3	1		V43(6)		a	i		V43(6)		V		43	6					Mm7	1	1	-3, -1, 1, 5		1	-3
137	137	3/8	3/8	2/4	3	1		Fr6/iv	V43(b5)	a	i		Fr6/iv	Fr	V		7	b5	V/iv				Fr	1	1	1, 5, -5, -1		1	1
138	138	0	0	2/4	3	1		i[V/iv		a	i	i	V/iv		V				iv				M	1	1	0, 4, 1		0	0
138	138	1/8	1/8	2/4	3	1		bII		a	i		bII		bII								M	1	1	-5, -1, -4		-5	-5
138	138	1/4	1/4	2/4	3	1		V7/#VII		a	i		V7/#VII		V		7		#VII				Mm7	1	1	6, 10, 7, 4		6	6
138	138	3/8	3/8	2/4	3	1		V/iv		a	i		V/iv		V				iv				M	1	1	0, 4, 1		0	0
139	139	0	0	2/4	3	1		VI(#2)		a	i		VI(#2)		VI			#2					M	1	1	-4, 5, -3		-4	-4
139	139	1/8	1/8	2/4	3	1		bII		a	i		bII		bII								M	1	1	-5, -1, -4		-5	-5
139	139	1/4	1/4	2/4	3	1		V7		a	i		V7		V		7						Mm7	1	1	1, 5, 2, -1		1	1
139	139	3/8	3/8	2/4	3	1		V7(6)		a	i		V7(6)		V		7	6					Mm7	1	1	1, 5, -3, -1		1	1
140	140	0	0	2/4	3	1		#viio43/v		a	i		#viio43/v		#vii	o	43		v				o7	1	1	0, -3, 6, 3		6	0
140	140	1/8	1/8	2/4	3	1		v		a	i		v		v								m	1	1	1, -2, 2		1	1
140	140	1/4	1/4	2/4	3	1		V65/v		a	i		V65/v		V		65		v				Mm7	1	1	6, 3, 0, 2		2	6
140	140	3/8	3/8	2/4	3	1		V7(6)/v		a	i		V7(6)/v		V		7	6	v				Mm7	1	1	2, 6, -2, 0		2	2
141	141	0	0	2/4	3	1		#viio43/iv		a	i		#viio43/iv		#vii	o	43		iv				o7	1	1	-2, -5, 4, 1		4	-2
141	141	1/8	1/8	2/4	3	1		V7/III		a	i		V7/III		V		7		III				Mm7	1	1	-2, 2, -1, -4		-2	-2
141	141	1/4	1/4	2/4	3	1		IIIM7		a	i		IIIM7		III	M	7						MM7	1	1	-3, 1, -2, 2		-3	-3
141	141	3/8	3/8	2/4	3	1		#viio7/iv		a	i		#viio7/iv		#vii	o	7		iv				o7	1	1	4, 1, -2, -5		4	4
142	142	0	0	2/4	3	1		IV		a	i		IV		IV								M	1	1	-1, 3, 0		-1	-1
142	142	1/8	1/8	2/4	3	1		VI		a	i		VI		VI								M	1	1	-4, 0, -3		-4	-4
142	142	1/4	1/4	2/4	3	1		i]		a	i		i		i					]			m	1	1	0, -3, 1		0	0
143	143	3/8	3/8	2/4	3	1		V7/bI		a	i		V7/bI		V		7		bI				Mm7	1	1	-6, -2, -5, -8		-6	-6
143	143	9/20	9/20	2/4	3	1		vo7		a	i		vo7		v	o	7						o7	1	1	1, -2, -5, -8		1	1
144	144	0	0	2/4	3	1		i|PAC}		a	i		i		i						PAC	}	m	1	1	0, -3, 1		0	0
