mc	mn	onset	label	volta	globalkey	localkey	pedal	chord	numeral	special	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
8	7	0	IVM7		G	I		IVM7	IV		M	7				MM7	0	0	-1, 3, 0, 4		-1.0	-1.0
8	7	1/8	V(9)		G	I		V(9)	V				9			M	0	0	1, 5, 2	3	1.0	1.0
8	7	1/4	vi(4)		G	I		vi(4)	vi				4			m	0	0	3, 2, 4		3.0	3.0
8	7	3/8	ii(9)		G	I		ii(9)	ii				9			m	0	0	2, -1, 3	4	2.0	2.0
9	8	0	I6(6)		G	I		I6(6)	I			6	6			M	0	0	4, 3, 0		0.0	4.0
9	8	1/8	IV		G	I		IV	IV							M	0	0	-1, 3, 0		-1.0	-1.0
9	8	1/4	V(6)		G	I		V(6)	V				6			M	0	0	1, 5, 4		1.0	1.0
9	8	3/8	vi7		G	I		vi7	vi			7				mm7	0	0	3, 0, 4, 1		3.0	3.0
10	9	0	#viio7/vii		G	I		#viio7/vii	#vii		o	7		vii		o7	0	0	10, 7, 4, 1		10.0	10.0
10	9	1/8	V6		G	I		V6	V			6				M	0	0	5, 2, 1		1.0	5.0
10	9	1/4	i		G	I		i	i							m	0	0	0, -3, 1		0.0	0.0
10	9	3/8	V65/ii		G	I		V65/ii	V			65		ii		Mm7	0	0	7, 4, 1, 3		3.0	7.0
11	10	0	ii(4)		G	I		ii(4)	ii				4			m	0	0	2, 1, 3		2.0	2.0
11	10	1/8	V6/iii		G	I		V6/iii	V			6		iii		M	0	0	9, 6, 5		5.0	9.0
11	10	1/4	iii		G	I		iii	iii							m	0	0	4, 1, 5		4.0	4.0
11	10	3/8	iii6		G	I		iii6	iii			6				m	0	0	1, 5, 4		4.0	1.0
12	11	0	iii.iv(#4)		G	iii		iv(#4)	iv				#4			m	0	1	-1, -4, 5		-1.0	-1.0
12	11	1/8	V6/v		G	iii		V6/v	V			6		v		M	0	1	6, 3, 2		2.0	6.0
12	11	1/4	v(4)		G	iii		v(4)	v				4			m	0	1	1, 0, 2		1.0	1.0
12	11	3/8	vi		G	iii		vi	vi							m	0	1	-4, -7, -3		-4.0	-4.0
13	12	0	#vi%7		G	iii		#vi%7	#vi		%	7				%7	0	1	3, 2, 9, 1		3.0	3.0
13	12	1/8	V6		G	iii		V6	V			6				M	0	1	5, 2, 1		1.0	5.0
13	12	1/4	i		G	iii		i	i							m	0	1	0, -3, 1		0.0	0.0
13	12	3/8	ii%7		G	iii		ii%7	ii		%	7				%7	0	1	2, 1, 8, 0		2.0	2.0
14	13	0	ii%7/vii		G	iii		ii%7/vii	ii		%	7		vii		%7	0	1	0, -1, 6, -2		0.0	0.0
14	13	1/8	#viio7/iv		G	iii		#viio7/iv	#vii		o	7		iv		o7	0	1	4, 1, -2, -5		4.0	4.0
14	13	1/4	.bII6		G	iii		bII6	bII			6				M	0	1	-1, -4, -5		-5.0	-1.0
14	13	3/8	V7		G	iii		V7	V			7				Mm7	0	1	1, 5, 2, -1		1.0	1.0
15	14	0	i\\	1	G	iii		i	i						\\	m	0	1	0, -3, 1		0.0	0.0
16	14	0	i\\	2	G	iii		i	i						\\	m	0	1	0, -3, 1		0.0	0.0
16	14	3/8	I	2	G	iii		I	I							M	0	1	0, 4, 1		0.0	0.0
17	15	0	vi.#vi%7		G	vi		#vi%7	#vi		%	7				%7	0	1	3, 2, 9, 1		3.0	3.0
17	15	1/8	V6		G	vi		V6	V			6				M	0	1	5, 2, 1		1.0	5.0
17	15	1/4	i		G	vi		i	i							m	0	1	0, -3, 1		0.0	0.0
17	15	3/8	V43		G	vi		V43	V			43				Mm7	0	1	2, -1, 1, 5		1.0	2.0
18	16	0	i6		G	vi		i6	i			6				m	0	1	-3, 1, 0		0.0	-3.0
18	16	1/8	V43		G	vi		V43	V			43				Mm7	0	1	2, -1, 1, 5		1.0	2.0
18	16	1/4	i		G	vi		i	i							m	0	1	0, -3, 1		0.0	0.0
18	16	3/8	V7/VII		G	vi		V7/VII	V			7		VII		Mm7	0	1	-1, 3, 0, -3		-1.0	-1.0
19	17	0	vi/VII		G	vi		vi/VII	vi					VII		m	0	1	1, -2, 2		1.0	1.0
19	17	1/8	V6/VII		G	vi		V6/VII	V			6		VII		M	0	1	3, 0, -1		-1.0	3.0
19	17	1/4	VII(6)		G	vi		VII(6)	VII				6			M	0	1	-2, 2, 1		-2.0	-2.0
19	17	3/8	VI6(7)		G	vi		VI6(7)	VI			6	7			M	0	1	0, -3, 1		-4.0	0.0
20	18	0	V6/III		G	vi		V6/III	V			6		III		M	0	1	2, -1, -2		-2.0	2.0
20	18	1/8	ii43/III		G	vi		ii43/III	ii			43		III		mm7	0	1	0, -3, -1, -4		-1.0	0.0
20	18	1/4	V6(9)		G	vi		V6(9)	V			6	9			M	0	1	5, 2, 1	-4	1.0	5.0
20	18	3/8	i6		G	vi		i6	i			6				m	0	1	-3, 1, 0		0.0	-3.0
21	19	0	iv(#4)		G	vi		iv(#4)	iv				#4			m	0	1	-1, -4, 5		-1.0	-1.0
21	19	1/8	V6/v		G	vi		V6/v	V			6		v		M	0	1	6, 3, 2		2.0	6.0
21	19	1/4	v(4)		G	vi		v(4)	v				4			m	0	1	1, 0, 2		1.0	1.0
21	19	3/8	vi		G	vi		vi	vi							m	0	1	-4, -7, -3		-4.0	-4.0
22	20	0	#vi%7		G	vi		#vi%7	#vi		%	7				%7	0	1	3, 2, 9, 1		3.0	3.0
22	20	1/8	V6		G	vi		V6	V			6				M	0	1	5, 2, 1		1.0	5.0
22	20	1/4	i		G	vi		i	i							m	0	1	0, -3, 1		0.0	0.0
22	20	3/8	i6		G	vi		i6	i			6				m	0	1	-3, 1, 0		0.0	-3.0
23	21	0	iv(#4)		G	vi		iv(#4)	iv				#4			m	0	1	-1, -4, 5		-1.0	-1.0
23	21	1/8	V6/v		G	vi		V6/v	V			6		v		M	0	1	6, 3, 2		2.0	6.0
23	21	1/4	v(4)		G	vi		v(4)	v				4			m	0	1	1, 0, 2		1.0	1.0
23	21	3/8	iv7		G	vi		iv7	iv			7				mm7	0	1	-1, -4, 0, -3		-1.0	-1.0
24	22	0	v		G	vi		v	v							m	0	1	1, -2, 2		1.0	1.0
24	22	1/8	iio6/III		G	vi		iio6/III	ii		o	6		III		o	0	1	-4, -7, -1		-1.0	-4.0
24	22	1/4	V65/VII		G	vi		V65/VII	V			65		VII		Mm7	0	1	3, 0, -3, -1		-1.0	3.0
24	22	3/8	iio6/iv		G	vi		iio6/iv	ii		o	6		iv		o	0	1	-2, -5, 1		1.0	-2.0
25	23	0	V6(b3)		G	vi		V6(b3)	V			6	b3			M	0	1	-2, 2, 1		1.0	-2.0
25	23	1/8	VI6(9)		G	vi		VI6(9)	VI			6	9			M	0	1	0, -3, -4	-2	-4.0	0.0
25	23	1/4	#viio7/ii		G	vi		#viio7/ii	#vii		o	7		ii		o7	0	1	7, 4, 1, -2		7.0	7.0
25	23	3/8	V6/III		G	vi		V6/III	V			6		III		M	0	1	2, -1, -2		-2.0	2.0
26	24	0	#viio7/ii		G	vi		#viio7/ii	#vii		o	7		ii		o7	0	1	7, 4, 1, -2		7.0	7.0
26	24	1/8	V65/III		G	vi		V65/III	V			65		III		Mm7	0	1	2, -1, -4, -2		-2.0	2.0
26	24	1/4	iii		G	vi		iii	iii							m	0	1	-3, -6, -2		-3.0	-3.0
26	24	3/8	#viio6/iv		G	vi		#viio6/iv	#vii		o	6		iv		o	0	1	1, -2, 4		4.0	1.0
27	25	0	I.ii(4)		G	I		ii(4)	ii				4			m	0	0	2, 1, 3		2.0	2.0
27	25	1/8	I6		G	I		I6	I			6				M	0	0	4, 1, 0		0.0	4.0
27	25	1/4	IV(9)		G	I		IV(9)	IV				9			M	0	0	-1, 3, 0	1	-1.0	-1.0
27	25	3/8	V		G	I		V	V							M	0	0	1, 5, 2		1.0	1.0
28	26	0	vi7		G	I		vi7	vi			7				mm7	0	0	3, 0, 4, 1		3.0	3.0
28	26	1/8	ii(4)		G	I		ii(4)	ii				4			m	0	0	2, 1, 3		2.0	2.0
28	26	1/4	V\\		G	I		V	V						\\	M	0	0	1, 5, 2		1.0	1.0
28	26	3/8	I		G	I		I	I							M	0	0	0, 4, 1		0.0	0.0
29	27	0	V7(4)/IV		G	I		V7(4)/IV	V			7	4	IV		Mm7	0	0	0, -1, 1, -2		0.0	0.0
29	27	1/8	V/IV		G	I		V/IV	V					IV		M	0	0	0, 4, 1		0.0	0.0
29	27	1/4	V7(4)/IV		G	I		V7(4)/IV	V			7	4	IV		Mm7	0	0	0, -1, 1, -2		0.0	0.0
29	27	3/8	V7/IV		G	I		V7/IV	V			7		IV		Mm7	0	0	0, 4, 1, -2		0.0	0.0
30	28	0	V7(4)/IV		G	I		V7(4)/IV	V			7	4	IV		Mm7	0	0	0, -1, 1, -2		0.0	0.0
30	28	1/8	V/IV		G	I		V/IV	V					IV		M	0	0	0, 4, 1		0.0	0.0
30	28	1/4	IV64(94)		G	I		IV64(94)	IV			64	94			M	0	0	0, -1, 5	1	-1.0	0.0
30	28	3/8	IV64(9)		G	I		IV64(9)	IV			64	9			M	0	0	0, -1, 3	1	-1.0	0.0
31	29	0	V7(4)/IV		G	I		V7(4)/IV	V			7	4	IV		Mm7	0	0	0, -1, 1, -2		0.0	0.0
31	29	1/8	V/IV		G	I		V/IV	V					IV		M	0	0	0, 4, 1		0.0	0.0
31	29	1/4	V7(4)/IV		G	I		V7(4)/IV	V			7	4	IV		Mm7	0	0	0, -1, 1, -2		0.0	0.0
31	29	3/8	V7/IV		G	I		V7/IV	V			7		IV		Mm7	0	0	0, 4, 1, -2		0.0	0.0
32	30	0	V43(4)/IV		G	I		V43(4)/IV	V			43	4	IV		Mm7	0	0	1, -2, 0, -1		0.0	1.0
32	30	1/8	ii65		G	I		ii65	ii			65				mm7	0	0	-1, 3, 0, 2		2.0	-1.0
32	30	1/4	IV64		G	I		IV64	IV			64				M	0	0	0, -1, 3		-1.0	0.0
32	30	3/8	IV/IV		G	I		IV/IV	IV					IV		M	0	0	-2, 2, -1		-2.0	-2.0
33	31	0	IVM65		G	I		IVM65	IV		M	65				MM7	0	0	3, 0, 4, -1		-1.0	3.0
33	31	1/8	IV		G	I		IV	IV							M	0	0	-1, 3, 0		-1.0	-1.0
33	31	1/4	IV64		G	I		IV64	IV			64				M	0	0	0, -1, 3		-1.0	0.0
33	31	3/8	I		G	I		I	I							M	0	0	0, 4, 1		0.0	0.0
34	32	0	IVM43		G	I		IVM43	IV		M	43				MM7	0	0	0, 4, -1, 3		-1.0	0.0
34	32	1/4	IVM7(6)/IV		G	I		IVM7(6)/IV	IV		M	7	6	IV		MM7	0	0	-2, 2, 1, 3		-2.0	-2.0
34	32	3/8	V/IV		G	I		V/IV	V					IV		M	0	0	0, 4, 1		0.0	0.0
35	33	0	vi7		G	I		vi7	vi			7				mm7	0	0	3, 0, 4, 1		3.0	3.0
35	33	1/8	IV6		G	I		IV6	IV			6				M	0	0	3, 0, -1		-1.0	3.0
35	33	3/8	V6		G	I		V6	V			6				M	0	0	5, 2, 1		1.0	5.0
36	34	0	IV6		G	I		IV6	IV			6				M	0	0	3, 0, -1		-1.0	3.0
36	34	1/8	IV		G	I		IV	IV							M	0	0	-1, 3, 0		-1.0	-1.0
36	34	3/8	#viio7/vi		G	I		#viio7/vi	#vii		o	7		vi		o7	0	0	8, 5, 2, -1		8.0	8.0
37	35	0	#viio7(4)/vi		G	I		#viio7(4)/vi	#vii		o	7	4	vi		o7	0	0	8, 0, 2, -1		8.0	8.0
37	35	1/8	IV6		G	I		IV6	IV			6				M	0	0	3, 0, -1		-1.0	3.0
37	35	1/4	IV		G	I		IV	IV							M	0	0	-1, 3, 0		-1.0	-1.0
37	35	3/8	iii64		G	I		iii64	iii			64				m	0	0	5, 4, 1		4.0	5.0
38	36	0	ii7(9)		G	I		ii7(9)	ii			7	9			mm7	0	0	2, -1, 3, 0	4	2.0	2.0
38	36	1/8	IV64(9)		G	I		IV64(9)	IV			64	9			M	0	0	0, -1, 3	1	-1.0	0.0
38	36	1/4	vii%7(9)		G	I		vii%7(9)	vii		%	7	9			%7	0	0	5, 4, 11, 3	0	5.0	5.0
38	36	3/8	V64(6)		G	I		V64(6)	V			64	6			M	0	0	4, 1, 5		1.0	4.0
39	37	0	I(9)		G	I		I(9)	I				9			M	0	0	0, 4, 1	2	0.0	0.0
39	37	1/8	#vii%2(b9)/ii		G	I		#vii%2(b9)/ii	#vii		%	2	b9	ii		%7	0	0	5, 7, 6, 13	-5	7.0	5.0
39	37	1/4	V7/ii		G	I		V7/ii	V			7		ii		Mm7	0	0	3, 7, 4, 1		3.0	3.0
39	37	3/8	ii64		G	I		ii64	ii			64				m	0	0	3, 2, -1		2.0	3.0
40	38	0	vii%7(9)		G	I		vii%7(9)	vii		%	7	9			%7	0	0	5, 4, 11, 3	0	5.0	5.0
40	38	1/8	ii64(9)		G	I		ii64(9)	ii			64	9			m	0	0	3, 2, -1	4	2.0	3.0
40	38	1/4	V7(9)		G	I		V7(9)	V			7	9			Mm7	0	0	1, 5, 2, -1	3	1.0	1.0
40	38	3/8	V64(9)/vi		G	I		V64(9)/vi	V			64	9	vi		M	0	0	5, 4, 8	-1	4.0	5.0
41	39	0	vi(9)		G	I		vi(9)	vi				9			m	0	0	3, 0, 4	5	3.0	3.0
41	39	1/8	vi2		G	I		vi2	vi			2				mm7	0	0	1, 3, 0, 4		3.0	1.0
41	39	1/4	#iv%7		G	I		#iv%7	#iv		%	7				%7	0	0	6, 5, 12, 4		6.0	6.0
42	40	0	V7(9)		G	I		V7(9)	V			7	9			Mm7	0	0	1, 5, 2, -1	3	1.0	1.0
42	40	1/4	I64(4)		G	I		I64(4)	I			64	4			M	0	0	1, 0, -1		0.0	1.0
43	41	0	V7(6)		G	I		V7(6)	V			7	6			Mm7	0	0	1, 5, 4, -1		1.0	1.0
43	41	1/4	I64(9)		G	I		I64(9)	I			64	9			M	0	0	1, 0, 4	2	0.0	1.0
44	42	0	V(4)		G	I		V(4)	V				4			M	0	0	1, 0, 2		1.0	1.0
44	42	1/8	V		G	I		V	V							M	0	0	1, 5, 2		1.0	1.0
44	42	1/4	V7		G	I		V7	V			7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
44	42	3/8	ii7		G	I		ii7	ii			7				mm7	0	0	2, -1, 3, 0		2.0	2.0
45	43	0	V(9)		G	I		V(9)	V				9			M	0	0	1, 5, 2	3	1.0	1.0
45	43	1/8	V(6)		G	I		V(6)	V				6			M	0	0	1, 5, 4		1.0	1.0
45	43	1/4	V43		G	I		V43	V			43				Mm7	0	0	2, -1, 1, 5		1.0	2.0
45	43	3/8	V7(9)		G	I		V7(9)	V			7	9			Mm7	0	0	1, 5, 2, -1	3	1.0	1.0
46	44	0	I[I\\		G	I	I	I	I						\\	M	0	0	0, 4, 1		0.0	0.0
46	44	1/8	V		G	I	I	V	V							M	0	0	1, 5, 2		1.0	1.0
46	44	1/4	I(9)		G	I	I	I(9)	I				9			M	0	0	0, 4, 1	2	0.0	0.0
46	44	3/8	V7(9)		G	I	I	V7(9)	V			7	9			Mm7	0	0	1, 5, 2, -1	3	1.0	1.0
47	45	0	I		G	I	I	I	I							M	0	0	0, 4, 1		0.0	0.0
47	45	1/8	V		G	I	I	V	V							M	0	0	1, 5, 2		1.0	1.0
47	45	1/4	I(9)		G	I	I	I(9)	I				9			M	0	0	0, 4, 1	2	0.0	0.0
47	45	3/8	V7(9)		G	I	I	V7(9)	V			7	9			Mm7	0	0	1, 5, 2, -1	3	1.0	1.0
48	46	0	I		G	I	I	I	I							M	0	0	0, 4, 1		0.0	0.0
48	46	1/8	V		G	I	I	V	V							M	0	0	1, 5, 2		1.0	1.0
48	46	1/4	I64(9)		G	I	I	I64(9)	I			64	9			M	0	0	1, 0, 4	2	0.0	1.0
48	46	3/8	ii		G	I	I	ii	ii							m	0	0	2, -1, 3		2.0	2.0
49	47	0	V7		G	I	I	V7	V			7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
49	47	1/8	vi65]		G	I	I	vi65	vi			65				mm7	0	0	0, 4, 1, 3		3.0	0.0
49	47	1/4	V		G	I		V	V							M	0	0	1, 5, 2		1.0	1.0
49	47	3/8	I\\		G	I		I	I						\\	M	0	0	0, 4, 1		0.0	0.0
50	48	0	V43		G	I		V43	V			43				Mm7	0	0	2, -1, 1, 5		1.0	2.0
50	48	1/16	I6		G	I		I6	I			6				M	0	0	4, 1, 0		0.0	4.0
50	48	1/8	IV(9)		G	I		IV(9)	IV				9			M	0	0	-1, 3, 0	1	-1.0	-1.0
50	48	3/16	I64		G	I		I64	I			64				M	0	0	1, 0, 4		0.0	1.0
50	48	1/4	IV6(9)		G	I		IV6(9)	IV			6	9			M	0	0	3, 0, -1	1	-1.0	3.0
50	48	5/16	V6		G	I		V6	V			6				M	0	0	5, 2, 1		1.0	5.0
50	48	3/8	I		G	I		I	I							M	0	0	0, 4, 1		0.0	0.0
50	48	7/16	vii6		G	I		vii6	vii			6				m	0	0	2, 6, 5		5.0	2.0
51	49	0	I6		G	I		I6	I			6				M	0	0	4, 1, 0		0.0	4.0
51	49	1/16	IVM7		G	I		IVM7	IV		M	7				MM7	0	0	-1, 3, 0, 4		-1.0	-1.0
51	49	1/8	iii6		G	I		iii6	iii			6				m	0	0	1, 5, 4		4.0	1.0
51	49	3/16	vi		G	I		vi	vi							m	0	0	3, 0, 4		3.0	3.0
51	49	1/4	IVM7		G	I		IVM7	IV		M	7				MM7	0	0	-1, 3, 0, 4		-1.0	-1.0
51	49	3/8	V(6)		G	I		V(6)	V				6			M	0	0	1, 5, 4		1.0	1.0
52	50	0	I(64)		G	I		I(64)	I				64			M	0	0	0, -1, 3		0.0	0.0
52	50	1/8	I\\		G	I		I	I						\\	M	0	0	0, 4, 1		0.0	0.0
54	52	1/8	iii.i		G	iii		i	i							m	0	1	0, -3, 1		0.0	0.0
55	53	0	III		G	iii		III	III							M	0	1	-3, 1, -2		-3.0	-3.0
56	54	0	i		G	iii		i	i							m	0	1	0, -3, 1		0.0	0.0
56	54	3/8	ii%7		G	iii		ii%7	ii		%	7				%7	0	1	2, 1, 8, 0		2.0	2.0
57	55	0	i6		G	iii		i6	i			6				m	0	1	-3, 1, 0		0.0	-3.0
57	55	1/8	i		G	iii		i	i							m	0	1	0, -3, 1		0.0	0.0
57	55	1/4	VI		G	iii		VI	VI							M	0	1	-4, 0, -3		-4.0	-4.0
57	55	3/8	v6		G	iii		v6	v			6				m	0	1	-2, 2, 1		1.0	-2.0
58	56	0	i7		G	iii		i7	i			7				mm7	0	1	0, -3, 1, -2		0.0	0.0
58	56	1/8	III		G	iii		III	III							M	0	1	-3, 1, -2		-3.0	-3.0
59	57	0	i		G	iii		i	i							m	0	1	0, -3, 1		0.0	0.0
59	57	3/8	ii%7		G	iii		ii%7	ii		%	7				%7	0	1	2, 1, 8, 0		2.0	2.0
60	58	0	i6		G	iii		i6	i			6				m	0	1	-3, 1, 0		0.0	-3.0
60	58	1/8	i(9)		G	iii		i(9)	i				9			m	0	1	0, -3, 1	2	0.0	0.0
60	58	1/4	VIM7		G	iii		VIM7	VI		M	7				MM7	0	1	-4, 0, -3, 1		-4.0	-4.0
60	58	3/8	v6		G	iii		v6	v			6				m	0	1	-2, 2, 1		1.0	-2.0
61	59	0	i7		G	iii		i7	i			7				mm7	0	1	0, -3, 1, -2		0.0	0.0
61	59	1/8	III		G	iii		III	III							M	0	1	-3, 1, -2		-3.0	-3.0
62	60	0	i		G	iii		i	i							m	0	1	0, -3, 1		0.0	0.0
62	60	3/8	ii%7		G	iii		ii%7	ii		%	7				%7	0	1	2, 1, 8, 0		2.0	2.0
63	61	0	i6		G	iii		i6	i			6				m	0	1	-3, 1, 0		0.0	-3.0
63	61	1/8	i7		G	iii		i7	i			7				mm7	0	1	0, -3, 1, -2		0.0	0.0
63	61	1/4	ii%43/v		G	iii		ii%43/v	ii		%	43		v		%7	0	1	9, 1, 3, 2		3.0	9.0
64	62	0	v(4)/v		G	iii		v(4)/v	v				4	v		m	0	1	2, 1, 3		2.0	2.0
64	62	1/8	v7/v		G	iii		v7/v	v			7		v		mm7	0	1	2, -1, 3, 0		2.0	2.0
64	62	1/4	ii%43/#vi		G	iii		ii%43/#vi	ii		%	43		#vi		%7	0	1	11, 3, 5, 4		5.0	11.0
65	63	0	III+(4)		G	iii		III+(4)	III		+		4			+	0	1	-3, -4, 5		-3.0	-3.0
65	63	1/8	III+(7)		G	iii		III+(7)	III		+		7			+	0	1	-3, 1, 5	2	-3.0	-3.0
65	63	1/4	i64		G	iii		i64	i			64				m	0	1	1, 0, -3		0.0	1.0
66	64	0	VII64		G	iii		VII64	VII			64				M	0	1	-1, -2, 2		-2.0	-1.0
66	64	1/8	v		G	iii		v	v							m	0	1	1, -2, 2		1.0	1.0
66	64	1/4	IIIM7		G	iii		IIIM7	III		M	7				MM7	0	1	-3, 1, -2, 2		-3.0	-3.0
66	64	3/8	iv		G	iii		iv	iv							m	0	1	-1, -4, 0		-1.0	-1.0
67	65	0	V64		G	iii		V64	V			64				M	0	1	2, 1, 5		1.0	2.0
67	65	1/8	V2		G	iii		V2	V			2				Mm7	0	1	-1, 1, 5, 2		1.0	-1.0
67	65	1/4	i6		G	iii		i6	i			6				m	0	1	-3, 1, 0		0.0	-3.0
67	65	3/8	iv		G	iii		iv	iv							m	0	1	-1, -4, 0		-1.0	-1.0
68	66	0	ii%7		G	iii		ii%7	ii		%	7				%7	0	1	2, 1, 8, 0		2.0	2.0
68	66	1/8	III		G	iii		III	III							M	0	1	-3, 1, -2		-3.0	-3.0
68	66	1/4	IV64		G	iii		IV64	IV			64				M	0	1	0, -1, 3		-1.0	0.0
68	66	3/8	III		G	iii		III	III							M	0	1	-3, 1, -2		-3.0	-3.0
69	67	0	V/v		G	iii		V/v	V					v		M	0	1	2, 6, 3		2.0	2.0
69	67	1/8	V2/VII		G	iii		V2/VII	V			2		VII		Mm7	0	1	-3, -1, 3, 0		-1.0	-3.0
69	67	1/4	i7		G	iii		i7	i			7				mm7	0	1	0, -3, 1, -2		0.0	0.0
69	67	3/8	VII6		G	iii		VII6	VII			6				M	0	1	2, -1, -2		-2.0	2.0
70	68	0	III64		G	iii		III64	III			64				M	0	1	-2, -3, 1		-3.0	-2.0
70	68	1/8	v6		G	iii		v6	v			6				m	0	1	-2, 2, 1		1.0	-2.0
70	68	1/4	V/III		G	iii		V/III	V					III		M	0	1	-2, 2, -1		-2.0	-2.0
71	69	0	i		G	iii		i	i							m	0	1	0, -3, 1		0.0	0.0
71	69	1/8	v		G	iii		v	v							m	0	1	1, -2, 2		1.0	1.0
71	69	3/8	VI		G	iii		VI	VI							M	0	1	-4, 0, -3		-4.0	-4.0
72	70	0	iv7		G	iii		iv7	iv			7				mm7	0	1	-1, -4, 0, -3		-1.0	-1.0
72	70	1/8	#viio64		G	iii		#viio64	#vii		o	64				o	0	1	-1, 5, 2		5.0	-1.0
72	70	3/8	V\\		G	iii		V	V						\\	M	0	1	1, 5, 2		1.0	1.0
73	71	1/8	i6(9)		G	iii		i6(9)	i			6	9			m	0	1	-3, 1, 0	2	0.0	-3.0
73	71	3/8	V7/v		G	iii		V7/v	V			7		v		Mm7	0	1	2, 6, 3, 0		2.0	2.0
74	72	0	V(6)		G	iii		V(6)	V				6			M	0	1	1, 5, -3		1.0	1.0
74	72	1/8	V7		G	iii		V7	V			7				Mm7	0	1	1, 5, 2, -1		1.0	1.0
74	72	1/4	V		G	iii		V	V							M	0	1	1, 5, 2		1.0	1.0
75	73	1/8	i6(9)		G	iii		i6(9)	i			6	9			m	0	1	-3, 1, 0	2	0.0	-3.0
75	73	3/8	V7/v		G	iii		V7/v	V			7		v		Mm7	0	1	2, 6, 3, 0		2.0	2.0
76	74	0	V(6)		G	iii		V(6)	V				6			M	0	1	1, 5, -3		1.0	1.0
76	74	1/8	V7		G	iii		V7	V			7				Mm7	0	1	1, 5, 2, -1		1.0	1.0
76	74	1/4	V		G	iii		V	V							M	0	1	1, 5, 2		1.0	1.0
77	75	0	.Ger6(b8)		G	iii		Ger6(b8)	vii	Ger	o	65	b8b3	V		M	0	1	-4, 0, -3, 6		6.0	-4.0
77	75	1/8	.Ger6		G	iii		Ger6	vii	Ger	o	65	b3	V		M	0	1	-4, 0, -3, 6		6.0	-4.0
78	76	0	V43(6)/III		G	iii		V43(6)/III	V			43	6	III		Mm7	0	1	1, -4, -2, 2		-2.0	1.0
78	76	1/8	V43/III		G	iii		V43/III	V			43		III		Mm7	0	1	-1, -4, -2, 2		-2.0	-1.0
79	77	0	V65(6)/iv		G	iii		V65(6)/iv	V			65	6	iv		Mm7	0	1	4, -4, -2, 0		0.0	4.0
79	77	1/8	V65/iv		G	iii		V65/iv	V			65		iv		Mm7	0	1	4, 1, -2, 0		0.0	4.0
80	78	0	vi64(9)		G	iii		vi64(9)	vi			64	9			m	0	1	-3, -4, -7	-2	-4.0	-3.0
80	78	1/8	vi64		G	iii		vi64	vi			64				m	0	1	-3, -4, -7		-4.0	-3.0
