mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
47	45	89	91	0.5	1/8	1/8	2/4	2	1		V7		G	I		V7		V		7						Mm7	0	0	1, 5, 2, -1		1	1
47	45	179/2	183/2	0.25	1/4	1/4	2/4	2	1		vi7		G	I		vi7		vi		7						mm7	0	0	3, 0, 4, 1		3	3
47	45	359/4	367/4	0.25	5/16	5/16	2/4	2	1		ii(94)		G	I		ii(94)		ii			94					m	0	0	2, 1, 3	4	2	2
47	45	90	92	0.5	3/8	3/8	2/4	2	1		V7(9)		G	I		V7(9)		V		7	9					Mm7	0	0	1, 5, 2, -1	3	1	1
48	46	181/2	185/2	0.5	0	0	2/4	2	1		I		G	I		I		I								M	0	0	0, 4, 1		0	0
48	46	91	93	0.5	1/8	1/8	2/4	2	1		V7		G	I		V7		V		7						Mm7	0	0	1, 5, 2, -1		1	1
48	46	183/2	187/2	0.5	1/4	1/4	2/4	2	1		I64(2)	V(6)	G	I		I64(2)		I		64	2					M	0	0	1, 2, 4		0	1
48	46	92	94	0.5	3/8	3/8	2/4	2	1		ii		G	I		ii		ii								m	0	0	2, -1, 3		2	2
49	47	185/2	189/2	0.5	0	0	2/4	2	1		V7		G	I		V7		V		7						Mm7	0	0	1, 5, 2, -1		1	1
49	47	93	95	0.5	1/8	1/8	2/4	2	1		I(6)		G	I		I(6)		I			6					M	0	0	0, 4, 3		0	0
49	47	187/2	191/2	0.5	1/4	1/4	2/4	2	1		V		G	I		V		V								M	0	0	1, 5, 2		1	1
49	47	94	96	0.5	3/8	3/8	2/4	2	1		I|PAC}		G	I		I		I						PAC	}	M	0	0	0, 4, 1		0	0
49	47	377/4	385/4	0.0	7/16	7/16	2/4	2	1		{		G	I											{		0	0				
50	48	189/2	193/2	0.25	0	0	2/4	2	1		V43		G	I		V43		V		43						Mm7	0	0	2, -1, 1, 5		1	2
50	48	379/4	387/4	0.25	1/16	1/16	2/4	2	1		I6		G	I		I6		I		6						M	0	0	4, 1, 0		0	4
50	48	95	97	0.25	1/8	1/8	2/4	2	1		IV(9)		G	I		IV(9)		IV			9					M	0	0	-1, 3, 0	1	-1	-1
50	48	381/4	389/4	0.25	3/16	3/16	2/4	2	1		V(6)	iii6	G	I		V(6)		V			6					M	0	0	1, 5, 4		1	1
50	48	191/2	195/2	0.25	1/4	1/4	2/4	2	1		IV6(9)	vi7	G	I		IV6(9)		IV		6	9					M	0	0	3, 0, -1	1	-1	3
50	48	383/4	391/4	0.25	5/16	5/16	2/4	2	1		V6		G	I		V6		V		6						M	0	0	5, 2, 1		1	5
50	48	96	98	0.25	3/8	3/8	2/4	2	1		I		G	I		I		I								M	0	0	0, 4, 1		0	0
50	48	385/4	393/4	0.25	7/16	7/16	2/4	2	1		viio6		G	I		viio6		vii	o	6						o	0	0	2, -1, 5		5	2
51	49	193/2	197/2	0.25	0	0	2/4	2	1		I6		G	I		I6		I		6						M	0	0	4, 1, 0		0	4
51	49	387/4	395/4	0.25	1/16	1/16	2/4	2	1		IVM7		G	I		IVM7		IV	M	7						MM7	0	0	-1, 3, 0, 4		-1	-1
51	49	97	99	0.25	1/8	1/8	2/4	2	1		V7		G	I		V7		V		7						Mm7	0	0	1, 5, 2, -1		1	1
51	49	389/4	397/4	0.25	3/16	3/16	2/4	2	1		vi		G	I		vi		vi								m	0	0	3, 0, 4		3	3
51	49	195/2	199/2	0.5	1/4	1/4	2/4	2	1		ii65		G	I		ii65		ii		65						mm7	0	0	-1, 3, 0, 2		2	-1
51	49	98	100	0.5	3/8	3/8	2/4	2	1		V(6)		G	I		V(6)		V			6					M	0	0	1, 5, 4		1	1
52	50	197/2	201/2	0.5	0	0	2/4	2	1		I(64)}		G	I		I(64)		I			64				}	M	0	0	0, -1, 3		0	0
52	50	99	101	4.0	1/8	1/8	2/4	2	1		I|IAC		G	I		I		I						IAC		M	0	0	0, 4, 1		0	0
54	52	103	105	1.5	1/8	1/8	2/4	2	1		iii.i{		G	iii		i		i							{	m	0	1	0, -3, 1		0	0
55	53	209/2	213/2	0.5	0	0	2/4	2	1		v6		G	iii		v6		v		6						m	0	1	-2, 2, 1		1	-2
55	53	105	107	1.0	1/8	1/8	2/4	2	1		v		G	iii		v		v								m	0	1	1, -2, 2		1	1
55	53	106	108	0.5	3/8	3/8	2/4	2	1		i6		G	iii		i6		i		6						m	0	1	-3, 1, 0		0	-3
56	54	213/2	217/2	1.5	0	0	2/4	2	1		i		G	iii		i		i								m	0	1	0, -3, 1		0	0
56	54	108	110	0.5	3/8	3/8	2/4	2	1		ii%7		G	iii		ii%7		ii	%	7						%7	0	1	2, -1, -4, 0		2	2
57	55	217/2	221/2	0.5	0	0	2/4	2	1		i6		G	iii		i6		i		6						m	0	1	-3, 1, 0		0	-3
57	55	109	111	0.5	1/8	1/8	2/4	2	1		i		G	iii		i		i								m	0	1	0, -3, 1		0	0
57	55	219/2	223/2	0.5	1/4	1/4	2/4	2	1		VI		G	iii		VI		VI								M	0	1	-4, 0, -3		-4	-4
57	55	110	112	0.5	3/8	3/8	2/4	2	1		v6		G	iii		v6		v		6						m	0	1	-2, 2, 1		1	-2
58	56	221/2	225/2	0.5	0	0	2/4	2	1		i7		G	iii		i7		i		7						mm7	0	1	0, -3, 1, -2		0	0
58	56	111	113	1.0	1/8	1/8	2/4	2	1		v		G	iii		v		v								m	0	1	1, -2, 2		1	1
58	56	112	114	0.5	3/8	3/8	2/4	2	1		i6		G	iii		i6		i		6						m	0	1	-3, 1, 0		0	-3
59	57	225/2	229/2	1.5	0	0	2/4	2	1		i		G	iii		i		i								m	0	1	0, -3, 1		0	0
59	57	114	116	0.5	3/8	3/8	2/4	2	1		ii%7		G	iii		ii%7		ii	%	7						%7	0	1	2, -1, -4, 0		2	2
60	58	229/2	233/2	0.5	0	0	2/4	2	1		i6		G	iii		i6		i		6						m	0	1	-3, 1, 0		0	-3
60	58	115	117	0.5	1/8	1/8	2/4	2	1		i(9)		G	iii		i(9)		i			9					m	0	1	0, -3, 1	2	0	0
60	58	231/2	235/2	0.5	1/4	1/4	2/4	2	1		VIM7		G	iii		VIM7		VI	M	7						MM7	0	1	-4, 0, -3, 1		-4	-4
60	58	116	118	0.5	3/8	3/8	2/4	2	1		v6		G	iii		v6		v		6						m	0	1	-2, 2, 1		1	-2
61	59	233/2	237/2	0.5	0	0	2/4	2	1		i7		G	iii		i7		i		7						mm7	0	1	0, -3, 1, -2		0	0
61	59	117	119	1.0	1/8	1/8	2/4	2	1		v		G	iii		v		v								m	0	1	1, -2, 2		1	1
61	59	118	120	0.5	3/8	3/8	2/4	2	1		i6		G	iii		i6		i		6						m	0	1	-3, 1, 0		0	-3
62	60	237/2	241/2	1.5	0	0	2/4	2	1		i		G	iii		i		i								m	0	1	0, -3, 1		0	0
62	60	120	122	0.5	3/8	3/8	2/4	2	1		ii%7		G	iii		ii%7		ii	%	7						%7	0	1	2, -1, -4, 0		2	2
63	61	241/2	245/2	0.5	0	0	2/4	2	1		i6		G	iii		i6		i		6						m	0	1	-3, 1, 0		0	-3
63	61	121	123	0.5	1/8	1/8	2/4	2	1		i7		G	iii		i7		i		7						mm7	0	1	0, -3, 1, -2		0	0
63	61	243/2	247/2	1.0	1/4	1/4	2/4	2	1		#vi%43	ii%43/v	G	iii		#vi%43		#vi	%	43						%7	0	1	-3, 1, 3, 0		3	-3
64	62	245/2	249/2	0.5	0	0	2/4	2	1		ii(11)		G	iii		ii(11)		ii			11					m	0	1	2, -1, 3	1	2	2
64	62	123	125	0.5	1/8	1/8	2/4	2	1		ii7		G	iii		ii7		ii		7						mm7	0	1	2, -1, 3, 0		2	2
64	62	247/2	251/2	1.0	1/4	1/4	2/4	2	1		vii%43		G	iii		vii%43		vii	%	43						%7	0	1	-8, -4, -2, -5		-2	-8
65	63	249/2	253/2	0.5	0	0	2/4	2	1		i6(#7#6)		G	iii		i6(#7#6)		i		6	#7#6					m	0	1	-3, 1, 5	3	0	-3
65	63	125	127	0.5	1/8	1/8	2/4	2	1		i6(9#7)		G	iii		i6(9#7)		i		6	9#7					m	0	1	-3, 1, 5	2	0	-3
65	63	251/2	255/2	0.5	1/4	1/4	2/4	2	1		i6		G	iii		i6		i		6						m	0	1	-3, 1, 0		0	-3
65	63	126	128	0.5	3/8	3/8	2/4	2	1		i64		G	iii		i64		i		64						m	0	1	1, 0, -3		0	1
66	64	253/2	257/2	1.5	0	0	2/4	2	1		VII64		G	iii		VII64		VII		64						M	0	1	-1, -2, 2		-2	-1
66	64	128	130	0.5	3/8	3/8	2/4	2	1		iv		G	iii		iv		iv								m	0	1	-1, -4, 0		-1	-1
67	65	257/2	261/2	0.5	0	0	2/4	2	1		viio6	V64	G	iii		viio6		vii	o	6						o	0	1	-5, -8, -2		-2	-5
67	65	129	131	0.5	1/8	1/8	2/4	2	1		V2		G	iii		V2		V		2						Mm7	0	1	-1, 1, 5, 2		1	-1
67	65	259/2	263/2	0.5	1/4	1/4	2/4	2	1		i6		G	iii		i6		i		6						m	0	1	-3, 1, 0		0	-3
67	65	130	132	0.5	3/8	3/8	2/4	2	1		iv		G	iii		iv		iv								m	0	1	-1, -4, 0		-1	-1
68	66	261/2	265/2	0.5	0	0	2/4	2	1		ii%7	vii%7/III	G	iii		ii%7		ii	%	7						%7	0	1	2, -1, -4, 0		2	2
68	66	131	133	0.5	1/8	1/8	2/4	2	1		III		G	iii		III		III								M	0	1	-3, 1, -2		-3	-3
68	66	263/2	267/2	1.0	1/4	1/4	2/4	2	1		vii%65/VII		G	iii		vii%65/VII		vii	%	65		VII				%7	0	1	0, -3, 1, 3		3	0
69	67	265/2	269/2	0.5	0	0	2/4	2	1		V2(^6)/VII		G	iii		V2(^6)/VII		V		2	^6	VII				Mm7	0	1	2, -1, 3, 0		-1	2
69	67	133	135	0.5	1/8	1/8	2/4	2	1		V2/VII		G	iii		V2/VII		V		2		VII				Mm7	0	1	-3, -1, 3, 0		-1	-3
69	67	267/2	271/2	0.5	1/4	1/4	2/4	2	1		I6(9)/VII		G	iii		I6(9)/VII		I		6	9	VII				M	0	1	2, -1, -2	0	-2	2
69	67	134	136	0.5	3/8	3/8	2/4	2	1		I6/VII		G	iii		I6/VII		I		6		VII				M	0	1	2, -1, -2		-2	2
70	68	269/2	273/2	1.5	0	0	2/4	2	1		I(6)/VII		G	iii		I(6)/VII		I			6	VII				M	0	1	-2, 2, 1		-2	-2
70	68	136	138	0.5	3/8	3/8	2/4	2	1		I/VII		G	iii		I/VII		I				VII				M	0	1	-2, 2, -1		-2	-2
71	69	273/2	277/2	0.5	0	0	2/4	2	1		i	viio6/VII	G	iii		i		i								m	0	1	0, -3, 1		0	0
71	69	137	139	0.5	1/8	1/8	2/4	2	1		iio	I6/VII	G	iii		iio		ii	o							o	0	1	2, -1, -4		2	2
71	69	275/2	279/2	0.5	1/4	1/4	2/4	2	1		V	vi/III	G	iii		V		V								M	0	1	1, 5, 2		1	1
71	69	138	140	0.5	3/8	3/8	2/4	2	1		VI		G	iii		VI		VI								M	0	1	-4, 0, -3		-4	-4
72	70	277/2	281/2	1.0	0	0	2/4	2	1		iv7		G	iii		iv7		iv		7						mm7	0	1	-1, -4, 0, -3		-1	-1
72	70	279/2	283/2	0.5	1/4	1/4	2/4	2	1		#viio64		G	iii		#viio64		#vii	o	64						o	0	1	-1, 5, 2		5	-1
72	70	140	142	1.0	3/8	3/8	2/4	2	1		V|HC}		G	iii		V		V						HC	}	M	0	1	1, 5, 2		1	1
73	71	141	143	0.5	1/8	1/8	2/4	2	1		i6(13){		G	iii		i6(13)		i		6	13				{	m	0	1	-3, 1, 0	-4	0	-3
73	71	283/2	287/2	0.5	1/4	1/4	2/4	2	1		i6		G	iii		i6		i		6						m	0	1	-3, 1, 0		0	-3
73	71	142	144	0.5	3/8	3/8	2/4	2	1		V7/V		G	iii		V7/V		V		7		V				Mm7	0	1	2, 6, 3, 0		2	2
74	72	285/2	289/2	0.5	0	0	2/4	2	1		V(6)		G	iii		V(6)		V			6					M	0	1	1, 5, -3		1	1
74	72	143	145	2.0	1/8	1/8	2/4	2	1		V7		G	iii		V7		V		7						Mm7	0	1	1, 5, 2, -1		1	1
75	73	145	147	0.5	1/8	1/8	2/4	2	1		i6(13)		G	iii		i6(13)		i		6	13					m	0	1	-3, 1, 0	-4	0	-3
75	73	291/2	295/2	0.5	1/4	1/4	2/4	2	1		i6		G	iii		i6		i		6						m	0	1	-3, 1, 0		0	-3
75	73	146	148	0.5	3/8	3/8	2/4	2	1		V7/V		G	iii		V7/V		V		7		V				Mm7	0	1	2, 6, 3, 0		2	2
76	74	293/2	297/2	0.5	0	0	2/4	2	1		V(6)		G	iii		V(6)		V			6					M	0	1	1, 5, -3		1	1
76	74	147	149	1.5	1/8	1/8	2/4	2	1		V7		G	iii		V7		V		7						Mm7	0	1	1, 5, 2, -1		1	1
77	75	297/2	301/2	0.5	0	0	2/4	2	1		Ger6(b8)		G	iii		Ger6(b8)	Ger	vii	o	65	b8b3	V				Ger	0	1	-4, 0, -3, 6		6	-4
77	75	149	151	1.5	1/8	1/8	2/4	2	1		Ger6		G	iii		Ger6	Ger	vii	o	65	b3	V				Ger	0	1	-4, 0, -3, 6		6	-4
78	76	301/2	305/2	0.5	0	0	2/4	2	1		V43(6)/III		G	iii		V43(6)/III		V		43	6	III				Mm7	0	1	1, -4, -2, 2		-2	1
78	76	151	153	1.5	1/8	1/8	2/4	2	1		V43/III		G	iii		V43/III		V		43		III				Mm7	0	1	-1, -4, -2, 2		-2	-1
79	77	305/2	309/2	0.5	0	0	2/4	2	1		V65(6)/iv		G	iii		V65(6)/iv		V		65	6	iv				Mm7	0	1	4, -4, -2, 0		0	4
79	77	153	155	1.5	1/8	1/8	2/4	2	1		V65/iv		G	iii		V65/iv		V		65		iv				Mm7	0	1	4, 1, -2, 0		0	4
80	78	309/2	313/2	0.5	0	0	2/4	2	1		bVII.vii%2(4)		G	bVII		vii%2(4)		vii	%	2	4					%7	0	0	3, 5, 4, -1		5	3
80	78	155	157	1.5	1/8	1/8	2/4	2	1		vii%2		G	bVII		vii%2		vii	%	2						%7	0	0	3, 5, 2, -1		5	3
81	79	313/2	317/2	0.5	0	0	2/4	2	1		vii%2(4)		G	bVII		vii%2(4)		vii	%	2	4					%7	0	0	3, 5, 4, -1		5	3
81	79	157	159	5.5	1/8	1/8	2/4	2	1		vii%2		G	bVII		vii%2		vii	%	2						%7	0	0	3, 5, 2, -1		5	3
84	82	325/2	329/2	7.5	0	0	2/4	2	1		V7(9)|HC}{		G	bVII		V7(9)		V		7	9			HC	}{	Mm7	0	0	1, 5, 2, -1	3	1	1
87	85	170	172	4.0	3/8	3/8	2/4	2	1		vii%7/bVI		G	bVII		vii%7/bVI		vii	%	7		bVI				%7	0	0	1, -2, -5, -1		1	1
89	87	174	176	0.5	3/8	3/8	2/4	2	1		V65/bVI		G	bVII		V65/bVI		V		65		bVI				Mm7	0	0	1, -2, -5, -3		-3	1
90	88	349/2	353/2	3.5	0	0	2/4	2	1		vii%7/bVI		G	bVII		vii%7/bVI		vii	%	7		bVI				%7	0	0	1, -2, -5, -1		1	1
91	89	178	180	4.0	3/8	3/8	2/4	2	1		#vii%43/ii		G	bVII		#vii%43/ii		#vii	%	43		ii				%7	0	0	1, 5, 7, 4		7	1
93	91	182	184	0.5	3/8	3/8	2/4	2	1		V65/ii		G	bVII		V65/ii		V		65		ii				Mm7	0	0	7, 4, 1, 3		3	7
94	92	365/2	369/2	4.0	0	0	2/4	2	1		#vii%43/ii		G	bVII		#vii%43/ii		#vii	%	43		ii				%7	0	0	1, 5, 7, 4		7	1
96	94	373/2	377/2	1.0	0	0	2/4	2	1		V2/ii		G	bVII		V2/ii		V		2		ii				Mm7	0	0	1, 3, 7, 4		3	1
96	94	375/2	379/2	1.0	1/4	1/4	2/4	2	1		V6(13)/V		G	bVII		V6(13)/V		V		6	13	V				M	0	0	6, 3, 2	5	2	6
97	95	377/2	381/2	0.5	0	0	2/4	2	1		iii/iii.Ger6(4)		G	iii/iii		Ger6(4)	Ger	vii	o	65	4b3	V				Ger	0	1	-4, 5, 0, -3, 6		6	-4
97	95	189	191	2.5	1/8	1/8	2/4	2	1		Ger6		G	iii/iii		Ger6	Ger	vii	o	65	b3	V				Ger	0	1	-4, 0, -3, 6		6	-4
98	96	383/2	387/2	1.0	1/4	1/4	2/4	2	1		V64/iv		G	iii/iii		V64/iv		V		64		iv				M	0	1	1, 0, 4		0	1
99	97	385/2	389/2	0.5	0	0	2/4	2	1		iv(#7)		G	iii/iii		iv(#7)		iv			#7					m	0	1	-1, -4, 0	4	-1	-1
99	97	193	195	0.5	1/8	1/8	2/4	2	1		iv		G	iii/iii		iv		iv								m	0	1	-1, -4, 0		-1	-1
99	97	387/2	391/2	1.0	1/4	1/4	2/4	2	1		ii%2		G	iii/iii		ii%2		ii	%	2						%7	0	1	0, 2, -1, -4		2	0
100	98	389/2	393/2	1.0	0	0	2/4	2	1		iii.V(94)		G	iii		V(94)		V			94					M	0	1	1, 0, 2	-4	1	1
100	98	391/2	395/2	1.0	1/4	1/4	2/4	2	1		V(13)		G	iii		V(13)		V			13					M	0	1	1, 5, 2	-3	1	1
101	99	393/2	397/2	1.0	0	0	2/4	2	1		V(64)		G	iii		V(64)		V			64					M	0	1	1, 0, -3		1	1
101	99	395/2	399/2	1.0	1/4	1/4	2/4	2	1		V7(134)		G	iii		V7(134)		V		7	134					Mm7	0	1	1, 0, 2, -1	-3	1	1
102	100	397/2	401/2	1.0	0	0	2/4	2	1		iii6		G	iii		iii6		iii		6						m	0	1	-6, -2, -3		-3	-6
102	100	399/2	403/2	1.0	1/4	1/4	2/4	2	1		iii6(119)		G	iii		iii6(119)		iii		6	119					m	0	1	-6, -2, -3	-4, -1	-3	-6
103	101	401/2	405/2	1.0	0	0	2/4	2	1		iii6		G	iii		iii6		iii		6						m	0	1	-6, -2, -3		-3	-6
103	101	403/2	407/2	1.0	1/4	1/4	2/4	2	1		iii6(b134)		G	iii		iii6(b134)		iii		6	b134					m	0	1	-4, -2, -3	-7	-3	-4
104	102	405/2	409/2	1.0	0	0	2/4	2	1		V7/V/iii	IV7	G	iii		V7/V/iii		V		7		V/iii				Mm7	0	1	-1, 3, 0, -3		-1	-1
104	102	407/2	411/2	1.0	1/4	1/4	2/4	2	1		IV7(6#4)		G	iii		IV7(6#4)		IV		7	6#4					Mm7	0	1	-1, 3, 5, 2, -3		-1	-1
105	103	409/2	413/2	1.0	0	0	2/4	2	1		IV7		G	iii		IV7		IV		7						Mm7	0	1	-1, 3, 0, -3		-1	-1
105	103	411/2	415/2	1.0	1/4	1/4	2/4	2	1		IV7(6)		G	iii		IV7(6)		IV		7	6					Mm7	0	1	-1, 3, 2, -3		-1	-1
106	104	413/2	417/2	1.0	0	0	2/4	2	1		VI43		G	iii		VI43		VI		43						Mm7	0	1	-3, -6, -4, 0		-4	-3
106	104	415/2	419/2	1.0	1/4	1/4	2/4	2	1		VI43(13)		G	iii		VI43(13)		VI		43	13					Mm7	0	1	-3, -6, -4, 0	-1	-4	-3
107	105	417/2	421/2	1.0	0	0	2/4	2	1		V7(9)/V		G	iii		V7(9)/V		V		7	9	V				Mm7	0	1	2, 6, 3, 0	4	2	2
107	105	419/2	423/2	1.0	1/4	1/4	2/4	2	1		V7(13b5)		G	iii		V7(13b5)		V		7	13b5					Mm7	0	1	1, 5, -5, -1	-3	1	1
108	106	421/2	425/2	2.0	0	0	2/4	2	1		i|PAC}		G	iii		i		i						PAC	}	m	0	1	0, -3, 1		0	0
108	106	211	213	0.0	1/8	1/8	2/4	2	1		{		G	iii											{		0	1				
109	107	425/2	429/2	0.5	0	0	2/4	2	1		v6		G	iii		v6		v		6						m	0	1	-2, 2, 1		1	-2
109	107	213	215	1.0	1/8	1/8	2/4	2	1		v		G	iii		v		v								m	0	1	1, -2, 2		1	1
109	107	214	216	0.5	3/8	3/8	2/4	2	1		i6		G	iii		i6		i		6						m	0	1	-3, 1, 0		0	-3
110	108	429/2	433/2	1.5	0	0	2/4	2	1		i		G	iii		i		i								m	0	1	0, -3, 1		0	0
110	108	216	218	0.5	3/8	3/8	2/4	2	1		ii%7		G	iii		ii%7		ii	%	7						%7	0	1	2, -1, -4, 0		2	2
111	109	433/2	437/2	0.5	0	0	2/4	2	1		i6		G	iii		i6		i		6						m	0	1	-3, 1, 0		0	-3
111	109	217	219	0.5	1/8	1/8	2/4	2	1		i		G	iii		i		i								m	0	1	0, -3, 1		0	0
111	109	435/2	439/2	0.5	1/4	1/4	2/4	2	1		VI		G	iii		VI		VI								M	0	1	-4, 0, -3		-4	-4
111	109	218	220	0.5	3/8	3/8	2/4	2	1		v6		G	iii		v6		v		6						m	0	1	-2, 2, 1		1	-2
112	110	437/2	441/2	0.5	0	0	2/4	2	1		i7		G	iii		i7		i		7						mm7	0	1	0, -3, 1, -2		0	0
112	110	219	221	1.0	1/8	1/8	2/4	2	1		V/#VII		G	iii		V/#VII		V				#VII				M	0	1	6, 10, 7		6	6
112	110	220	222	0.5	3/8	3/8	2/4	2	1		I6/#VII		G	iii		I6/#VII		I		6		#VII				M	0	1	9, 6, 5		5	9
113	111	441/2	445/2	1.5	0	0	2/4	2	1		I/#VII		G	iii		I/#VII		I				#VII				M	0	1	5, 9, 6		5	5
113	111	222	224	0.5	3/8	3/8	2/4	2	1		ii%7/#VII		G	iii		ii%7/#VII		ii	%	7		#VII				%7	0	1	7, 4, 1, 5		7	7
114	112	445/2	449/2	0.5	0	0	2/4	2	1		I6/#VII		G	iii		I6/#VII		I		6		#VII				M	0	1	9, 6, 5		5	9
114	112	223	225	0.5	1/8	1/8	2/4	2	1		I(9)/#VII		G	iii		I(9)/#VII		I			9	#VII				M	0	1	5, 9, 6	7	5	5
114	112	447/2	451/2	0.5	1/4	1/4	2/4	2	1		vi7/#VII	iv7/III	G	iii		vi7/#VII		vi		7		#VII				mm7	0	1	8, 5, 9, 6		8	8
114	112	224	226	0.5	3/8	3/8	2/4	2	1		V/III		G	iii		V/III		V				III				M	0	1	-2, 2, -1		-2	-2
115	113	449/2	453/2	0.5	0	0	2/4	2	1		bVIM7/III		G	iii		bVIM7/III		bVI	M	7		III				MM7	0	1	-7, -3, -6, -2		-7	-7
115	113	225	227	1.0	1/8	1/8	2/4	2	1		V64/III		G	iii		V64/III		V		64		III				M	0	1	-1, -2, 2		-2	-1
115	113	226	228	0.5	3/8	3/8	2/4	2	1		V6/III		G	iii		V6/III		V		6		III				M	0	1	2, -1, -2		-2	2
116	114	453/2	457/2	1.5	0	0	2/4	2	1		V/III		G	iii		V/III		V				III				M	0	1	-2, 2, -1		-2	-2
116	114	228	230	0.5	3/8	3/8	2/4	2	1		ii7/V/III		G	iii		ii7/V/III		ii		7		V/III				mm7	0	1	0, -3, 1, -2		0	0
117	115	457/2	461/2	0.5	0	0	2/4	2	1		V6/III		G	iii		V6/III		V		6		III				M	0	1	2, -1, -2		-2	2
117	115	229	231	0.5	1/8	1/8	2/4	2	1		V7/III		G	iii		V7/III		V		7		III				Mm7	0	1	-2, 2, -1, -4		-2	-2
117	115	459/2	463/2	1.0	1/4	1/4	2/4	2	1		iii43/III		G	iii		iii43/III		iii		43		III				mm7	0	1	2, -1, 1, -2		1	2
118	116	461/2	465/2	0.5	0	0	2/4	2	1		vi(11)/III		G	iii		vi(11)/III		vi			11	III				m	0	1	0, -3, 1	-1	0	0
118	116	231	233	0.5	1/8	1/8	2/4	2	1		vi7/III		G	iii		vi7/III		vi		7		III				mm7	0	1	0, -3, 1, -2		0	0
118	116	463/2	467/2	1.0	1/4	1/4	2/4	2	1		IVM43/III		G	iii		IVM43/III		IV	M	43		III				MM7	0	1	-3, 1, -4, 0		-4	-3
119	117	465/2	469/2	0.5	0	0	2/4	2	1		viio(11)/III		G	iii		viio(11)/III		vii	o		11	III				o	0	1	2, -1, -4	1	2	2
119	117	233	235	0.5	1/8	1/8	2/4	2	1		vii%7/III	ii%7	G	iii		vii%7/III		vii	%	7		III				%7	0	1	2, -1, -4, 0		2	2
119	117	467/2	471/2	1.0	1/4	1/4	2/4	2	1		#viio43		G	iii		#viio43		#vii	o	43						o7	0	1	-1, -4, 5, 2		5	-1
120	118	469/2	473/2	1.75	0	0	2/4	2	1		i6		G	iii		i6		i		6						m	0	1	-3, 1, 0		0	-3
120	118	945/4	953/4	0.25	7/16	7/16	2/4	2	1		iv/VII		G	iii		iv/VII		iv				VII				m	0	1	-3, -6, -2		-3	-3
121	119	473/2	477/2	0.5	0	0	2/4	2	1		V43(11b9)/VII		G	iii		V43(11b9)/VII		V		43	11b9	VII				Mm7	0	1	0, -3, -1, 3	-2, -6	-1	0
121	119	237	239	0.5	1/8	1/8	2/4	2	1		V2/VII		G	iii		V2/VII		V		2		VII				Mm7	0	1	-3, -1, 3, 0		-1	-3
121	119	475/2	479/2	0.5	1/4	1/4	2/4	2	1		I6/VII		G	iii		I6/VII		I		6		VII				M	0	1	2, -1, -2		-2	2
121	119	238	240	0.5	3/8	3/8	2/4	2	1		IV/VII		G	iii		IV/VII		IV				VII				M	0	1	-3, 1, -2		-3	-3
122	120	477/2	481/2	0.5	0	0	2/4	2	1		ii7/VII	vi7/III	G	iii		ii7/VII		ii		7		VII				mm7	0	1	0, -3, 1, -2		0	0
122	120	239	241	0.5	1/8	1/8	2/4	2	1		viio/III		G	iii		viio/III		vii	o			III				o	0	1	2, -1, -4		2	2
122	120	479/2	483/2	0.5	1/4	1/4	2/4	2	1		V(6)/III		G	iii		V(6)/III		V			6	III				M	0	1	-2, 2, 1		-2	-2
122	120	240	242	0.5	3/8	3/8	2/4	2	1		IV/VI		G	iii		IV/VI		IV				VI				M	0	1	-5, -1, -4		-5	-5
123	121	481/2	485/2	0.5	0	0	2/4	2	1		iii/VI	viio6(4)/VI	G	iii		iii/VI		iii				VI				m	0	1	0, -3, 1		0	0
123	121	241	243	0.5	1/8	1/8	2/4	2	1		V2/VI		G	iii		V2/VI		V		2		VI				Mm7	0	1	-5, -3, 1, -2		-3	-5
123	121	483/2	487/2	0.5	1/4	1/4	2/4	2	1		I6(^2)/VI		G	iii		I6(^2)/VI		I		6	^2	VI				M	0	1	-2, -3, -4		-4	-2
123	121	242	244	0.5	3/8	3/8	2/4	2	1		I6/VI		G	iii		I6/VI		I		6		VI				M	0	1	0, -3, -4		-4	0
124	122	485/2	489/2	1.0	0	0	2/4	2	1		I(64)/VI		G	iii		I(64)/VI		I			64	VI				M	0	1	-4, -5, -1		-4	-4
124	122	487/2	491/2	0.5	1/4	1/4	2/4	2	1		I6(6)/VI		G	iii		I6(6)/VI		I		6	6	VI				M	0	1	0, -1, -4		-4	0
124	122	244	246	0.5	3/8	3/8	2/4	2	1		I/VI		G	iii		I/VI		I				VI				M	0	1	-4, 0, -3		-4	-4
125	123	489/2	493/2	0.5	0	0	2/4	2	1		ii/VI		G	iii		ii/VI		ii				VI				m	0	1	-2, -5, -1		-2	-2
125	123	245	247	0.5	1/8	1/8	2/4	2	1		I6/VI		G	iii		I6/VI		I		6		VI				M	0	1	0, -3, -4		-4	0
125	123	491/2	495/2	0.5	1/4	1/4	2/4	2	1		iv		G	iii		iv		iv								m	0	1	-1, -4, 0		-1	-1
125	123	246	248	0.5	3/8	3/8	2/4	2	1		V		G	iii		V		V								M	0	1	1, 5, 2		1	1
126	124	493/2	497/2	0.5	0	0	2/4	2	1		i6(9)		G	iii		i6(9)		i		6	9					m	0	1	-3, 1, 0	2	0	-3
